locus_tag	source_pgap	type_pgap	start_pgap	end_pgap	score_pgap	strand_pgap	phase_pgap	attributes_pgap	locus_tag	product_pgap	seed_ortholog_eggnog	evalue_eggnog	score_eggnog	eggNOG_OGs_eggnog	max_annot_lvl_eggnog	COG_category_eggnog	Description_eggnog	Preferred_name_eggnog	GOs_eggnog	EC_eggnog	KEGG_ko_eggnog	KEGG_Pathway_eggnog	KEGG_Module_eggnog	KEGG_Reaction_eggnog	KEGG_rclass_eggnog	BRITE_eggnog	KEGG_TC_eggnog	CAZy_eggnog	BiGG_Reaction_eggnog	PFAMs_eggnog	GenomeID_transapp	FID_transapp	Subfamily_transapp	Substrate/Function_transapp	ID_tcdb_org_transapp	KO_blastkoala	KO_definition_blastkoala
pgaptmp_000011	GeneMarkS-2+	CDS	7862	7987		+	0	ID=cds-pgaptmp_000011;Parent=gene-pgaptmp_000011;Name=extdb:pgaptmp_000011;gbkey=CDS;inference=COORDINATES: ab initio prediction:GeneMarkS-2+;locus_tag=pgaptmp_000011;product=hypothetical protein;protein_id=extdb:pgaptmp_000011;transl_table=11	pgaptmp_000011	hypothetical protein	657309.BXY_39030	2.47E-16	77	2DY9D@1|root,348RY@2|Bacteria,4P5Z3@976|Bacteroidetes,2FVB2@200643|Bacteroidia,4AS5B@815|Bacteroidaceae	976|Bacteroidetes																						
pgaptmp_000012	GeneMarkS-2+	CDS	8024	8923		+	0	ID=cds-pgaptmp_000012;Parent=gene-pgaptmp_000012;Name=extdb:pgaptmp_000012;gbkey=CDS;inference=COORDINATES: ab initio prediction:GeneMarkS-2+;locus_tag=pgaptmp_000012;product=hypothetical protein;protein_id=extdb:pgaptmp_000012;transl_table=11	pgaptmp_000012	hypothetical protein	657309.BXY_39030	3.11E-198	553	2DY9D@1|root,348RY@2|Bacteria,4P5Z3@976|Bacteroidetes,2FVB2@200643|Bacteroidia,4AS5B@815|Bacteroidaceae	976|Bacteroidetes																						
pgaptmp_000013	Protein Homology	CDS	8983	10149		+	0	ID=cds-pgaptmp_000013;Parent=gene-pgaptmp_000013;Name=extdb:pgaptmp_000013;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_015532668.1;locus_tag=pgaptmp_000013;product=hypothetical protein;protein_id=extdb:pgaptmp_000013;transl_table=11	pgaptmp_000013	hypothetical protein	226186.BT_0012	1.99E-283	774	COG5492@1|root,COG5492@2|Bacteria,4NH7Q@976|Bacteroidetes,2FN1I@200643|Bacteroidia,4AN76@815|Bacteroidaceae	976|Bacteroidetes	N	COG NOG06100 non supervised orthologous group																				
pgaptmp_000014	GeneMarkS-2+	CDS	10322	10723		+	0	ID=cds-pgaptmp_000014;Parent=gene-pgaptmp_000014;Name=extdb:pgaptmp_000014;gbkey=CDS;inference=COORDINATES: ab initio prediction:GeneMarkS-2+;locus_tag=pgaptmp_000014;product=hypothetical protein;protein_id=extdb:pgaptmp_000014;transl_table=11	pgaptmp_000014	hypothetical protein	226186.BT_0013	1.6E-93	274	29ZTI@1|root,30MUI@2|Bacteria,4PAJ2@976|Bacteroidetes,2FX3I@200643|Bacteroidia,4ATNP@815|Bacteroidaceae	976|Bacteroidetes																						
pgaptmp_000015	Protein Homology	CDS	10857	13316		+	0	ID=cds-pgaptmp_000015;Parent=gene-pgaptmp_000015;Name=extdb:pgaptmp_000015;Ontology_term=GO:0000160,GO:0007165,GO:0000155,GO:0000156,GO:0004673,GO:0005524;gbkey=CDS;go_function=phosphorelay sensor kinase activity|0000155||IEA,phosphorelay response regulator activity|0000156||IEA,protein histidine kinase activity|0004673||IEA,ATP binding|0005524||IEA;go_process=phosphorelay signal transduction system|0000160||IEA,signal transduction|0007165||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_009039984.1;locus_tag=pgaptmp_000015;product=ATP-binding response regulator;protein_id=extdb:pgaptmp_000015;transl_table=11	pgaptmp_000015	ATP-binding response regulator	657309.BXY_39000	0	1489	COG0642@1|root,COG0745@1|root,COG0745@2|Bacteria,COG2205@2|Bacteria,4NFEF@976|Bacteroidetes,2FNF0@200643|Bacteroidia,4AKY3@815|Bacteroidaceae	976|Bacteroidetes	T	ATPase histidine kinase DNA gyrase B HSP90 domain protein													HATPase_c,HisKA,Response_reg							
pgaptmp_000016	Protein Homology	CDS	13288	14586		+	0	ID=cds-pgaptmp_000016;Parent=gene-pgaptmp_000016;Name=extdb:pgaptmp_000016;Ontology_term=GO:0000160,GO:0006355,GO:0000156,GO:0003677,GO:0005524;gbkey=CDS;go_function=phosphorelay response regulator activity|0000156||IEA,DNA binding|0003677||IEA,ATP binding|0005524||IEA;go_process=phosphorelay signal transduction system|0000160||IEA,regulation of DNA-templated transcription|0006355||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_009039983.1;locus_tag=pgaptmp_000016;product=sigma-54-dependent transcriptional regulator;protein_id=extdb:pgaptmp_000016;transl_table=11	pgaptmp_000016	sigma-54-dependent transcriptional regulator	226186.BT_0015	2.39E-305	848	COG2204@1|root,COG2204@2|Bacteria,4NE89@976|Bacteroidetes,2FMCJ@200643|Bacteroidia,4AKCA@815|Bacteroidaceae	976|Bacteroidetes	T	acetoacetate metabolism regulatory protein AtoC K07714				ko:K07713	ko02020,map02020	M00499			ko00000,ko00001,ko00002,ko02022				HTH_8,Response_reg,Sigma54_activat						K07713	zraR, hydG; two-component system, NtrC family, response regulator HydG
pgaptmp_000017	Protein Homology	CDS	14774	15412		+	0	ID=cds-pgaptmp_000017;Parent=gene-pgaptmp_000017;Name=extdb:pgaptmp_000017;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_008782335.1;locus_tag=pgaptmp_000017;product=RteC domain-containing protein;protein_id=extdb:pgaptmp_000017;transl_table=11	pgaptmp_000017	RteC domain-containing protein	226186.BT_0016	2.82E-147	415	2EWAX@1|root,33PPM@2|Bacteria,4P29J@976|Bacteroidetes,2FQGM@200643|Bacteroidia,4AP9F@815|Bacteroidaceae	976|Bacteroidetes	S	RteC protein													RteC							
pgaptmp_000018	Protein Homology	CDS	15525	16472		+	0	ID=cds-pgaptmp_000018;Parent=gene-pgaptmp_000018;Name=extdb:pgaptmp_000018;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_002562196.1;locus_tag=pgaptmp_000018;product=DUF6047 family protein;protein_id=extdb:pgaptmp_000018;transl_table=11	pgaptmp_000018	DUF6047 family protein	226186.BT_0017	8.98E-225	619	290FF@1|root,2ZN4N@2|Bacteria,4NN0G@976|Bacteroidetes,2FMEY@200643|Bacteroidia,4APTZ@815|Bacteroidaceae	976|Bacteroidetes																						
pgaptmp_000019	Protein Homology	CDS	16478	16654		+	0	ID=cds-pgaptmp_000019;Parent=gene-pgaptmp_000019;Name=extdb:pgaptmp_000019;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_007655510.1;locus_tag=pgaptmp_000019;product=hypothetical protein;protein_id=extdb:pgaptmp_000019;transl_table=11	pgaptmp_000019	hypothetical protein	657309.BXY_38960	1.87E-36	122	2FCI3@1|root,344MF@2|Bacteria,4P6JV@976|Bacteroidetes,2FV1G@200643|Bacteroidia,4AS5R@815|Bacteroidaceae	976|Bacteroidetes																						
pgaptmp_000020	Protein Homology	CDS	16655	17371		+	0	ID=cds-pgaptmp_000020;Parent=gene-pgaptmp_000020;Name=extdb:pgaptmp_000020;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_002562198.1;locus_tag=pgaptmp_000020;product=DUF6047 family protein;protein_id=extdb:pgaptmp_000020;transl_table=11	pgaptmp_000020	DUF6047 family protein	226186.BT_0018	7.47E-174	484	2FBSQ@1|root,343XH@2|Bacteria,4P5QV@976|Bacteroidetes,2FNYF@200643|Bacteroidia,4APYB@815|Bacteroidaceae	976|Bacteroidetes																						
pgaptmp_000021	Protein Homology	CDS	17383	17703		+	0	ID=cds-pgaptmp_000021;Parent=gene-pgaptmp_000021;Name=extdb:pgaptmp_000021;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_004313148.1;locus_tag=pgaptmp_000021;product=hypothetical protein;protein_id=extdb:pgaptmp_000021;transl_table=11	pgaptmp_000021	hypothetical protein	226186.BT_0019	2.07E-75	224	2F3PG@1|root,33WGD@2|Bacteria,4P3IV@976|Bacteroidetes,2FSV9@200643|Bacteroidia,4ARPN@815|Bacteroidaceae	976|Bacteroidetes																						
pgaptmp_000022	Protein Homology	CDS	17710	18487		+	0	ID=cds-pgaptmp_000022;Parent=gene-pgaptmp_000022;Note=frameshifted;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_005682357.1;locus_tag=pgaptmp_000022;product=DUF6047 family protein;pseudo=true;transl_table=11	pgaptmp_000022	DUF6047 family protein	226186.BT_0020	4.02E-111	323	2EWQS@1|root,33Q2J@2|Bacteria,4P1U5@976|Bacteroidetes,2FR6D@200643|Bacteroidia,4AQC6@815|Bacteroidaceae	976|Bacteroidetes																						
pgaptmp_000023	Protein Homology	CDS	18885	19040		+	0	ID=cds-pgaptmp_000023;Parent=gene-pgaptmp_000023;Name=extdb:pgaptmp_000023;Ontology_term=GO:0003677;gbkey=CDS;go_function=DNA binding|0003677||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_005831584.1;locus_tag=pgaptmp_000023;product=helix-turn-helix domain-containing protein;protein_id=extdb:pgaptmp_000023;transl_table=11	pgaptmp_000023	helix-turn-helix domain-containing protein	1235788.C802_04148	1.15E-25	95.1	COG0789@1|root,COG0789@2|Bacteria,4P9A1@976|Bacteroidetes,2FUU1@200643|Bacteroidia,4ASGJ@815|Bacteroidaceae	976|Bacteroidetes	K	Helix-turn-helix domain													HTH_17							
pgaptmp_000024	Protein Homology	CDS	19044	19334		+	0	ID=cds-pgaptmp_000024;Parent=gene-pgaptmp_000024;Name=extdb:pgaptmp_000024;Ontology_term=GO:0003677;gbkey=CDS;go_function=DNA binding|0003677||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_016268014.1;locus_tag=pgaptmp_000024;product=helix-turn-helix domain-containing protein;protein_id=extdb:pgaptmp_000024;transl_table=11	pgaptmp_000024	helix-turn-helix domain-containing protein	226186.BT_0022	1.88E-62	191	29WU8@1|root,30IFP@2|Bacteria,4P9VB@976|Bacteroidetes,2FTQG@200643|Bacteroidia,4AVV6@815|Bacteroidaceae	976|Bacteroidetes	S	Helix-turn-helix domain													HTH_17							
pgaptmp_000025	Protein Homology	CDS	19601	20811		-	0	ID=cds-pgaptmp_000025;Parent=gene-pgaptmp_000025;Note=frameshifted%3B internal stop;Ontology_term=GO:0004803;gbkey=CDS;go_function=transposase activity|0004803||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_234069584.1;locus_tag=pgaptmp_000025;product=IS256 family transposase;pseudo=true;transl_table=11	pgaptmp_000025	IS256 family transposase																											
pgaptmp_000026	Protein Homology	CDS	20936	22075		-	0	ID=cds-pgaptmp_000026;Parent=gene-pgaptmp_000026;Note=frameshifted%3B internal stop;Ontology_term=GO:0004803;gbkey=CDS;go_function=transposase activity|0004803||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011203020.1;locus_tag=pgaptmp_000026;product=IS1182 family transposase;pseudo=true;transl_table=11	pgaptmp_000026	IS1182 family transposase	226186.BT_0026	1.54E-99	298	COG3666@1|root,COG3666@2|Bacteria,4NEDD@976|Bacteroidetes,2FNIQ@200643|Bacteroidia,4AKE2@815|Bacteroidaceae	976|Bacteroidetes	L	COG COG3666 Transposase and inactivated derivatives													DDE_Tnp_1,DDE_Tnp_1_6,DUF772							
pgaptmp_000027	Protein Homology	CDS	22552	22830		+	0	ID=cds-pgaptmp_000027;Parent=gene-pgaptmp_000027;Name=extdb:pgaptmp_000027;Ontology_term=GO:0016791;gbkey=CDS;go_function=phosphatase activity|0016791||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_009039976.1;locus_tag=pgaptmp_000027;product=alkaline phosphatase;protein_id=extdb:pgaptmp_000027;transl_table=11	pgaptmp_000027	alkaline phosphatase	226186.BT_0028	4.37E-57	177	COG1785@1|root,COG1785@2|Bacteria,4PAW5@976|Bacteroidetes,2FXW7@200643|Bacteroidia,4ATZ4@815|Bacteroidaceae	976|Bacteroidetes	P	Alkaline phosphatase													Alk_phosphatase							
pgaptmp_000028	Protein Homology	CDS	22906	26169		+	0	ID=cds-pgaptmp_000028;Parent=gene-pgaptmp_000028;Name=extdb:pgaptmp_000028;Ontology_term=GO:0009279,GO:0016020;gbkey=CDS;go_component=cell outer membrane|0009279||IEA,membrane|0016020||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_009039975.1;locus_tag=pgaptmp_000028;product=SusC/RagA family TonB-linked outer membrane protein;protein_id=extdb:pgaptmp_000028;transl_table=11	pgaptmp_000028	SusC/RagA family TonB-linked outer membrane protein	226186.BT_0029	0	2201	COG1629@1|root,COG1629@2|Bacteria,4NDXS@976|Bacteroidetes,2FM2D@200643|Bacteroidia,4AK7X@815|Bacteroidaceae	976|Bacteroidetes	P	TonB-linked outer membrane protein, SusC RagA family													CarbopepD_reg_2,CarboxypepD_reg,Plug,STN,TonB_dep_Rec							
pgaptmp_000029	Protein Homology	CDS	26182	28011		+	0	ID=cds-pgaptmp_000029;Parent=gene-pgaptmp_000029;Name=extdb:pgaptmp_000029;Ontology_term=GO:2001070,GO:0009279,GO:0019867;gbkey=CDS;go_component=cell outer membrane|0009279||IEA,outer membrane|0019867||IEA;go_function=starch binding|2001070||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011107068.1;locus_tag=pgaptmp_000029;product=RagB/SusD family nutrient uptake outer membrane protein;protein_id=extdb:pgaptmp_000029;transl_table=11	pgaptmp_000029	RagB/SusD family nutrient uptake outer membrane protein	226186.BT_0030	0	1248	COG0457@1|root,COG0457@2|Bacteria,4NDX0@976|Bacteroidetes,2FM6J@200643|Bacteroidia,4AMTF@815|Bacteroidaceae	976|Bacteroidetes	S	SusD family				ko:K21572					ko00000,ko02000	8.A.46.1,8.A.46.3			SusD-like_2,SusD-like_3,SusD_RagB						K21572	susD; starch-binding outer membrane protein, SusD/RagB family
pgaptmp_000030	Protein Homology	CDS	28038	29195		+	0	ID=cds-pgaptmp_000030;Parent=gene-pgaptmp_000030;Name=extdb:pgaptmp_000030;Ontology_term=GO:0003824;gbkey=CDS;go_function=catalytic activity|0003824||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_009039973.1;locus_tag=pgaptmp_000030;product=PHP domain-containing protein;protein_id=extdb:pgaptmp_000030;transl_table=11	pgaptmp_000030	PHP domain-containing protein	657309.BXY_38780	1.92E-284	776	COG0613@1|root,COG0613@2|Bacteria,4NHZ5@976|Bacteroidetes,2FQW5@200643|Bacteroidia,4AN9D@815|Bacteroidaceae	976|Bacteroidetes	S	Domain of unknown function			3.1.3.97	ko:K07053			R00188,R11188	RC00078	ko00000,ko01000										K07053	E3.1.3.97; 3',5'-nucleoside bisphosphate phosphatase [EC:3.1.3.97]
pgaptmp_000031	Protein Homology	CDS	29209	29406		+	0	ID=cds-pgaptmp_000031;Parent=gene-pgaptmp_000031;Name=extdb:pgaptmp_000031;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_009039972.1;locus_tag=pgaptmp_000031;product=hypothetical protein;protein_id=extdb:pgaptmp_000031;transl_table=11	pgaptmp_000031	hypothetical protein	226186.BT_0032	2.58E-37	125	2A8UC@1|root,30XXK@2|Bacteria,4PBI2@976|Bacteroidetes,2FZ3M@200643|Bacteroidia,4AUIB@815|Bacteroidaceae	976|Bacteroidetes																						
pgaptmp_000032	GeneMarkS-2+	CDS	29446	29970		+	0	ID=cds-pgaptmp_000032;Parent=gene-pgaptmp_000032;Name=extdb:pgaptmp_000032;gbkey=CDS;inference=COORDINATES: ab initio prediction:GeneMarkS-2+;locus_tag=pgaptmp_000032;product=hypothetical protein;protein_id=extdb:pgaptmp_000032;transl_table=11	pgaptmp_000032	hypothetical protein																											
pgaptmp_000033	Protein Homology	CDS	30135	31492		+	0	ID=cds-pgaptmp_000033;Parent=gene-pgaptmp_000033;Note=frameshifted;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_008667781.1;locus_tag=pgaptmp_000033;product=transposase;pseudo=true;transl_table=11	pgaptmp_000033	transposase	483215.BACFIN_07578	0.000477	48.1	COG3039@1|root,COG3039@2|Bacteria,4NGW9@976|Bacteroidetes,2FQ99@200643|Bacteroidia,4AKZ0@815|Bacteroidaceae	976|Bacteroidetes	L	Psort location Cytoplasmic, score 8.96													DDE_Tnp_1_2,DUF772							
pgaptmp_000034	Protein Homology	CDS	32315	33526		+	0	ID=cds-pgaptmp_000034;Parent=gene-pgaptmp_000034;Name=extdb:pgaptmp_000034;Ontology_term=GO:0006310,GO:0009009;gbkey=CDS;go_function=site-specific recombinase activity|0009009||IEA;go_process=DNA recombination|0006310||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_009039969.1;locus_tag=pgaptmp_000034;product=tyrosine-type recombinase/integrase;protein_id=extdb:pgaptmp_000034;transl_table=11	pgaptmp_000034	tyrosine-type recombinase/integrase	226186.BT_0036	5.38E-291	794	COG0582@1|root,COG0582@2|Bacteria,4NI5P@976|Bacteroidetes,2G04I@200643|Bacteroidia,4AN43@815|Bacteroidaceae	976|Bacteroidetes	L	Belongs to the 'phage' integrase family													Arm-DNA-bind_5,Phage_int_SAM_5,Phage_integrase							
pgaptmp_000035	Protein Homology	CDS	34087	35142		+	0	ID=cds-pgaptmp_000035;Parent=gene-pgaptmp_000035;Name=extdb:pgaptmp_000035;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_008766421.1;locus_tag=pgaptmp_000035;product=transcriptional regulator;protein_id=extdb:pgaptmp_000035;transl_table=11	pgaptmp_000035	transcriptional regulator	226186.BT_0037	2.91E-255	699	2DNE9@1|root,32X2U@2|Bacteria,4NSTW@976|Bacteroidetes,2FR9F@200643|Bacteroidia,4APNM@815|Bacteroidaceae	976|Bacteroidetes	S	Psort location Cytoplasmic, score																				
pgaptmp_000036	Protein Homology	CDS	35266	35703		+	0	ID=cds-pgaptmp_000036;Parent=gene-pgaptmp_000036;Name=extdb:pgaptmp_000036;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_009039967.1;locus_tag=pgaptmp_000036;product=hypothetical protein;protein_id=extdb:pgaptmp_000036;transl_table=11	pgaptmp_000036	hypothetical protein																											
