"Feature"	"Consortium_Early_R1"	"Consortium_Early_R2"	"Consortium_Early_R3"	"Consortium_Late_R1"	"Consortium_Late_R2"	"Consortium_Late_R3"	"HGF2_Early_R1"	"HGF2_Early_R2"	"HGF2_Early_R3"	"HGF2_Late_R1"	"HGF2_Late_R2"	"HGF2_Late_R13"
"RCHGF000047"	485	645	419	251	196	224	53514	59287	24607	18746	19931	16212
"RCHGF000048"	1061	1378	1022	544	495	437	90987	89149	28603	41899	30284	22602
"RCHGF000049"	4	15	13	9	7	5	2696	2504	1752	1494	2148	1786
"RCHGF000050"	34	19	19	8	5	12	3260	3406	2550	1871	2309	2018
"RCHGF000051"	13	17	14	7	14	11	3348	3160	6202	2479	3168	2547
"RCHGF000052"	0	5	0	0	0	0	24	19	22	9	8	1
"RCHGF000053"	0	0	0	0	0	0	43	35	29	11	11	13
"RCHGF000054"	7	12	1	3	2	4	4625	3501	8951	5974	6532	4065
"RCHGF000055"	1	6	0	1	0	1	669	701	593	318	425	389
"RCHGF000056"	0	0	0	0	0	0	9	19	14	8	7	1
"RCHGF000057"	1	2	1	0	0	0	334	382	665	161	316	265
"RCHGF000058"	3	7	0	1	1	0	1467	1541	1104	861	1280	1062
"RCHGF000059"	3	1	1	1	1	0	1134	1251	903	711	1001	939
"RCHGF000060"	2	3	2	0	0	0	567	499	419	297	377	311
"RCHGF000061"	1	11	2	0	2	0	247	276	154	135	139	102
"RCHGF000062"	9	14	9	8	2	4	4305	4385	2714	2829	4152	3889
"RCHGF000063"	17	21	6	2	1	3	5704	6267	4876	4767	6845	6111
"RCHGF000064"	2	5	10	1	1	0	1709	1934	1419	1546	1753	1365
"RCHGF000065"	15	16	14	9	7	5	2662	2732	2367	1083	1494	1309
"RCHGF000066"	8	3	11	4	1	6	1874	1960	1369	881	1252	1051
"RCHGF000067"	6	15	4	2	2	1	2180	2153	1835	1081	1452	1263
"RCHGF000068"	4	9	5	2	5	2	1467	1325	1159	618	845	698
"RCHGF000069"	0	4	3	1	0	5	1721	1994	981	796	966	838
"RCHGF000070"	10	17	5	3	5	3	6086	5265	5073	1194	1500	1230
"RCHGF000071"	0	1	0	0	0	2	101	103	114	58	57	65
"RCHGF000072"	0	0	0	0	0	0	11	16	13	10	8	9
"RCHGF000073"	1	5	2	1	0	0	103	138	100	175	114	115
"RCHGF000074"	5	4	2	0	2	3	66	96	86	162	89	69
"RCHGF000075"	3	4	0	0	0	1	23	27	22	66	28	42
"RCHGF000076"	17	29	19	14	9	10	3233	2474	7137	3369	4340	3079
"RCHGF000077"	31	21	27	16	17	12	3007	2570	5599	4846	4003	2561
"RCHGF000078"	12	19	3	1	7	0	285	433	236	683	636	523
"RCHGF000079"	2	4	2	0	0	0	32	49	38	68	45	31
"RCHGF000080"	1	4	0	0	0	0	52	61	58	66	80	49
"RCHGF000081"	1	1	0	0	0	0	63	68	56	124	96	72
"RCHGF000082"	2	3	2	0	0	0	79	130	56	206	190	165
"RCHGF000083"	5	0	2	0	0	1	190	214	153	150	125	87
"RCHGF000084"	2	3	1	1	2	2	430	466	278	348	314	264
"RCHGF000085"	3	1	0	0	0	0	203	270	88	82	134	87
"RCHGF000086"	1	0	0	0	0	2	90	96	52	76	82	69
"RCHGF000087"	3	5	1	0	2	0	610	617	326	267	341	262
"RCHGF000088"	2	4	2	0	0	0	484	629	395	218	232	193
"RCHGF000089"	4	0	10	0	0	0	1417	1315	967	389	447	368
"RCHGF000090"	6	2	1	0	0	0	91	126	187	134	97	95
"RCHGF000091"	5	8	14	9	2	2	1752	2053	2364	1109	1409	1150
"RCHGF000092"	56	52	28	22	17	21	5056	5219	8621	2349	2978	2836
"RCHGF000093"	50	59	47	38	26	21	10111	9121	27532	7837	9350	8628
"RCHGF000094"	1	6	2	0	0	0	248	238	175	156	97	94
"RCHGF000095"	4	7	3	0	0	0	511	602	424	306	249	281
"RCHGF000096"	2	3	1	0	0	0	272	232	180	160	139	120
"RCHGF000097"	2	3	4	0	0	2	225	234	229	110	99	111
"RCHGF000098"	0	4	2	0	0	0	216	298	185	136	120	97
"RCHGF000099"	3	1	0	1	0	2	397	466	265	182	189	160
"RCHGF000100"	0	0	0	0	0	0	4	10	2	6	6	4
"RCHGF000101"	5	1	3	1	0	2	933	1190	910	448	600	454
"RCHGF000102"	3	2	2	0	1	1	523	593	545	301	470	324
"RCHGF000103"	33	60	50	7	14	9	16891	20088	11461	9714	11942	10229
"RCHGF000104"	6	8	1	5	2	2	5385	5531	5772	3521	5474	4537
"RCHGF000105"	8	9	10	3	2	1	9000	9742	7336	5451	7458	6423
"RCHGF000106"	8	11	1	12	0	2	333	321	411	69839	45890	52113
"RCHGF000107"	5	13	6	2	2	2	10333	9257	9288	27006	19695	12471
"RCHGF000108"	0	0	0	0	0	0	59	85	139	2567	2172	1524
"RCHGF000109"	0	0	0	0	0	0	209	178	89	338	171	183
"RCHGF000110"	4	1	0	3	0	0	169	187	139	109	82	76
"RCHGF000111"	33	32	31	9	5	8	7338	5762	5207	4337	6950	6257
"RCHGF000112"	0	10	4	0	0	0	201	188	188	146	113	61
"RCHGF000113"	1	0	0	1	0	0	144	200	166	163	195	121
"RCHGF000114"	0	2	0	0	0	0	69	99	105	80	76	65
"RCHGF000115"	0	4	0	0	1	0	104	129	146	131	124	157
"RCHGF000116"	1	1	2	2	2	0	130	109	112	87	94	77
"RCHGF000117"	4	3	0	0	0	0	87	153	132	72	80	83
"RCHGF000118"	5	6	5	2	1	0	728	979	810	730	700	677
"RCHGF000119"	2	12	2	2	3	2	392	399	237	253	207	179
"RCHGF000121"	0	0	1	0	0	0	136	135	151	119	144	95
"RCHGF000122"	1	2	1	0	0	4	1307	1239	1435	630	1118	715
"RCHGF000123"	6	5	5	3	4	3	3401	3693	2530	1444	2161	1921
"RCHGF000124"	17	9	7	6	1	3	2022	1945	2438	721	1178	896
"RCHGF000125"	1	2	1	5	1	2	664	594	551	324	474	364
"RCHGF000126"	0	0	0	0	0	0	18	25	27	129	121	129
"RCHGF000127"	2	6	0	2	1	0	321	348	189	1656	1552	1714
"RCHGF000128"	0	0	0	0	0	0	24	25	18	145	131	67
"RCHGF000129"	1	0	0	0	0	0	156	179	105	293	360	321
"RCHGF000130"	1	2	2	0	4	0	303	373	237	667	722	688
"RCHGF000131"	3	0	0	0	2	0	196	227	160	297	360	363
"RCHGF000132"	2	3	4	0	0	0	678	817	694	523	684	617
"RCHGF000133"	1	5	4	0	1	0	1066	1027	656	1169	1487	1159
"RCHGF000134"	16	9	12	10	3	1	3045	3359	2783	2338	3253	2701
"RCHGF000135"	15	21	12	10	3	5	3928	4668	3346	2578	3287	2577
"RCHGF000136"	0	0	0	0	0	0	25	31	35	835	364	345
"RCHGF000137"	2	0	1	0	0	3	688	677	630	746	834	681
"RCHGF000138"	17	28	15	7	4	13	5481	5660	3229	3625	3920	3254
"RCHGF000139"	6	1	0	2	2	1	264	337	169	14552	14054	11512
"RCHGF000140"	13	6	3	2	7	5	10323	9190	13243	9542	10213	7056
"RCHGF000141"	8	9	15	3	2	1	2249	2170	2222	2640	4141	3533
"RCHGF000142"	0	0	0	0	0	0	35	50	41	26	12	16
"RCHGF000143"	2	0	0	1	0	0	34	41	37	774	560	465
"RCHGF000144"	0	1	1	0	0	0	102	137	74	1898	1825	1392
"RCHGF000145"	4	0	2	0	2	0	81	93	72	1048	925	722
"RCHGF000146"	0	0	0	0	0	0	94	108	79	368	466	411
"RCHGF000147"	3	1	0	0	0	0	72	70	48	9504	5889	4577
"RCHGF000148"	83	98	49	33	36	38	70170	60234	82513	21652	17421	13221
"RCHGF000149"	2	6	2	1	6	4	2639	1880	1024	1341	1795	1465
"RCHGF000151"	7	4	9	6	5	7	4638	5160	4983	3330	5829	4883
"RCHGF000152"	3	0	0	0	0	0	371	316	362	337	359	290
"RCHGF000153"	1	1	3	0	0	0	853	757	1016	695	578	506
"RCHGF000154"	0	0	2	0	0	0	113	96	77	66	25	30
"RCHGF000155"	0	5	2	2	0	0	306	255	230	117	99	80
"RCHGF000156"	0	0	0	1	0	0	237	265	193	132	120	90
"RCHGF000157"	1	0	1	0	0	0	183	189	143	79	96	63
"RCHGF000158"	0	0	0	0	0	0	101	123	85	60	55	35
"RCHGF000159"	4	0	0	0	0	0	251	278	332	214	194	194
"RCHGF000160"	0	0	0	0	0	0	174	219	226	226	265	208
"RCHGF000161"	0	5	0	0	2	0	290	288	224	166	117	102
"RCHGF000162"	3	4	3	0	1	0	613	541	755	683	763	613
"RCHGF000163"	2	4	2	0	0	0	435	563	365	740	694	516
"RCHGF000165"	8	11	6	3	0	3	1080	1069	1065	723	1097	844
"RCHGF000166"	11	20	23	4	6	4	4668	5012	4328	2978	4477	3947
"RCHGF000167"	0	0	0	0	0	0	17	13	10	57	33	37
"RCHGF000168"	52	75	57	21	24	25	5551	5870	2378	2123	2530	2188
"RCHGF000169"	70	85	82	40	32	25	17938	18621	14961	11491	14274	11672
"RCHGF000170"	6	16	10	7	7	8	6603	5265	8146	3749	5528	4134
"RCHGF000171"	9	6	6	0	5	2	2784	2533	2368	1679	1954	1604
"RCHGF000172"	3	2	1	0	1	0	669	578	651	329	486	453
"RCHGF000173"	3	6	4	1	0	0	884	840	783	521	671	555
"RCHGF000174"	2	5	4	4	2	0	332	432	389	289	170	180
"RCHGF000175"	32	32	33	15	23	16	3245	3843	1717	2758	2702	2457
"RCHGF000176"	6	6	12	3	0	2	3935	5028	5403	2212	2090	1530
"RCHGF000177"	40	45	51	20	26	25	5732	5953	3779	2954	2032	1842
"RCHGF000178"	124	172	106	61	53	43	60287	60552	33749	15717	17197	13814
"RCHGF000179"	36	43	33	17	13	15	22039	22019	14422	7753	10212	7301
"RCHGF000180"	0	0	0	0	0	0	11	6	5	11	9	9
"RCHGF000181"	10	2	7	1	4	0	1965	2253	1888	1244	1398	1312
"RCHGF000182"	3	2	0	0	2	0	815	877	893	11296	9867	10107
"RCHGF000183"	4	6	8	3	1	1	1706	2098	2203	19335	15529	16606
"RCHGF000184"	4	0	4	0	1	3	1221	1163	1049	3461	2389	2225
"RCHGF000185"	15	13	11	2	4	9	4618	5241	4443	5236	5227	4795
"RCHGF000186"	11	12	13	5	7	9	2863	2644	4308	2805	2954	2441
"RCHGF000187"	12	6	9	1	3	3	640	618	331	612	686	563
"RCHGF000188"	5	7	0	3	3	1	184	230	133	194	209	188
"RCHGF000189"	6	17	11	16	13	8	720	712	268	737	810	663
"RCHGF000190"	26	34	20	7	16	13	1416	1787	512	1216	1524	1078
"RCHGF000191"	40	45	38	14	15	29	3900	4025	2217	2814	3689	3077
"RCHGF000192"	1	3	2	2	2	0	547	649	435	197	299	231
"RCHGF000193"	5	7	1	0	0	0	991	1098	702	1336	1897	1639
"RCHGF000194"	5	8	7	1	0	1	252	270	286	508	641	556
"RCHGF000195"	6	2	0	0	1	0	216	244	196	353	505	438
"RCHGF000196"	4	4	1	4	1	3	752	753	644	1510	2056	1637
"RCHGF000197"	0	4	6	0	4	1	357	513	266	704	833	798
"RCHGF000198"	3	3	2	1	1	0	481	512	382	760	1067	940
"RCHGF000199"	4	7	7	0	1	3	589	559	453	849	1007	900
"RCHGF000200"	12	12	9	5	8	4	1945	1958	2521	1513	1773	1638
"RCHGF000201"	4	3	4	5	0	1	325	388	311	25735	26534	21156
"RCHGF000202"	0	0	0	1	0	1	86	91	17	1985	1765	1474
"RCHGF000203"	137	206	154	47	57	49	6975	8126	1325	1604	1423	1165
"RCHGF000204"	148	222	160	83	71	72	8454	9814	1880	1679	1775	1315
"RCHGF000205"	54	55	43	24	31	18	2124	2056	757	283	267	233
"RCHGF000206"	83	189	93	50	23	42	6020	6484	1043	614	512	350
"RCHGF000207"	19	30	22	12	4	3	1426	1466	269	119	128	97
"RCHGF000208"	21	33	20	4	12	8	1523	1336	476	210	212	181
"RCHGF000209"	50	51	46	36	15	14	2379	2306	653	473	403	319
"RCHGF000210"	39	61	36	22	20	16	2022	2164	619	438	365	271
"RCHGF000212"	14	30	16	13	3	9	884	1023	250	328	304	263
"RCHGF000213"	18	22	16	13	7	3	794	941	201	154	162	114
"RCHGF000214"	2	1	6	0	0	1	102	125	62	328	502	502
"RCHGF000215"	3	3	1	0	0	2	76	90	41	402	339	355
"RCHGF000216"	8	6	4	5	3	5	338	382	150	1424	1361	1250
"RCHGF000217"	0	0	0	0	0	0	1	0	1	2	0	0
"RCHGF000218"	1	0	2	0	2	6	1489	1287	1759	777	911	683
"RCHGF000219"	4	4	4	1	0	0	2804	3019	1981	1793	2407	1846
"RCHGF000220"	0	0	0	0	0	0	30	31	15	3	2	4
"RCHGF000221"	1	5	0	0	1	0	297	334	130	7779	7579	5912
"RCHGF000222"	9	13	13	7	2	1	2474	2441	1672	1770	2467	2184
"RCHGF000223"	7	4	6	2	2	2	782	804	189	416	499	376
"RCHGF000224"	11	10	5	10	5	8	2350	2266	1790	1172	1529	1208
"RCHGF000225"	2	0	4	0	2	1	341	352	266	299	458	382
"RCHGF000226"	9	1	2	0	2	0	1327	1448	1202	1270	1950	1687
"RCHGF000227"	1	1	1	0	0	0	167	153	173	148	143	98
"RCHGF000228"	2	11	6	2	0	4	1194	1283	1541	1136	1817	1529
"RCHGF000229"	0	1	0	4	0	1	322	317	283	237	452	310
"RCHGF000230"	0	2	3	0	2	0	474	470	355	356	665	467
"RCHGF000231"	2	7	1	0	0	0	318	318	257	302	336	270
"RCHGF000232"	1	1	0	1	2	0	326	236	220	185	208	131
"RCHGF000233"	8	10	3	2	0	0	398	399	473	238	283	267
"RCHGF000234"	11	6	11	2	0	5	2489	2342	1993	1458	1743	1307
"RCHGF000235"	77	168	120	60	42	38	19989	24107	13920	12041	15638	13414
"RCHGF000236"	2	5	5	0	3	4	3023	2842	1462	1479	1908	1486
"RCHGF000237"	100	135	76	53	31	36	19410	24666	12159	13918	17125	15715
"RCHGF000238"	6	19	6	6	7	5	10356	7971	8385	5053	6151	4331
"RCHGF000240"	24	59	45	16	14	22	18577	19360	10718	6937	7053	5695
"RCHGF000241"	13	16	9	1	9	4	3196	2523	2403	938	1551	1124
"RCHGF000242"	6	8	7	5	1	2	2214	2393	1718	1026	1184	1001
"RCHGF000243"	55	56	36	24	21	28	15174	15049	18644	5873	7999	6730
"RCHGF000244"	15	16	14	10	3	5	4255	4745	3787	9867	13242	10745
"RCHGF000245"	9	7	19	8	2	4	1882	1903	2329	3041	4049	3250
"RCHGF000246"	27	23	17	4	9	9	4160	4280	3850	3227	4877	4047
"RCHGF000247"	9	9	5	1	3	2	5647	6015	3894	3460	4957	4048
"RCHGF000248"	37	28	20	37	26	7	8762	9311	7965	5267	7451	6488
"RCHGF000249"	31	42	35	18	19	15	17320	17810	19686	17519	22578	21205
"RCHGF000250"	20	28	35	7	9	16	7672	7753	5935	5029	6732	5659
"RCHGF000251"	26	29	17	17	6	6	3348	3989	2254	2275	3647	3298
"RCHGF000252"	56	66	31	18	14	11	6488	6039	3706	3466	6247	5435
"RCHGF000253"	9	15	9	8	4	2	4041	4398	2679	2838	4139	3327
"RCHGF000254"	12	27	22	11	1	7	3773	3424	3087	2194	3666	3013
"RCHGF000255"	3	3	1	0	0	4	439	564	163	54	83	74
"RCHGF000256"	43	36	21	10	2	10	32773	30634	21307	16795	21240	15762
"RCHGF000257"	17	28	6	3	5	2	7857	7836	5141	4099	6112	5159
"RCHGF000258"	1	2	5	1	2	3	2900	2847	2583	1817	2334	1903
"RCHGF000259"	9	30	16	5	3	8	2278	2280	1815	1529	2388	2108
"RCHGF000260"	68	48	50	29	32	28	5978	6195	9519	299752	158022	108826
"RCHGF000261"	35	51	30	12	32	12	2681	2480	1146	970	1106	859
"RCHGF000262"	6	3	6	1	1	1	999	963	743	599	959	743
"RCHGF000263"	9	9	10	5	2	2	1623	1729	1443	1340	1881	1519
"RCHGF000264"	12	10	1	2	3	7	1236	1401	837	596	848	697
"RCHGF000265"	0	0	0	0	0	0	11	14	3	10	10	4
"RCHGF000266"	0	0	2	0	0	0	0	3	4	3	2	0
"RCHGF000267"	1	0	1	0	0	0	14	11	14	11	3	4
"RCHGF000268"	1	1	1	0	0	0	53	51	25	20	13	10
"RCHGF000269"	2	1	0	0	0	1	133	178	81	53	50	53
"RCHGF000270"	2	4	2	0	1	2	497	469	573	420	434	396
"RCHGF000271"	0	0	0	0	0	0	6	36	14	5	12	4
"RCHGF000272"	5	3	1	1	1	5	857	1111	689	993	844	691
"RCHGF000273"	4	3	2	3	4	2	6566	6138	12064	4859	5021	3592
"RCHGF000274"	1	0	0	0	0	0	364	331	246	293	262	242
"RCHGF000275"	1	0	0	0	1	0	76	100	125	78	97	81
"RCHGF000276"	1	1	4	0	0	0	294	311	353	272	297	217
"RCHGF000277"	2	0	1	0	2	0	244	259	177	138	201	109
"RCHGF000279"	15	12	13	6	7	4	7536	4664	6966	3138	4032	3200
"RCHGF000280"	2	3	8	0	0	1	572	681	770	461	534	507
"RCHGF000281"	4	1	3	4	0	3	301	342	425	237	264	209
"RCHGF000282"	8	8	3	0	2	2	535	537	556	517	638	504
"RCHGF000283"	1	7	4	1	0	0	1015	1065	819	627	846	752
"RCHGF000284"	5	2	5	1	4	0	1146	973	1310	1372	1259	988
"RCHGF000285"	1	5	5	0	3	0	513	494	519	518	589	501
"RCHGF000286"	66	117	94	45	38	47	10550	11944	7972	8823	10296	8809
"RCHGF000287"	1	1	2	0	0	3	237	212	98	79	90	59
"RCHGF000288"	17	14	13	8	5	4	5941	6625	5206	4431	6670	5460
"RCHGF000289"	23	24	24	14	6	3	6502	7303	5005	4074	6793	5483
"RCHGF000290"	1	4	5	1	0	2	1002	1104	753	533	672	588
"RCHGF000291"	2	1	0	0	0	0	88	97	72	200	202	114
"RCHGF000292"	5	5	1	1	2	1	3568	3257	3418	2696	4515	3913
"RCHGF000293"	12	17	13	1	2	9	10274	10582	13610	8371	13481	11233
"RCHGF000294"	0	1	0	0	0	0	19	26	38	13	22	20
"RCHGF000295"	11	10	5	5	3	7	2219	2146	1388	1778	2080	1813
"RCHGF000296"	24	12	14	5	8	3	3332	3254	2246	2240	2735	2261
"RCHGF000297"	1	3	1	1	2	0	1355	1517	1042	903	1247	990
"RCHGF000298"	9	3	6	1	1	1	1825	1799	1138	875	1481	1309
"RCHGF000299"	7	25	14	9	8	13	4002	5084	3236	4634	5318	4632
"RCHGF000300"	16	13	11	4	7	7	4507	4629	3576	5293	5532	4444
"RCHGF000301"	4	16	4	0	1	0	1277	1255	1883	713	871	630
"RCHGF000302"	18	14	12	8	1	5	3032	3147	1595	3036	3625	3143
"RCHGF000303"	61	39	21	38	49	22	120717	128465	270980	90514	69451	43228
"RCHGF000304"	4	5	6	1	0	0	385	345	165	1476	1578	1393
"RCHGF000305"	1	3	1	0	0	0	172	225	70	1330	1103	1022
"RCHGF000306"	0	0	0	0	0	0	38	52	22	678	753	563
"RCHGF000307"	8	8	3	7	3	1	2688	2723	2367	2264	3302	2920
"RCHGF000308"	4	0	1	0	0	0	1256	1278	1634	1233	2003	1696
"RCHGF000309"	3	3	1	0	1	0	426	417	252	224	291	226
"RCHGF000310"	2	2	1	3	2	0	1710	1741	1098	665	725	646
"RCHGF000311"	11	9	5	3	0	2	2037	2089	1905	799	1215	1069
"RCHGF000312"	10	10	6	7	9	1	16383	13262	33938	12849	7276	4878
"RCHGF000313"	46	75	35	15	29	16	31557	33824	25430	15168	23842	20111
"RCHGF000314"	12	15	5	3	4	1	4714	4903	4010	2853	5022	4309
"RCHGF000315"	6	10	1	2	0	2	3303	4059	2428	2193	2968	2542
"RCHGF000316"	6	4	3	1	1	1	3073	3473	2145	2461	2927	2360
"RCHGF000317"	0	3	2	0	1	2	692	748	613	713	672	553
"RCHGF000318"	15	9	5	3	6	8	3468	3622	2704	2921	4355	3772
"RCHGF000319"	5	6	1	4	4	5	4465	4014	3585	2297	2709	2442
"RCHGF000320"	8	16	9	4	4	5	5324	5802	3586	3501	4599	3886
"RCHGF000321"	41	46	32	27	17	20	14030	16018	7559	8571	12084	10652
"RCHGF000323"	0	4	4	2	0	0	717	738	974	640	964	751
"RCHGF000324"	1	0	4	0	0	0	57	70	85	2187	3526	2668
"RCHGF000325"	1	2	2	0	0	0	42	49	58	4596	5030	4050
"RCHGF000326"	3	5	3	0	1	1	213	200	209	17855	19036	15851
"RCHGF000327"	0	0	0	1	0	0	59	58	69	3132	1971	1401
"RCHGF000328"	1	1	1	2	2	4	84	115	214	13917	7358	4732
"RCHGF000329"	1	6	3	2	1	2	367	403	196	544	542	497
"RCHGF000330"	4	10	9	1	6	3	365	480	192	506	512	429
"RCHGF000331"	1	5	5	1	0	2	205	172	103	209	251	238
"RCHGF000332"	1	3	0	2	2	1	156	168	102	162	156	145
"RCHGF000333"	2	5	0	1	1	3	2028	2000	1242	1017	1454	1323
"RCHGF000334"	23	14	22	6	8	7	7607	7928	4947	4667	6729	5644
"RCHGF000335"	6	7	4	2	0	0	1601	1668	1024	1373	1699	1374
"RCHGF000336"	4	0	4	4	1	0	732	724	510	526	867	748
"RCHGF000337"	12	10	9	2	5	6	1740	1806	1284	1756	2421	1985
"RCHGF000338"	11	11	8	3	2	3	1483	1437	1021	907	1407	1279
"RCHGF000339"	5	1	3	0	1	0	386	446	666	367	295	227
"RCHGF000340"	0	0	0	1	0	0	214	233	330	96	99	66
"RCHGF000341"	1	0	2	0	0	1	271	324	202	130	154	111
"RCHGF000342"	1	5	0	1	0	2	1639	1431	988	748	1171	1039
"RCHGF000343"	3	7	1	1	0	2	282	254	136	657	747	676
"RCHGF000344"	2	1	0	1	0	2	277	281	318	512	546	452
"RCHGF000345"	2	5	3	1	6	3	956	907	1262	2516	2647	2148
"RCHGF000346"	1	5	0	1	0	0	101	62	106	7802	10315	8408
"RCHGF000347"	1	0	1	2	0	0	81	93	70	4821	4350	3539
"RCHGF000348"	2	2	2	0	2	0	462	422	376	1006	1191	993
"RCHGF000349"	3	4	1	2	2	1	1673	1465	1270	1271	1790	1270
"RCHGF000350"	10	11	12	4	15	5	3276	3060	3578	2087	3227	2564
"RCHGF000351"	2	0	0	1	0	1	523	590	448	301	438	279
"RCHGF000352"	12	6	1	0	3	0	660	733	632	391	636	504
"RCHGF000353"	2	5	2	1	0	0	834	823	724	473	715	518
"RCHGF000354"	2	9	1	1	2	1	1104	1374	582	636	556	656
"RCHGF000355"	0	0	0	0	1	0	9	16	10	15	6	4
"RCHGF000356"	7	10	7	1	1	6	774	794	752	440	721	538
"RCHGF000357"	11	16	32	8	11	11	2429	2547	1593	847	1210	983
"RCHGF000358"	27	27	31	9	18	31	5023	4951	2363	1707	2125	1805
"RCHGF000359"	0	0	0	0	0	0	21	21	13	7	14	1
"RCHGF000360"	5	7	4	2	1	0	875	1056	554	539	675	509
"RCHGF000361"	1	5	0	1	6	2	531	600	159	788	834	719
"RCHGF000362"	4	1	0	1	0	0	344	428	143	536	518	444
"RCHGF000363"	5	1	0	0	0	0	518	541	255	628	637	613
"RCHGF000364"	1	1	0	1	0	0	671	807	352	285	342	294
"RCHGF000365"	6	2	4	0	0	0	2723	2760	1658	1129	1526	1356
"RCHGF000366"	5	7	3	3	1	5	2825	3048	1441	1415	1840	1749
"RCHGF000367"	6	7	6	9	3	1	1850	1874	910	922	1059	932
"RCHGF000368"	2	3	1	4	0	0	786	583	568	831	1409	1003
"RCHGF000369"	13	12	7	0	3	3	1191	1224	1143	1420	2586	2215
"RCHGF000370"	6	6	0	1	2	1	3689	3206	4373	1377	1213	1023
"RCHGF000372"	17	5	6	7	4	6	3661	3325	4349	2769	4684	3803
"RCHGF000373"	1	0	2	0	1	0	212	243	97	234	155	173
"RCHGF000374"	9	9	9	13	0	0	3647	3639	3333	1078	1438	1374
"RCHGF000375"	4	2	1	1	0	1	810	890	452	275	355	322
"RCHGF000377"	2	10	4	0	1	0	2455	1594	1283	275	377	312
"RCHGF000379"	1	1	1	1	2	0	484	498	1813	739	928	1012
"RCHGF000380"	3	1	2	0	0	0	305	304	429	201	172	123
"RCHGF000381"	1	1	1	0	0	0	214	151	209	69	81	61
"RCHGF000382"	4	0	2	6	0	0	177	206	160	129	86	75
