"Feature"	"Consortium_Early_R1"	"Consortium_Early_R2"	"Consortium_Early_R3"	"Consortium_Late_R1"	"Consortium_Late_R2"	"Consortium_Late_R3"	"PT33_Early_R1"	"PT33_Early_R2"	"PT33_Early_R3"	"PT33_Late_R1"	"PT33_Late_R2"	"PT33_Late_R3"
"RVCYZ000137"	1439	1917	1311	1246	960	744	1653	2544	1661	4126	4343	4387
"RVCYZ000138"	1247	1628	1206	874	680	650	1282	1568	1670	1435	1326	1409
"RVCYZ000139"	1008	1255	994	792	676	636	1086	1473	1696	2170	2249	2128
"RVCYZ000140"	6578	8092	6717	4918	4162	4516	6484	7669	6774	3325	3161	3429
"RVCYZ000142"	1049	1255	846	750	604	741	684	1038	1906	1205	1248	1338
"RVCYZ000143"	1892	2391	1726	1474	1172	1034	2157	3107	2903	4795	4911	5002
"RVCYZ000144"	5297	6661	4824	4778	3981	4553	4522	5029	8257	2996	2951	2985
"RVCYZ000145"	645	767	561	582	424	483	709	805	2295	944	923	910
"RVCYZ000146"	427	535	392	521	389	331	517	902	1699	1877	1946	1992
"RVCYZ000148"	379	488	314	365	338	296	346	544	1099	982	903	894
"RVCYZ000149"	1731	2056	1602	1393	1136	1068	1407	1570	3727	975	999	992
"RVCYZ000150"	4754	5937	4913	2711	2284	2620	4535	4747	9446	1957	1752	1766
"RVCYZ000151"	1487	2029	1546	1216	977	935	1473	2094	3652	3237	3326	3167
"RVCYZ000152"	41	77	46	58	38	23	66	93	99	245	265	238
"RVCYZ000153"	664	453	297	368	258	196	499	759	603	1778	1448	1948
"RVCYZ000154"	9814	13367	9561	7044	5471	5689	8252	8734	2768	4690	4665	4434
"RVCYZ000155"	1752	2262	1639	1007	771	744	1745	2226	7812	3130	3053	3090
"RVCYZ000156"	4118	4961	3449	2201	1574	1588	4146	4485	10695	4753	4707	4853
"RVCYZ000157"	3271	4152	2798	2138	1771	1598	3471	4448	6254	5109	5460	5275
"RVCYZ000158"	606	858	617	423	409	341	694	959	960	1546	1589	1545
"RVCYZ000159"	1910	2183	1671	1302	982	1019	2026	2491	1867	2212	2237	2309
"RVCYZ000160"	1654	1920	1494	940	817	799	1415	1823	2416	1235	1257	1243
"RVCYZ000161"	1443	1680	1251	1032	827	859	1282	1696	2150	1481	1565	1546
"RVCYZ000162"	2199	2542	1989	1507	1270	1258	2371	2624	4210	2082	2136	2272
"RVCYZ000163"	3186	3748	3129	1785	1626	1797	3231	3511	5756	2134	2114	2038
"RVCYZ000164"	7365	8977	7638	6972	6293	7345	7649	8127	11426	4706	5120	5359
"RVCYZ000165"	2750	3716	2809	2362	1927	1908	2697	3350	3945	3310	3387	3284
"RVCYZ000166"	4468	5802	4589	3624	3201	3317	4377	4912	4992	4491	4418	4587
"RVCYZ000167"	5725	7088	5576	6794	6738	7042	6205	7384	4355	6927	6892	7204
"RVCYZ000168"	3107	4142	2982	2382	1882	2035	2836	3652	3306	2657	2651	2649
"RVCYZ000169"	863	1158	800	866	787	707	992	1424	1286	2423	2334	2391
"RVCYZ000170"	2008	2231	1670	1265	902	832	2517	2859	5587	3135	2752	2781
"RVCYZ000171"	669	800	712	491	364	424	746	885	1939	998	827	882
"RVCYZ000172"	2854	3615	2590	1641	1316	1243	2906	3725	5417	3934	3760	3796
"RVCYZ000173"	1509	1909	1492	1266	1179	1319	1474	1706	1740	1401	1395	1343
"RVCYZ000174"	2598	3408	2393	1723	1404	1363	2690	3328	2497	2403	2236	2268
"RVCYZ000175"	186	210	151	238	239	186	202	308	42	610	583	649
"RVCYZ000176"	31285	40993	33439	31578	27641	32143	36585	37441	32525	17274	15063	15684
"RVCYZ000177"	86	116	62	83	68	32	90	137	580	375	410	344
"RVCYZ000178"	1586	1985	1729	1289	1073	1163	1533	1859	2244	1561	1690	1649
"RVCYZ000179"	2118	2672	1974	1718	1341	1309	1642	2181	1439	1853	1741	1741
"RVCYZ000180"	2907	3346	2591	2571	2165	2355	2181	2627	2468	2221	2467	2489
"RVCYZ000181"	1411	1969	1490	989	718	687	1272	1620	1422	1680	1845	1753
"RVCYZ000182"	353	364	266	198	176	147	333	435	124	571	619	671
"RVCYZ000183"	1591	1976	1400	798	572	567	1320	1649	1009	1790	1801	1621
"RVCYZ000184"	1036	1348	1027	651	507	480	1052	1487	566	1789	1680	1825
"RVCYZ000185"	1024	1328	918	473	350	335	803	1155	643	938	978	991
"RVCYZ000186"	114	114	83	67	71	64	113	220	84	358	432	392
"RVCYZ000187"	638	872	548	599	484	337	868	1477	505	2858	2873	2887
"RVCYZ000188"	6838	8932	6566	4053	3486	3964	6332	6799	6902	3690	3688	3595
"RVCYZ000189"	4080	5311	3780	2435	1990	1713	4320	5253	2265	5087	5602	5440
"RVCYZ000190"	8974	9976	9142	8642	6844	7850	7651	8467	2114	1124	1263	1453
"RVCYZ000191"	1673	2088	1518	1299	1171	1052	1943	2562	1197	2778	2886	2983
"RVCYZ000192"	84	102	67	112	116	88	82	137	80	210	191	203
"RVCYZ000193"	1806	2151	1850	1587	1359	1372	1835	2359	2144	1677	1807	1959
"RVCYZ000194"	1463	1805	1276	1091	900	824	1743	2583	761	3303	3802	3711
"RVCYZ000195"	2098	2684	1872	1313	1122	981	2347	3045	1855	3571	3645	3644
"RVCYZ000196"	451	615	470	463	371	312	580	874	1169	1339	1470	1479
"RVCYZ000197"	872	1102	757	818	601	539	957	1249	2155	1662	1770	1793
"RVCYZ000198"	2421	2719	2391	1908	1635	1614	2717	3179	2812	2450	2654	2620
"RVCYZ000199"	1969	2378	1783	1546	1267	1115	2478	3457	1124	4815	5453	5538
"RVCYZ000200"	4030	4921	3500	3608	3069	3234	3142	3601	5892	3417	3394	3428
"RVCYZ000201"	6638	8027	6159	5954	5017	5302	5593	6204	8926	4271	4031	4115
"RVCYZ000202"	2796	3131	2731	1146	1013	1122	3470	4231	4777	2137	1845	1885
"RVCYZ000203"	9875	12770	9765	6049	4970	5335	9940	10893	3709	5522	5651	5735
"RVCYZ000204"	366	440	388	295	247	215	521	689	319	1047	1164	1203
"RVCYZ000205"	2230	2921	2369	1375	1129	1157	2218	2478	1756	2013	2033	2234
"RVCYZ000206"	6876	8812	6996	4096	3589	3412	6435	8118	3797	6990	7758	7713
"RVCYZ000207"	2125	2732	2316	1440	1298	1259	2158	2441	2701	2618	2689	2656
"RVCYZ000208"	1485	1845	1589	1241	1032	1049	1106	1228	3058	988	955	951
"RVCYZ000209"	4899	6391	4724	4309	3525	3825	4061	4371	6891	2126	1895	1867
"RVCYZ000210"	594	805	512	826	705	749	665	955	1057	1356	1404	1336
"RVCYZ000211"	980	1598	954	835	628	723	771	1014	587	790	947	825
"RVCYZ000212"	162615	229579	162115	141532	111607	117758	140935	145545	108263	48934	37066	36574
"RVCYZ000213"	42436	56520	42558	31334	27063	28738	39344	39590	79992	22338	18174	19390
"RVCYZ000214"	6911	8334	6518	5921	4771	4940	5041	5426	7896	2382	1957	2043
"RVCYZ000215"	5590	6608	6464	4771	4273	4461	4852	4639	5751	1585	1547	1836
"RVCYZ000216"	5894	7295	5333	4815	3769	3894	5180	5539	6221	3217	3134	3068
"RVCYZ000217"	3552	4974	3555	2200	1739	1670	3391	4158	2238	2775	2763	2829
"RVCYZ000218"	2470	3201	2323	1913	1641	1525	2476	3026	2510	3042	3259	3288
"RVCYZ000219"	7051	9376	7066	5321	4624	4856	6032	6196	6740	3541	3053	3285
"RVCYZ000220"	9158	11534	8647	6563	5250	5475	7825	10262	2158	8217	8992	8595
"RVCYZ000221"	531	604	360	400	383	291	660	1257	283	2103	2234	2202
"RVCYZ000222"	159	183	121	120	80	52	175	362	107	653	703	697
"RVCYZ000223"	103	126	59	79	41	46	107	135	160	300	273	195
"RVCYZ000224"	314	411	257	299	222	164	466	698	1565	1368	1396	1422
"RVCYZ000225"	525	645	343	437	467	256	754	1222	378	1997	2006	1879
"RVCYZ000226"	314	500	289	303	245	211	322	500	56	848	865	634
"RVCYZ000227"	324	365	231	276	272	222	302	529	114	1025	986	921
"RVCYZ000228"	418	487	361	262	198	138	381	507	1163	745	620	595
"RVCYZ000229"	1367	1600	1268	760	699	585	1584	2227	720	2533	2568	2548
"RVCYZ000230"	118	151	122	95	86	52	175	255	197	463	437	457
"RVCYZ000231"	1422	1792	1361	820	697	525	1851	2404	2388	3016	3232	3193
"RVCYZ000232"	3064	3496	2797	2039	1718	1622	2247	3245	1452	3246	3655	3493
"RVCYZ000233"	949	1208	870	771	625	544	829	1435	505	1873	2100	2127
"RVCYZ000234"	2735	3468	2694	2046	1678	1668	2401	2908	1182	2763	2994	3040
"RVCYZ000235"	4195	5352	3964	2123	1925	1828	4128	4769	7812	3109	3323	3410
"RVCYZ000236"	7590	9896	6973	4168	3563	3599	8389	9653	6282	6184	6196	6298
"RVCYZ000237"	925	1155	1006	696	716	790	1352	1493	753	868	913	953
"RVCYZ000238"	1661	2056	1596	1380	1093	1049	1714	2235	2107	2395	2525	2615
"RVCYZ000239"	481	454	331	370	284	256	503	725	307	961	1115	1019
"RVCYZ000240"	1327	1574	1054	1249	913	770	1637	2533	2287	4194	4736	4507
"RVCYZ000241"	1219	1599	1145	873	733	600	1439	2060	2932	2334	2844	2769
"RVCYZ000242"	2189	2604	1632	1791	1522	1277	2239	3467	10220	5750	6129	6005
"RVCYZ000243"	1323	1447	1118	865	746	676	1299	2010	1622	2513	2717	2869
"RVCYZ000244"	1387	1777	1412	1030	860	913	1282	1647	1488	1241	1354	1412
"RVCYZ000245"	2208	2718	2006	1608	1304	1486	2098	2406	1662	1436	1440	1364
"RVCYZ000246"	631	855	488	525	479	367	769	1315	152	2018	2291	2291
"RVCYZ000247"	8789	10580	7761	1592	1240	1274	8473	9331	8065	1688	1666	1822
"RVCYZ000248"	2541	3174	2064	826	534	606	1974	2158	3192	890	821	798
"RVCYZ000249"	589	684	482	268	221	220	536	696	1741	823	902	864
"RVCYZ000250"	273	422	246	258	234	169	399	620	648	877	1061	984
"RVCYZ000251"	900	1250	939	892	695	741	964	1338	453	1681	2031	1585
"RVCYZ000252"	89	104	69	84	42	49	91	102	80	283	431	215
"RVCYZ000253"	902	1213	684	749	543	420	1050	1505	625	3139	3510	2698
"RVCYZ000254"	141	186	115	126	115	78	177	285	145	709	721	694
"RVCYZ000255"	80	135	92	71	83	41	78	140	92	311	425	263
"RVCYZ000256"	92	116	63	82	86	56	87	216	32	463	472	435
"RVCYZ000257"	141	193	111	125	103	53	144	264	468	690	639	604
"RVCYZ000258"	107	223	96	104	97	66	187	319	30	593	675	624
"RVCYZ000259"	64	86	59	61	44	44	98	149	229	352	281	221
"RVCYZ000260"	86	119	54	73	52	60	116	196	63	404	404	403
"RVCYZ000261"	345	379	233	360	294	218	372	710	155	1158	1323	1215
"RVCYZ000262"	328	462	218	302	211	162	345	733	182	1393	1509	1302
"RVCYZ000263"	1437	1883	1115	1299	1001	769	1826	2907	1544	4128	4924	4859
"RVCYZ000264"	572	745	496	612	580	463	831	1302	469	2172	2454	2416
"RVCYZ000265"	845	1014	631	742	566	501	1070	1602	887	2404	2582	2694
"RVCYZ000266"	715	895	756	406	368	320	943	1193	474	1387	1561	1579
"RVCYZ000267"	1832	2534	2067	717	638	618	2290	2449	1208	1541	1652	1581
"RVCYZ000268"	1311	1662	1360	609	553	518	1640	1979	847	1507	1772	1643
"RVCYZ000269"	3556	4841	3796	1627	1386	1347	4369	4711	3573	2787	2719	2610
"RVCYZ000270"	7817	10202	7785	4942	4022	4217	10153	11649	10629	7052	6772	6129
"RVCYZ000271"	773	935	693	718	646	594	691	988	1190	1318	1382	1363
"RVCYZ000272"	263	339	234	173	152	141	254	323	720	499	519	513
"RVCYZ000273"	1411	1882	1617	902	768	626	1506	1871	5353	2579	2378	2267
"RVCYZ000274"	7689	9208	7414	4249	3657	3878	8659	9930	14264	7824	7635	7948
"RVCYZ000275"	512	591	389	336	304	230	581	876	639	1476	1582	1378
"RVCYZ000276"	498	698	349	327	297	216	581	964	2257	1652	1788	1515
"RVCYZ000277"	1538	1802	1472	919	841	858	1700	2114	2492	2167	2175	2381
"RVCYZ000278"	2456	2845	1940	1485	1122	1216	2285	2967	2921	2516	2618	2700
"RVCYZ000279"	1865	2180	1553	1321	1106	1091	1977	2255	2542	2591	2645	2698
"RVCYZ000280"	2174	2654	1840	1761	1363	1436	1856	2401	2793	2516	2473	2576
"RVCYZ000281"	572	838	513	420	354	317	783	1005	688	1239	1540	1412
"RVCYZ000282"	10551	13616	10394	6169	5410	5775	9860	11226	25067	6716	6288	6827
"RVCYZ000283"	1312	1847	1401	827	704	711	1357	1625	2770	1835	1755	1877
"RVCYZ000284"	2591	2952	2351	1403	1296	1307	2588	3196	5771	3523	3686	3844
"RVCYZ000285"	3217	3837	2824	2272	1905	2022	2949	3489	10681	3795	3792	3783
"RVCYZ000286"	195	264	242	175	144	114	160	246	753	412	435	415
"RVCYZ000287"	2874	3262	2699	2306	1735	1994	3214	3923	3287	3220	3314	3638
"RVCYZ000288"	305	356	200	280	233	192	342	465	238	775	830	894
"RVCYZ000289"	1849	2201	1584	1097	869	758	1852	2555	1306	2873	3038	2974
"RVCYZ000290"	3607	4451	3445	2712	2131	2438	3507	3848	3922	2313	2328	2380
"RVCYZ000291"	7268	8597	7493	4618	4115	4908	6974	6855	3244	1910	2034	2020
"RVCYZ000292"	6535	8454	6078	5560	4557	4761	5652	6963	2882	5148	5315	5028
"RVCYZ000293"	403	559	376	429	333	307	494	923	911	1665	1732	1704
"RVCYZ000294"	4924	6087	4553	3186	2734	2775	5428	6660	6482	5101	5172	5520
"RVCYZ000295"	721	901	744	492	504	471	665	889	1626	1046	1065	1044
"RVCYZ000296"	2193	2714	2016	1446	1287	1205	2582	3152	7272	4751	4678	4692
"RVCYZ000297"	3048	3626	2786	2264	1862	1929	3005	3510	7980	3343	3152	3283
"RVCYZ000298"	1821	2153	1812	1244	977	1195	2093	2425	2850	1525	1539	1568
"RVCYZ000299"	7357	9342	6939	5470	4674	4757	6666	7610	5596	4867	4620	4794
"RVCYZ000300"	2727	3451	2539	1207	1152	973	3306	3753	6317	3759	3652	4022
"RVCYZ000301"	4931	5436	5026	3136	2997	3218	6864	7113	6526	3777	4029	4746
"RVCYZ000302"	1132	1214	860	594	561	483	1172	1572	4755	2465	2539	2756
"RVCYZ000303"	2009	2619	1831	1115	970	869	2172	2577	8205	3575	3566	3816
"RVCYZ000304"	4323.87	6207.12	4139.79	2462.08	1829.56	2194.06	5743.09	7191.4	10274.3	5546.04	5818.26	4951.88
"RVCYZ000305"	919	1114	741	691	714	466	1127	1796	943	2530	2946	2923
"RVCYZ000306"	841	1010	601	882	753	530	1029	1974	335	3158	3528	3541
"RVCYZ000307"	857	936	649	720	594	437	963	1797	905	3070	3253	3158
"RVCYZ000308"	629	679	466	560	398	304	894	1487	238	2577	2830	2737
"RVCYZ000309"	949	1110	627	807	662	443	1240	2231	113	3956	4229	4261
"RVCYZ000310"	949	1164	700	857	746	661	1140	1906	952	3643	3781	3589
"RVCYZ000311"	387	491	304	337	269	228	402	706	302	1434	1453	1449
"RVCYZ000312"	386	565	350	483	375	295	510	867	341	1697	1762	1664
"RVCYZ000313"	981	1088	707	1204	921	900	1168	1846	954	2848	2958	3095
"RVCYZ000314"	897	1048	676	1009	793	772	927	1375	1298	2350	2487	2517
"RVCYZ000315"	1092	1244	794	1036	889	672	1411	2388	1145	3814	4435	4552
"RVCYZ000316"	1134	1387	903	1133	904	742	1295	2105	1853	3277	3352	3453
"RVCYZ000317"	42860.1	46794.9	37478.2	50797.9	30548.4	33772.9	56360.9	48244.6	10286.7	21991	18620.7	19723.1
"RVCYZ000318"	640	891	515	606	395	352	767	1216	697	2012	2221	2021
"RVCYZ000319"	712	929	568	574	452	312	880	1397	1094	2164	2225	2088
"RVCYZ000320"	1725	1908	1871	1263	1157	1168	1701	2038	3007	2042	2155	2229
"RVCYZ000321"	1284	1704	1166	1073	993	769	1714	2317	692	2894	3162	3190
"RVCYZ000322"	668	952	614	506	419	431	747	883	950	1028	1123	1171
"RVCYZ000323"	5188	6388	4977	4140	3617	3689	5301	6532	7111	4843	5174	5373
"RVCYZ000324"	829	1102	644	664	535	486	962	1236	963	1985	2070	2199
"RVCYZ000325"	1315	1477	1171	767	576	590	1298	1528	701	1151	1312	1232
"RVCYZ000326"	1790	2291	1633	1031	848	989	1978	2418	1502	1959	1962	2096
