-e target_id	length	eff_length	Monoculture_Bi_animalis_lactis_PT33_Early_Replicate_1_HGF2_counts	tpm
RCHGF000271	114	115	0	0
RCHGF000272	2676	2455.41	0	0
RCHGF000273	270	82.1875	0	0
RCHGF000274	204	29.1667	0	0
RCHGF000275	501	280.409	0	0
RCHGF000276	735	514.409	0	0
RCHGF000277	585	364.409	0	0
RCHGF000279	345	133.429	0	0
RCHGF000280	600	379.409	0	0
RCHGF000281	591	370.409	0	0
RCHGF000282	864	643.409	0	0
RCHGF000283	621	400.409	0	0
RCHGF000284	375	163.429	0	0
RCHGF000285	429	208.409	0	0
RCHGF000286	945	724.409	0	0
RCHGF000287	729	508.409	0	0
RCHGF000288	2244	2023.41	0	0
RCHGF000289	1296	1075.41	0	0
RCHGF000290	906	685.409	0	0
RCHGF000291	207	32.1667	0	0
RCHGF000292	951	730.409	0	0
RCHGF000293	885	664.409	0	0
RCHGF000294	135	136	0	0
RCHGF000295	711	490.409	0	0
RCHGF000296	540	319.409	0	0
RCHGF000297	702	481.409	0	0
RCHGF000298	771	550.409	0	0
RCHGF000299	1164	943.409	0	0
RCHGF000300	1056	835.409	0	0
RCHGF000301	486	265.409	0	0
RCHGF000302	1125	904.409	0	0
RCHGF000303	264	76.1875	0	0
RCHGF000304	873	652.409	0	0
RCHGF000305	954	733.409	0	0
RCHGF000306	294	92.4211	0	0
RCHGF000307	939	718.409	0	0
RCHGF000308	1806	1585.41	0	0
RCHGF000309	840	619.409	0	0
RCHGF000310	1101	880.409	0	0
RCHGF000311	1026	805.409	0	0
RCHGF000312	264	76.1875	0	0
RCHGF000313	2208	1987.41	0	0
RCHGF000314	1389	1168.41	0	0
RCHGF000315	669	448.409	0	0
RCHGF000316	327	115.429	0	0
RCHGF000317	711	490.409	0	0
RCHGF000318	1302	1081.41	0	0
RCHGF000319	375	163.429	0	0
RCHGF000320	549	328.409	0	0
RCHGF000321	993	772.409	0	0
RCHGF000323	1233	1012.41	0	0
RCHGF000324	771	550.409	0	0
RCHGF000325	576	355.409	0	0
RCHGF000326	864	643.409	0	0
RCHGF000327	177	34.5	0	0
RCHGF000328	162	19.5	0	0
RCHGF000329	930	709.409	0	0
RCHGF000330	978	757.409	0	0
RCHGF000331	1005	784.409	0	0
RCHGF000332	798	577.409	0	0
RCHGF000333	522	301.409	0	0
RCHGF000334	1650	1429.41	0	0
RCHGF000335	699	478.409	0	0
RCHGF000336	459	238.409	0	0
RCHGF000337	1299	1078.41	0	0
RCHGF000338	282	80.4211	0	0
RCHGF000339	558	337.409	0	0
RCHGF000340	171	28.5	0	0
RCHGF000341	330	118.429	0	0
RCHGF000342	597	376.409	0	0
RCHGF000343	1161	940.409	0	0
RCHGF000344	519	298.409	0	0
RCHGF000345	771	550.409	0	0
RCHGF000346	564	343.409	0	0
RCHGF000347	645	424.409	0	0
RCHGF000348	1029	808.409	0	0
RCHGF000349	681	460.409	0	0
RCHGF000350	831	610.409	0	0
RCHGF000351	402	190.429	0	0
RCHGF000352	1038	817.409	0	0
RCHGF000353	771	550.409	0	0
RCHGF000354	717	496.409	0	0
RCHGF000355	150	10	0	0
RCHGF000356	993	772.409	0	0
RCHGF000357	1014	793.409	0	0
RCHGF000358	1263	1042.41	0	0
RCHGF000359	135	136	0	0
RCHGF000360	903	682.409	0	0
RCHGF000361	1992	1771.41	0	0
RCHGF000362	870	649.409	0	0
RCHGF000363	1176	955.409	0	0
RCHGF000364	510	289.409	0	0
RCHGF000365	1290	1069.41	0	0
RCHGF000366	1002	781.409	0	0
RCHGF000367	759	538.409	0	0
RCHGF000368	840	619.409	0	0
RCHGF000369	1383	1162.41	0	0
RCHGF000370	240	56.7333	0	0
RCHGF000372	2397	2176.41	0	0
RCHGF000373	867	646.409	0	0
RCHGF000374	1239	1018.41	0	0
RCHGF000375	138	139	0	0
RCHGF000377	215	35.2857	0	0
RCHGF000379	750	529.409	0	0
RCHGF000380	594	373.409	0	0
RCHGF000381	330	118.429	0	0
RCHGF000382	1098	877.409	0	0
RCHGF000383	558	337.409	0	0
RCHGF000384	300	93.55	0	0
RCHGF000385	1053	832.409	0	0
RCHGF000386	474	253.409	0	0
RCHGF000387	396	184.429	0	0
RCHGF000388	663	442.409	0	0
RCHGF000389	834	613.409	0	0
RCHGF000390	744	523.409	0	0
RCHGF000391	735	514.409	0	0
RCHGF000392	1053	832.409	0	0
RCHGF000393	867	646.409	0	0
RCHGF000394	1026	805.409	0	0
RCHGF000395	1431	1210.41	0	0
RCHGF000396	1275	1054.41	0	0
RCHGF000397	561	340.409	0	0
RCHGF000398	3159	2938.41	0	0
RCHGF000399	1293	1072.41	0	0
RCHGF000400	300	93.55	0	0
RCHGF000401	309	102.55	0	0
RCHGF000402	645	424.409	0	0
RCHGF000403	312	105.55	0	0
RCHGF000404	141	2.5	0	0
RCHGF000405	591	370.409	0	0
RCHGF000406	1173	952.409	0	0
RCHGF000407	1572	1351.41	0	0
RCHGF000408	831	610.409	0	0
RCHGF000409	468	247.409	0	0
RCHGF000410	207	32.1667	0	0
RCHGF000411	462	241.409	0	0
RCHGF000412	300	93.55	0	0
RCHGF000413	288	86.4211	0	0
RCHGF000414	492	271.409	0	0
RCHGF000415	240	56.7333	0	0
RCHGF000416	1173	952.409	0	0
RCHGF000417	792	571.409	0	0
RCHGF000418	3453	3232.41	0	0
RCHGF000419	558	337.409	0	0
RCHGF000420	162	19.5	0	0
RCHGF000421	1353	1132.41	0	0
RCHGF000422	804	583.409	0	0
RCHGF000423	1359	1138.41	0	0
RCHGF000424	852	631.409	0	0
RCHGF000425	1041	820.409	0	0
RCHGF000426	837	616.409	0	0
RCHGF000427	783	562.409	0	0
RCHGF000428	477	256.409	0	0
RCHGF000429	438	217.409	0	0
RCHGF000430	1455	1234.41	0	0
RCHGF000431	843	622.409	0	0
RCHGF000432	1041	820.409	0	0
RCHGF000433	1914	1693.41	0	0
RCHGF000434	666	445.409	0	0
RCHGF000435	717	496.409	0	0
RCHGF000436	465	244.409	0	0
RCHGF000437	1188	967.409	0	0
RCHGF000438	1416	1195.41	0	0
RCHGF000439	1086	865.409	0	0
RCHGF000440	261	73.1875	0	0
RCHGF000441	2100	1879.41	0	0
RCHGF000442	612	391.409	0	0
RCHGF000443	993	772.409	0	0
RCHGF000444	324	112.429	0	0
RCHGF000445	132	133	0	0
RCHGF000446	381	169.429	0	0
RCHGF000447	135	136	0	0
RCHGF000448	144	4	0	0
RCHGF000449	1356	1135.41	0	0
RCHGF000450	1116	895.409	0	0
RCHGF000451	192	28.75	0	0
RCHGF000452	201	26.1667	0	0
RCHGF000453	1098	877.409	0	0
RCHGF000454	1941	1720.41	0	0
RCHGF000455	2511	2290.41	0	0
RCHGF000457	1284	1063.41	0	0
RCHGF000459	453	232.409	0	0
RCHGF000460	1806	1585.41	0	0
RCHGF000461	306	99.55	0	0
RCHGF000462	594	373.409	0	0
RCHGF000463	933	712.409	0	0
RCHGF000464	555	334.409	0	0
RCHGF000465	771	550.409	0	0
RCHGF000466	1218	997.409	0	0
RCHGF000467	2529	2308.41	0	0
RCHGF000468	2085	1864.41	0	0
RCHGF000469	909	688.409	0	0
RCHGF000470	738	517.409	0	0
RCHGF000471	777	556.409	0	0
RCHGF000472	843	622.409	0	0
RCHGF000473	336	124.429	0	0
RCHGF000474	558	337.409	0	0
RCHGF000475	648	427.409	0	0
RCHGF000476	147	7	0	0
RCHGF000477	630	409.409	0	0
RCHGF000478	975	754.409	0	0
RCHGF000479	1068	847.409	0	0
RCHGF000480	855	634.409	0	0
RCHGF000481	693	472.409	0	0
RCHGF000482	678	457.409	0	0
RCHGF000483	1641	1420.41	0	0
RCHGF000484	2343	2122.41	0	0
RCHGF000485	546	325.409	0	0
RCHGF000486	111	112	0	0
RCHGF000487	486	265.409	0	0
RCHGF000488	441	220.409	0	0
RCHGF000489	1035	814.409	0	0
RCHGF000490	312	105.55	0	0
RCHGF000491	2640	2419.41	0	0
RCHGF000492	1941	1720.41	0	0
RCHGF000493	366	154.429	0	0
RCHGF000494	1773	1552.41	0	0
RCHGF000495	477	256.409	0	0
RCHGF000496	765	544.409	0	0
RCHGF000497	762	541.409	0	0
RCHGF000498	939	718.409	0	0
RCHGF000499	846	625.409	0	0
RCHGF000500	1260	1039.41	0	0
RCHGF000501	1014	793.409	0	0
RCHGF000502	1095	874.409	0	0
RCHGF000503	1011	790.409	0	0
RCHGF000504	1083	862.409	0	0
RCHGF000505	1233	1012.41	0	0
RCHGF000506	165	22.5	0	0
RCHGF000507	921	700.409	0	0
RCHGF000508	348	136.429	0	0
RCHGF000509	138	139	0	0
RCHGF000510	153	10.5	0	0
RCHGF000512	498	277.409	0	0
RCHGF000513	3693	3472.41	0	0
RCHGF000514	1572	1351.41	0	0
RCHGF000515	1029	808.409	0	0
RCHGF000516	585	364.409	0	0
RCHGF000517	1530	1309.41	0	0
RCHGF000518	438	217.409	0	0
RCHGF000519	690	469.409	0	0
RCHGF000520	750	529.409	0	0
RCHGF000521	1224	1003.41	0	0
RCHGF000522	714	493.409	0	0
RCHGF000523	369	157.429	0	0
RCHGF000524	327	115.429	0	0
RCHGF000526	186	26.4286	0	0
RCHGF000527	561	340.409	0	0
RCHGF000528	807	586.409	0	0
RCHGF000529	627	406.409	0	0
RCHGF000530	273	85.1875	0	0
RCHGF000531	678	457.409	0	0
RCHGF000532	1053	832.409	0	0
RCHGF000533	978	757.409	0	0
RCHGF000534	519	298.409	0	0
RCHGF000535	702	481.409	0	0
RCHGF000536	573	352.409	0	0
RCHGF000537	1323	1102.41	0	0
RCHGF000538	639	418.409	0	0
RCHGF000539	1641	1420.41	0	0
RCHGF000540	1764	1543.41	0	0
RCHGF000541	756	535.409	0	0
RCHGF000542	894	673.409	0	0
RCHGF000543	2409	2188.41	0	0
RCHGF000544	1371	1150.41	0	0
RCHGF000545	960	739.409	0	0
RCHGF000546	165	22.5	0	0
RCHGF000547	378	166.429	0	0
RCHGF000548	426	205.409	0	0
RCHGF000549	471	250.409	0	0
RCHGF000550	840	619.409	0	0
RCHGF000551	702	481.409	0	0
RCHGF000552	1836	1615.41	0	0
RCHGF000553	312	105.55	0	0
RCHGF000554	1257	1036.41	0	0
RCHGF000555	345	133.429	0	0
RCHGF000556	1443	1222.41	0	0
RCHGF000557	873	652.409	0	0
RCHGF000558	795	574.409	0	0
RCHGF000559	747	526.409	0	0
RCHGF000560	1356	1135.41	0	0
RCHGF000561	453	232.409	0	0
RCHGF000562	477	256.409	0	0
RCHGF000563	1587	1366.41	0	0
RCHGF000564	816	595.409	0	0
RCHGF000565	543	322.409	0	0
RCHGF000566	600	379.409	0	0
RCHGF000567	873	652.409	0	0
RCHGF000568	837	616.409	0	0
RCHGF000569	828	607.409	0	0
RCHGF000570	717	496.409	0	0
RCHGF000571	1341	1120.41	0	0
RCHGF000572	774	553.409	0	0
RCHGF000573	1353	1132.41	0	0
RCHGF000574	951	730.409	0	0
RCHGF000575	354	142.429	0	0
RCHGF000576	1647	1426.41	0	0
RCHGF000577	669	448.409	0	0
RCHGF000578	1110	889.409	0	0
RCHGF000579	714	493.409	0	0
RCHGF000580	504	283.409	0	0
RCHGF000581	762	541.409	0	0
RCHGF000582	762	541.409	0	0
RCHGF000583	768	547.409	0	0
RCHGF000584	357	145.429	0	0
RCHGF000585	252	68.7333	0	0
RCHGF000586	1329	1108.41	0	0
RCHGF000587	765	544.409	0	0
RCHGF000588	222	42.2857	0	0
RCHGF000589	369	157.429	0	0
RCHGF000590	357	145.429	0	0
RCHGF000592	3047	2826.41	0	0
RCHGF000594	1983	1762.41	0	0
RCHGF000595	1425	1204.41	0	0
RCHGF000596	237	53.7333	0	0
RCHGF000597	180	37.5	0	0
RCHGF000598	903	682.409	0	0
RCHGF000599	882	661.409	0	0
RCHGF000600	1116	895.409	0	0
RCHGF000601	1755	1534.41	0	0
RCHGF000602	1134	913.409	0	0
RCHGF000603	1032	811.409	0	0
RCHGF000604	1392	1171.41	0	0
RCHGF000605	891	670.409	0	0
RCHGF000606	1026	805.409	0	0
RCHGF000607	1707	1486.41	0	0
RCHGF000608	1455	1234.41	0	0
RCHGF000609	1098	877.409	0	0
RCHGF000610	951	730.409	0	0
RCHGF000611	900	679.409	0	0
RCHGF000612	1146	925.409	0	0
RCHGF000613	1119	898.409	0	0
RCHGF000614	825	604.409	0	0
RCHGF000615	1149	928.409	0	0
RCHGF000616	624	403.409	0	0
RCHGF000617	597	376.409	0	0
RCHGF000618	1224	1003.41	0	0
RCHGF000619	510	289.409	0	0
RCHGF000620	1902	1681.41	0	0
RCHGF000621	237	53.7333	0	0
RCHGF000622	153	10.5	0	0
RCHGF000623	291	89.4211	0	0
RCHGF000624	402	190.429	0	0
RCHGF000625	111	112	0	0
RCHGF000626	963	742.409	0	0
RCHGF000627	1191	970.409	0	0
RCHGF000628	204	29.1667	0	0
RCHGF000629	1140	919.409	0	0
RCHGF000631	567	346.409	0	0
RCHGF000632	720	499.409	0	0
RCHGF000633	195	31.75	0	0
RCHGF000634	438	217.409	0	0
RCHGF000635	879	658.409	0	0
RCHGF000636	1491	1270.41	0	0
RCHGF000637	1179	958.409	0	0
RCHGF000638	1308	1087.41	0	0
RCHGF000639	1023	802.409	0	0
RCHGF000640	120	121	0	0
RCHGF000641	408	196.429	0	0
RCHGF000642	780	559.409	0	0
RCHGF000643	354	142.429	0	0
RCHGF000644	177	34.5	0	0
RCHGF000645	786	565.409	0	0
RCHGF000646	138	139	0	0
RCHGF000647	762	541.409	0	0
RCHGF000648	909	688.409	0	0
RCHGF000649	198	28.2	0	0
RCHGF000650	1101	880.409	0	0
RCHGF000651	114	115	0	0
RCHGF000652	780	559.409	0	0
RCHGF000653	111	112	0	0
RCHGF000654	1104	883.409	0	0
RCHGF000655	1167	946.409	0	0
RCHGF000656	120	121	0	0
RCHGF000657	891	670.409	0	0
RCHGF000658	117	118	0	0
RCHGF000659	2055	1834.41	0	0
RCHGF000660	309	102.55	0	0
RCHGF000661	1239	1018.41	0	0
RCHGF000662	324	112.429	0	0
RCHGF000663	1443	1222.41	0	0
RCHGF000664	1188	967.409	0	0
RCHGF000665	174	31.5	0	0
RCHGF000666	537	316.409	0	0
RCHGF000667	1215	994.409	0	0
RCHGF000668	2190	1969.41	0	0
RCHGF000669	123	124	0	0
RCHGF000670	528	307.409	0	0
RCHGF000671	144	4	0	0
RCHGF000672	813	592.409	0	0
RCHGF000673	423	202.409	0	0
RCHGF000674	141	2.5	0	0
RCHGF000675	765	544.409	0	0
RCHGF000676	558	337.409	0	0
RCHGF000677	849	628.409	0	0
RCHGF000678	1119	898.409	0	0
RCHGF000679	144	4	0	0
RCHGF000680	1035	814.409	0	0
RCHGF000681	666	445.409	0	0
RCHGF000682	918	697.409	0	0
RCHGF000683	747	526.409	0	0
RCHGF000684	204	29.1667	0	0
RCHGF000685	960	739.409	0	0
RCHGF000686	798	577.409	0	0
RCHGF000687	777	556.409	0	0
RCHGF000688	777	556.409	0	0
RCHGF000689	123	124	0	0
RCHGF000690	921	700.409	0	0
RCHGF000691	300	93.55	0	0
RCHGF000692	822	601.409	0	0
RCHGF000693	780	559.409	0	0
RCHGF000694	468	247.409	0	0
RCHGF000695	738	517.409	0	0
RCHGF000696	408	196.429	0	0
RCHGF000697	2712	2491.41	0	0
RCHGF000698	1215	994.409	0	0
RCHGF000699	1224	1003.41	0	0
RCHGF000700	600	379.409	0	0
RCHGF000701	729	508.409	0	0
RCHGF000702	1737	1516.41	0	0
RCHGF000703	552	331.409	0	0
RCHGF000704	774	553.409	0	0
RCHGF000705	756	535.409	0	0
RCHGF000706	699	478.409	0	0
RCHGF000707	858	637.409	0	0
RCHGF000708	873	652.409	0	0
RCHGF000709	309	102.55	0	0
RCHGF000710	888	667.409	0	0
RCHGF000711	837	616.409	0	0
RCHGF000712	489	268.409	0	0
RCHGF000713	426	205.409	0	0
RCHGF000714	984	763.409	0	0
RCHGF000715	891	670.409	0	0
RCHGF000716	324	112.429	0	0
RCHGF000717	819	598.409	0	0
RCHGF000718	819	598.409	0	0
RCHGF000719	531	310.409	0	0
RCHGF000720	1152	931.409	0	0
RCHGF000721	558	337.409	0	0
RCHGF000722	624	403.409	0	0
RCHGF000723	762	541.409	0	0
RCHGF000724	882	661.409	0	0
RCHGF000725	1356	1135.41	0	0
RCHGF000726	405	193.429	0	0
RCHGF000727	540	319.409	0	0
RCHGF000728	1338	1117.41	0	0
RCHGF000729	1065	844.409	0	0
RCHGF000730	624	403.409	0	0
RCHGF000731	660	439.409	0	0
RCHGF000732	1005	784.409	0	0
RCHGF000733	192	28.75	0	0
RCHGF000734	684	463.409	0	0
RCHGF000735	423	202.409	0	0
RCHGF000736	2136	1915.41	0	0
RCHGF000737	930	709.409	0	0
RCHGF000738	936	715.409	0	0
RCHGF000739	642	421.409	0	0
RCHGF000740	507	286.409	0	0
RCHGF000741	939	718.409	0	0
RCHGF000742	225	45.2857	0	0
RCHGF000743	846	625.409	0	0
RCHGF000744	393	181.429	0	0
RCHGF000745	684	463.409	0	0
RCHGF000746	378	166.429	0	0
RCHGF000747	1068	847.409	0	0
RCHGF000748	150	10	0	0
RCHGF000749	654	433.409	0	0
RCHGF000750	849	628.409	0	0
RCHGF000751	369	157.429	0	0
RCHGF000752	123	124	0	0
RCHGF000753	918	697.409	0	0
RCHGF000754	117	118	0	0
RCHGF000755	1131	910.409	0	0
RCHGF000756	693	472.409	0	0
RCHGF000757	132	133	0	0
RCHGF000758	432	211.409	0	0
RCHGF000759	510	289.409	0	0
RCHGF000760	489	268.409	0	0
RCHGF000762	996	775.409	0	0
RCHGF000763	411	190.409	0	0
RCHGF000764	1065	844.409	0	0
RCHGF000765	1944	1723.41	0	0
RCHGF000766	936	715.409	0	0
RCHGF000767	552	331.409	0	0
RCHGF000769	345	133.429	0	0
RCHGF000770	1254	1033.41	0	0
RCHGF000771	594	373.409	0	0
RCHGF000772	528	307.409	0	0
