-e target_id	length	eff_length	Monoculture_Clostridium_HGF2_Early_Replicate_2_HGF2_counts	tpm
RCHGF000082	411	189.873	130	13.8674
RCHGF000083	369	152.058	214	28.5048
RCHGF000084	1497	1269.23	466	7.43637
RCHGF000085	726	498.364	270	10.9732
RCHGF000086	585	357.916	96	5.43256
RCHGF000087	1785	1557.23	617	8.02504
RCHGF000088	1746	1518.23	629	8.39128
RCHGF000089	615	387.742	1315	68.6906
RCHGF000090	354	139.122	126	18.3438
RCHGF000091	1878	1650.23	2053	25.1976
RCHGF000092	1446	1218.23	5219	86.7707
RCHGF000093	513	287.032	9121	643.615
RCHGF000094	672	444.462	238	10.8457
RCHGF000095	1434	1206.23	602	10.1084
RCHGF000096	987	759.227	232	6.18914
RCHGF000097	1050	822.227	234	5.76419
RCHGF000098	1203	975.227	298	6.18906
RCHGF000099	1329	1101.23	466	8.57084
RCHGF000100	207	41.0021	10	4.93978
RCHGF000101	765	537.317	1190	44.857
RCHGF000102	1164	936.227	593	12.8288
RCHGF000103	1707	1479.23	20088	275.053
RCHGF000104	1047	819.227	5531	136.746
RCHGF000105	2346	2118.23	9742	93.1515
RCHGF000106	753	525.347	321	12.3758
RCHGF000107	195	36.105	9257	5192.98
RCHGF000108	195	36.105	85	47.6832
RCHGF000109	666	438.477	178	8.22219
RCHGF000110	1152	924.227	187	4.09805
RCHGF000111	1008	780.227	5762	149.578
RCHGF000112	996	768.227	188	4.95658
RCHGF000113	828	600.256	200	6.74851
RCHGF000114	798	570.256	99	3.51625
RCHGF000115	474	249.198	129	10.4848
RCHGF000116	417	195.377	109	11.2997
RCHGF000117	819	591.256	153	5.24119
RCHGF000118	2754	2526.23	979	7.84918
RCHGF000119	981	753.227	399	10.729
RCHGF000121	474	249.198	135	10.9724
RCHGF000122	912	684.227	1239	36.6763
RCHGF000123	1251	1023.23	3693	73.1007
RCHGF000124	492	266.574	1945	147.78
RCHGF000125	672	444.462	594	27.0686
RCHGF000126	375	157.32	25	3.21862
RCHGF000127	1632	1404.23	348	5.01945
RCHGF000128	333	121.746	25	4.15911
RCHGF000129	1206	978.227	179	3.70619
RCHGF000130	1470	1242.23	373	6.08166
RCHGF000131	987	759.227	227	6.05576
RCHGF000132	900	672.227	817	24.6162
RCHGF000133	657	429.505	1027	48.4302
RCHGF000134	2331	2103.23	3359	32.3473
RCHGF000135	1776	1548.23	4668	61.0675
RCHGF000136	120	12.42	31	50.5537
RCHGF000137	597	369.855	677	37.0741
RCHGF000138	1125	897.227	5660	127.77
RCHGF000139	978	750.227	337	9.09811
RCHGF000140	489	263.666	9190	705.952
RCHGF000141	1188	960.227	2170	45.772
RCHGF000142	135	15.7958	50	64.1124
RCHGF000143	174	27.946	41	29.7152
RCHGF000144	735	507.352	137	5.46921
RCHGF000145	702	474.401	93	3.97056
RCHGF000146	777	549.299	108	3.98225
RCHGF000147	243	59.2075	70	23.9461
RCHGF000148	399	178.892	60234	6819.71
RCHGF000149	750	522.347	1880	72.8976
RCHGF000151	2724	2496.23	5160	41.8678
RCHGF000152	729	501.364	316	12.7658
RCHGF000153	444	220.525	757	69.5269
RCHGF000154	765	537.317	96	3.61872
RCHGF000155	1194	966.227	255	5.34534
RCHGF000156	909	681.227	265	7.87895
RCHGF000157	744	516.352	189	7.41361
RCHGF000158	555	328.226	123	7.59008
RCHGF000159	1041	813.227	278	6.92384
RCHGF000160	927	699.227	219	6.34366
RCHGF000161	1488	1260.23	288	4.62869
RCHGF000162	1671	1443.23	541	7.59236
RCHGF000163	1053	825.227	563	13.8181
RCHGF000165	1038	810.227	1069	26.723
RCHGF000166	2400	2172.23	5012	46.7326
RCHGF000167	120	12.42	13	21.1999
RCHGF000168	873	645.249	5870	184.257
RCHGF000169	1836	1608.23	18621	234.515
RCHGF000170	552	325.262	5265	327.853
RCHGF000171	1230	1002.23	2533	51.1898
RCHGF000172	558	331.171	578	35.35
RCHGF000173	468	243.421	840	69.8931
RCHGF000174	150	20.0366	432	436.691
RCHGF000175	1656	1428.23	3843	54.4988
RCHGF000176	873	645.249	5028	157.827
RCHGF000177	390	170.676	5953	706.446
RCHGF000178	876	648.249	60552	1891.91
RCHGF000179	996	768.227	22019	580.527
RCHGF000180	120	12.42	6	9.78458
RCHGF000181	813	585.256	2253	77.9704
RCHGF000182	786	558.274	877	31.8175
RCHGF000183	1230	1002.23	2098	42.3988
RCHGF000184	447	223.395	1163	105.444
RCHGF000185	1398	1170.23	5241	90.7106
RCHGF000186	525	298.722	2644	179.27
RCHGF000187	741	513.352	618	24.383
RCHGF000188	456	231.971	230	20.0821
RCHGF000189	1380	1152.23	712	12.5157
RCHGF000190	1140	912.227	1787	39.6767
RCHGF000191	1401	1173.23	4025	69.4861
RCHGF000192	624	396.703	649	33.1355
RCHGF000193	1539	1311.23	1098	16.9605
RCHGF000194	1209	981.227	270	5.57325
RCHGF000195	897	669.227	244	7.38466
RCHGF000196	1458	1230.23	753	12.3972
RCHGF000197	969	741.227	513	14.0178
RCHGF000198	1287	1059.23	512	9.79028
RCHGF000199	1242	1014.23	559	11.1633
RCHGF000200	1446	1218.23	1958	32.5536
RCHGF000201	1185	957.227	388	8.20977
RCHGF000202	162	23.8329	91	77.3353
RCHGF000203	582	354.939	8126	463.7
RCHGF000204	1209	981.227	9814	202.577
RCHGF000205	720	492.375	2056	84.5749
RCHGF000206	1503	1275.23	6484	102.984
RCHGF000207	1101	873.227	1466	34.0033
RCHGF000208	1332	1104.23	1336	24.5054
RCHGF000209	2175	1947.23	2306	23.9859
RCHGF000210	1710	1482.23	2164	29.5704
RCHGF000212	1578	1350.23	1023	15.3456
RCHGF000213	1425	1197.23	941	15.9194
RCHGF000214	315	107.682	125	23.5115
RCHGF000215	435	212.118	90	8.59369
RCHGF000216	723	495.364	382	15.619
RCHGF000217	111	11.0914	0	0
RCHGF000218	651	423.534	1287	61.5467
RCHGF000219	1050	822.227	3019	74.3679
RCHGF000220	132	15.1697	31	41.3902
RCHGF000221	726	498.364	334	13.5742
RCHGF000222	1038	810.227	2441	61.0204
RCHGF000223	1254	1026.23	804	15.8682
RCHGF000224	654	426.534	2266	107.602
RCHGF000225	522	295.785	352	24.1035
RCHGF000226	1080	852.227	1448	34.4134
RCHGF000227	282	83.9038	153	36.9338
RCHGF000228	1026	798.227	1283	32.5548
RCHGF000229	336	124.149	317	51.7165
RCHGF000230	711	483.385	470	19.6933
RCHGF000231	678	450.437	318	14.299
RCHGF000232	456	231.971	236	20.606
RCHGF000233	534	307.547	399	26.2769
RCHGF000234	645	417.576	2342	113.597
RCHGF000235	3291	3063.23	24107	159.396
RCHGF000236	552	325.262	2842	176.972
RCHGF000237	2649	2421.23	24666	206.337
RCHGF000238	321	112.227	7971	1438.57
RCHGF000240	942	714.227	19360	549.014
RCHGF000241	588	360.896	2523	141.596
RCHGF000242	459	234.84	2393	206.389
RCHGF000243	1050	822.227	15049	370.706
RCHGF000244	1551	1323.23	4745	72.63
RCHGF000245	783	555.299	1903	69.4106
RCHGF000246	1434	1206.23	4280	71.8669
RCHGF000247	1656	1428.23	6015	85.3007
RCHGF000248	2358	2130.23	9311	88.5288
RCHGF000249	1101	873.227	17810	413.096
RCHGF000250	1539	1311.23	7753	119.758
RCHGF000251	1095	867.227	3989	93.1634
RCHGF000252	951	723.227	6039	169.124
RCHGF000253	1254	1026.23	4398	86.8012
RCHGF000254	1281	1053.23	3424	65.8455
RCHGF000255	426	203.683	564	56.0838
RCHGF000256	600	372.835	30634	1664.19
RCHGF000257	1752	1524.23	7836	104.126
RCHGF000258	1128	900.227	2847	64.0545
RCHGF000259	1206	978.227	2280	47.2073
RCHGF000260	168	25.7962	6195	4864.07
RCHGF000261	540	313.44	2480	160.255
RCHGF000262	816	588.256	963	33.1569
RCHGF000263	1410	1182.23	1729	29.6216
RCHGF000264	978	750.227	1401	37.8233
RCHGF000265	225	49.6206	14	5.71453
RCHGF000266	207	41.0021	3	1.48193
RCHGF000267	150	20.0366	11	11.1194
RCHGF000268	213	43.8069	51	23.5799
RCHGF000269	759	531.329	178	6.78532
RCHGF000270	939	711.227	469	13.3561
RCHGF000271	114	11.3688	36	64.1358
RCHGF000272	2676	2448.23	1111	9.19129
RCHGF000273	270	75.9784	6138	1636.26
RCHGF000274	204	39.7241	331	168.767
RCHGF000275	501	275.326	100	7.35642
RCHGF000276	735	507.352	311	12.4155
RCHGF000277	585	357.916	259	14.6566
RCHGF000279	345	131.582	4664	717.918
RCHGF000280	600	372.835	681	36.9952
RCHGF000281	591	363.884	342	19.0361
RCHGF000282	864	636.249	537	17.0947
RCHGF000283	621	393.716	1065	54.7874
RCHGF000284	375	157.32	973	125.269
RCHGF000285	429	206.486	494	48.4562
RCHGF000286	945	717.227	11944	337.293
RCHGF000287	729	501.364	212	8.5644
RCHGF000288	2244	2016.23	6625	66.5519
RCHGF000289	1296	1068.23	7303	138.469
RCHGF000290	906	678.227	1104	32.9692
RCHGF000291	207	41.0021	97	47.9159
RCHGF000292	951	723.227	3257	91.2131
RCHGF000293	885	657.227	10582	326.112
RCHGF000294	135	15.7958	26	33.3384
RCHGF000295	711	483.385	2146	89.9188
RCHGF000296	540	313.44	3254	210.27
RCHGF000297	702	474.401	1517	64.767
RCHGF000298	771	543.311	1799	67.0651
RCHGF000299	1164	936.227	5084	109.986
RCHGF000300	1056	828.227	4629	113.201
RCHGF000301	486	260.757	1255	97.4814
RCHGF000302	1125	897.227	3147	71.0409
RCHGF000303	264	72.0519	128465	36112.1
RCHGF000304	873	645.249	345	10.8294
RCHGF000305	954	726.227	225	6.27515
RCHGF000306	294	92.2145	52	11.4214
RCHGF000307	939	711.227	2723	77.545
RCHGF000308	1806	1578.23	1278	16.4012
RCHGF000309	840	612.256	417	13.7949
RCHGF000310	1101	873.227	1741	40.3818
RCHGF000311	1026	798.227	2089	53.0061
RCHGF000312	264	72.0519	13262	3728.01
RCHGF000313	2208	1980.23	33824	345.959
RCHGF000314	1389	1161.23	4903	85.5183
RCHGF000315	669	441.477	4059	186.22
RCHGF000316	327	116.946	3473	601.499
RCHGF000317	711	483.385	748	31.3417
RCHGF000318	1302	1074.23	3622	68.2915
RCHGF000319	375	157.32	4014	516.781
RCHGF000320	549	322.309	5802	364.602
RCHGF000321	993	765.227	16018	423.967
RCHGF000323	1233	1005.23	738	14.8698
RCHGF000324	771	543.311	70	2.60954
RCHGF000325	576	348.979	49	2.84388
RCHGF000326	864	636.249	200	6.36674
RCHGF000327	177	29.1318	58	40.325
RCHGF000328	162	23.8329	115	97.7315
RCHGF000329	930	702.227	403	11.6236
RCHGF000330	978	750.227	480	12.9587
RCHGF000331	1005	777.227	172	4.48224
RCHGF000332	798	570.256	168	5.96697
RCHGF000333	522	295.785	2000	136.952
RCHGF000334	1650	1422.23	7928	112.904
RCHGF000335	699	471.401	1668	71.667
RCHGF000336	459	234.84	724	62.4427
RCHGF000337	1299	1071.23	1806	34.1468
RCHGF000338	282	83.9038	1437	346.888
RCHGF000339	558	331.171	446	27.277
RCHGF000340	171	26.8268	233	175.914
RCHGF000341	330	119.344	324	54.987
RCHGF000342	597	369.855	1431	78.365
RCHGF000343	1161	933.227	254	5.51265
RCHGF000344	519	292.854	281	19.4343
RCHGF000345	771	543.311	907	33.8121
RCHGF000346	564	337.1	62	3.72517
RCHGF000347	645	417.576	93	4.51088
RCHGF000348	1029	801.227	422	10.6677
RCHGF000349	681	453.432	1465	65.4394
RCHGF000350	831	603.256	3060	102.739
RCHGF000351	402	181.626	590	65.7944
RCHGF000352	1038	810.227	733	18.3236
RCHGF000353	771	543.311	823	30.6807
RCHGF000354	717	489.375	1374	56.8669
RCHGF000355	150	20.0366	16	16.1737
RCHGF000356	993	765.227	794	21.0157
RCHGF000357	1014	786.227	2547	65.6138
RCHGF000358	1263	1035.23	4951	96.866
RCHGF000359	135	15.7958	21	26.9272
RCHGF000360	903	675.227	1056	31.6758
RCHGF000361	1992	1764.23	600	6.88828
RCHGF000362	870	642.249	428	13.4975
RCHGF000363	1176	948.227	541	11.5558
RCHGF000364	510	284.111	807	57.5306
RCHGF000365	1290	1062.23	2760	52.6267
RCHGF000366	1002	774.227	3048	79.7372
RCHGF000367	759	531.329	1874	71.4365
RCHGF000368	840	612.256	583	19.2863
RCHGF000369	1383	1155.23	1224	21.4599
RCHGF000370	240	57.4433	3206	1130.42
RCHGF000372	2397	2169.23	3325	31.0457
RCHGF000373	867	639.249	243	7.69929
RCHGF000374	1239	1011.23	3639	72.8866
RCHGF000375	138	16.553	890	1089
RCHGF000377	215	44.742	1594	721.584
RCHGF000379	750	522.347	498	19.3101
RCHGF000380	594	366.863	304	16.7835
RCHGF000381	330	119.344	151	25.6267
RCHGF000382	1098	870.227	206	4.79456
RCHGF000383	558	331.171	89	5.44317
RCHGF000384	300	96.5016	15	3.14826
RCHGF000385	1053	825.227	111	2.72435
RCHGF000386	474	249.198	47	3.82003
RCHGF000387	396	176.172	51	5.86337
RCHGF000388	663	435.477	63	2.93015
RCHGF000389	834	606.256	84	2.80632
RCHGF000390	744	516.352	155	6.07994
RCHGF000391	735	507.352	1144	45.6699
RCHGF000392	1053	825.227	315	7.73128
RCHGF000393	867	639.249	267	8.45971
RCHGF000394	1026	798.227	248	6.29273
RCHGF000395	1431	1203.23	443	7.45711
RCHGF000396	1275	1047.23	375	7.25278
RCHGF000397	561	334.145	102	6.18271
RCHGF000398	3159	2931.23	986	6.81305
RCHGF000399	1293	1065.23	589	11.1992
RCHGF000400	300	96.5016	36	7.55583
RCHGF000401	309	103.16	45	8.83518
RCHGF000402	645	417.576	609	29.539
RCHGF000403	312	105.397	1484	285.18
RCHGF000404	141	17.4158	21	24.4225
RCHGF000405	591	363.884	128	7.12462
RCHGF000406	1173	945.227	126	2.69991
RCHGF000407	1572	1344.23	427	6.43383
RCHGF000408	831	603.256	1172	39.3496
RCHGF000409	468	243.421	327	27.2084
RCHGF000410	207	41.0021	626	309.23
RCHGF000411	462	237.688	759	64.6767
RCHGF000412	300	96.5016	101	21.1983
RCHGF000413	288	88.0134	2080	478.662
RCHGF000414	492	266.574	265	20.1345
RCHGF000415	240	57.4433	5478	1931.51
RCHGF000416	1173	945.227	8525	182.672
RCHGF000417	792	564.256	1322	47.4537
RCHGF000418	3453	3225.23	3731	23.4304
RCHGF000419	558	331.171	693	42.3833
RCHGF000420	162	23.8329	1272	1081
RCHGF000421	1353	1125.23	2050	36.9001
RCHGF000422	804	576.256	122	4.28804
RCHGF000423	1359	1131.23	229	4.10015
RCHGF000424	852	624.256	94	3.04986
RCHGF000425	1041	813.227	208	5.18043
RCHGF000426	837	609.256	175	5.81772
RCHGF000427	783	555.299	141	5.14288
RCHGF000428	477	252.055	68	5.46421
RCHGF000429	438	214.959	86	8.10322
RCHGF000430	1455	1227.23	270	4.45608
RCHGF000431	843	615.256	148	4.87214
RCHGF000432	1041	813.227	200	4.98118
RCHGF000433	1914	1686.23	497	5.96973
RCHGF000434	666	438.477	133	6.14355
RCHGF000435	717	489.375	139	5.75291
RCHGF000436	465	240.571	184	15.4914
RCHGF000437	1188	960.227	3184	67.1604
RCHGF000438	1416	1188.23	3234	55.1258
RCHGF000439	1086	858.227	1188	28.0368
RCHGF000440	261	70.0859	417	120.509
RCHGF000441	2100	1872.23	1428	15.4484
RCHGF000442	612	384.755	6656	350.383
RCHGF000443	993	765.227	19437	514.462
RCHGF000444	324	114.554	2253	398.349
RCHGF000445	132	15.1697	379	506.029
RCHGF000446	381	162.597	465	57.9233
RCHGF000447	135	15.7958	8	10.258
RCHGF000448	144	18.2938	4	4.42865
RCHGF000449	1356	1128.23	6550	117.587
RCHGF000450	1116	888.227	4726	107.767
RCHGF000451	192	34.9851	11	6.3683
RCHGF000452	201	38.5091	396	208.279
RCHGF000453	1098	870.227	4297	100.011
RCHGF000454	1941	1713.23	4425	52.3133
RCHGF000455	2511	2283.23	9616	85.3021
RCHGF000457	1284	1056.23	5488	105.238
RCHGF000459	453	229.097	589	52.0726
RCHGF000460	1806	1578.23	1749	22.4458
RCHGF000461	306	100.919	800	160.557
RCHGF000462	594	366.863	2346	129.52
RCHGF000463	933	705.227	1084	31.1325
RCHGF000464	555	328.226	1807	111.506
RCHGF000465	771	543.311	2128	79.3299
RCHGF000466	1218	990.227	7328	149.887
RCHGF000467	2529	2301.23	6015	52.9408
RCHGF000468	2085	1857.23	2053	22.3892
RCHGF000469	909	681.227	808	24.0234
RCHGF000470	738	510.352	776	30.7968
RCHGF000471	777	549.299	1076	39.675
RCHGF000472	843	615.256	1432	47.1413
RCHGF000473	336	124.149	143	23.3295
RCHGF000474	558	331.171	446	27.277
RCHGF000475	648	420.548	5224	251.595
RCHGF000476	147	19.1835	28	29.5628
RCHGF000477	630	402.676	1211	60.9119
RCHGF000478	975	747.227	5220	141.492
RCHGF000479	1068	840.227	3079	74.2211
RCHGF000480	855	627.256	3249	104.911
RCHGF000481	693	465.417	210	9.13885
RCHGF000482	678	450.437	432	19.4251
RCHGF000483	1641	1413.23	1349	19.3337
RCHGF000484	2343	2115.23	7739	74.1041
RCHGF000485	546	319.352	1256	79.6588
RCHGF000486	111	11.0914	23	42.0005
RCHGF000487	486	260.757	174	13.5154
RCHGF000488	441	217.722	139	12.9308
RCHGF000489	1035	807.227	425	10.6637
RCHGF000490	312	105.397	87	16.7188
RCHGF000491	2640	2412.23	1286	10.7978
RCHGF000492	1941	1713.23	2213	26.1626
RCHGF000493	366	149.468	275	37.2647
RCHGF000494	1773	1545.23	5777	75.7224
RCHGF000495	477	252.055	1032	82.9274
RCHGF000496	765	537.317	1152	43.4246
RCHGF000497	762	534.317	768	29.1123
RCHGF000498	939	711.227	4032	114.822
RCHGF000499	846	618.256	3531	115.676
RCHGF000500	1260	1032.23	3803	74.6217
RCHGF000501	1014	786.227	1465	37.7402
RCHGF000502	1095	867.227	2467	57.617
RCHGF000503	1011	783.227	1005	25.9892
RCHGF000504	1083	855.227	3597	85.187
RCHGF000505	1233	1005.23	2378	47.9139
RCHGF000506	165	24.8453	56	45.6518
RCHGF000507	921	693.227	405	11.833
RCHGF000508	348	134.094	886	133.825
RCHGF000509	138	16.553	61	74.6394
RCHGF000510	153	20.9287	42	40.6463
RCHGF000512	498	272.418	176	13.0855
RCHGF000513	3693	3465.23	2208	12.9057
RCHGF000514	1572	1344.23	795	11.9787
RCHGF000515	1029	801.227	481	12.1592
RCHGF000516	585	357.916	174	9.84652
RCHGF000517	1530	1302.23	1007	15.6623
RCHGF000518	438	214.959	438	41.2699
RCHGF000519	690	462.422	756	33.1129
RCHGF000520	750	522.347	639	24.7774
RCHGF000521	1224	996.227	1144	23.2585
RCHGF000522	714	486.375	760	31.6488
RCHGF000523	369	152.058	272	36.2304
RCHGF000524	327	116.946	795	137.688
RCHGF000526	186	32.5834	89	55.3232
RCHGF000527	561	334.145	87	5.27349
RCHGF000528	807	579.256	337	11.7835
RCHGF000529	627	399.698	320	16.2156
RCHGF000530	273	77.9466	7086	1841.27
RCHGF000531	678	450.437	281	12.6353
RCHGF000532	1053	825.227	308	7.55947
RCHGF000533	978	750.227	1002	27.0514
RCHGF000534	519	292.854	845	58.4412
RCHGF000535	702	474.401	7909	337.668
RCHGF000536	573	346.01	221	12.9365
RCHGF000537	1323	1095.23	2762	51.078
RCHGF000538	639	411.608	305	15.0082
RCHGF000539	1641	1413.23	3147	45.1023
RCHGF000540	1764	1536.23	6271	82.6791
RCHGF000541	756	528.329	1293	49.5688
RCHGF000542	894	666.227	435	13.2246
RCHGF000543	2409	2181.23	733	6.8064
RCHGF000544	1371	1143.23	1423	25.2108
RCHGF000545	960	732.227	5722.12	158.28
RCHGF000546	165	24.8453	3	2.44563
RCHGF000547	378	159.976	164	20.7636
RCHGF000548	426	203.683	57	5.66804
RCHGF000549	471	246.309	71	5.83838
RCHGF000550	840	612.256	198	6.55008
RCHGF000551	702	474.401	144	6.14796
RCHGF000552	1836	1608.23	1156	14.5588
RCHGF000553	312	105.397	68	13.0675
RCHGF000554	1257	1029.23	340	6.69086
RCHGF000555	345	131.582	73	11.2367
RCHGF000556	1443	1215.23	467	7.78348
RCHGF000557	873	645.249	785	24.6409
RCHGF000558	795	567.256	490	17.4957
RCHGF000559	747	519.347	489	19.0707
RCHGF000560	1356	1128.23	1338	24.02
RCHGF000561	453	229.097	470	41.552
RCHGF000562	477	252.055	165	13.2587
RCHGF000563	1587	1359.23	2553	38.0428
RCHGF000564	816	588.256	383	13.187
RCHGF000565	543	316.405	1350	86.418
RCHGF000566	600	372.835	317	17.221
RCHGF000567	873	645.249	869	27.2776
RCHGF000568	837	609.256	1863	61.9338
RCHGF000569	828	600.256	5760	194.357
RCHGF000570	717	489.375	1000	41.3878
RCHGF000571	1341	1113.23	6147	111.839
RCHGF000572	774	546.311	1490	55.2408
RCHGF000573	1353	1125.23	12816	230.689
RCHGF000574	951	723.227	6406	179.402
RCHGF000575	354	139.122	2446	356.103
RCHGF000576	1647	1419.23	1086	15.4986
RCHGF000577	669	441.477	395	18.1219
RCHGF000578	1110	882.227	1091	25.0472
RCHGF000579	714	486.375	1480	61.6318
RCHGF000580	504	278.231	320	23.2948
RCHGF000581	762	534.317	3144	119.178
RCHGF000582	762	534.317	245	9.28712
RCHGF000583	768	540.317	2661	99.7494
RCHGF000584	357	141.65	1030	147.277
RCHGF000585	252	64.4259	123413	38798.5
RCHGF000586	1329	1101.23	847	15.5783
RCHGF000587	765	537.317	916	34.5286
RCHGF000588	222	48.1768	439	184.561
RCHGF000589	369	152.058	1605	213.786
RCHGF000590	357	141.65	147	21.0192
RCHGF000592	3047	2819.23	3403	24.4482
RCHGF000594	1983	1755.23	4287	49.4691
RCHGF000595	1425	1197.23	4098	69.3281
RCHGF000596	237	55.7643	42	15.2548
RCHGF000597	180	30.1565	197	132.312
RCHGF000598	903	675.227	4679	140.352
RCHGF000599	882	654.234	3834	118.695
RCHGF000600	1116	888.227	4421	100.812
RCHGF000601	1755	1527.23	2433	32.2666
RCHGF000602	1134	906.227	4386	98.027
RCHGF000603	1032	804.227	1462	36.8199
RCHGF000604	1392	1164.23	4460	77.591
RCHGF000605	891	663.227	3362	102.671
RCHGF000606	1026	798.227	3491	88.5804
RCHGF000607	1707	1479.23	7257	99.3657
RCHGF000608	1455	1227.23	2625	43.323
RCHGF000609	1098	870.227	3488	81.1817
RCHGF000610	951	723.227	3231	90.485
RCHGF000611	900	672.227	684	20.6089
RCHGF000612	1146	918.227	3575	78.857
RCHGF000613	1119	891.227	804	18.2718
RCHGF000614	825	597.256	3491	118.387
RCHGF000615	1149	921.227	3193	70.2015
RCHGF000616	624	396.703	1221	62.3397
RCHGF000617	597	369.855	2395	131.156
RCHGF000618	1224	996.227	6791	138.067
RCHGF000619	510	284.111	26342	1877.91
RCHGF000620	1902	1674.23	3859	46.6847
RCHGF000621	237	55.7643	159	57.7504
RCHGF000622	153	20.9287	4	3.87107
RCHGF000623	291	90.0816	136	30.5786
RCHGF000624	402	181.626	129	14.3856
RCHGF000625	111	11.0914	39	71.2183
RCHGF000626	963	735.227	579	15.9504
RCHGF000627	1191	963.227	9119.16	191.752
RCHGF000628	204	39.7241	15.7438	8.02731
RCHGF000629	1140	912.227	178.466	3.96247
RCHGF000631	567	340.052	1557	92.7381
RCHGF000632	720	492.375	1883	77.4585
RCHGF000633	195	36.105	10	5.60979
RCHGF000634	438	214.959	121	11.401
RCHGF000635	879	651.241	1737	54.0222
RCHGF000636	1491	1263.23	4918	78.8536
RCHGF000637	1179	951.227	1671	35.58
RCHGF000638	1308	1080.23	2656	49.7998
RCHGF000639	1023	795.227	827	21.0634
RCHGF000640	120	12.42	382	622.951
RCHGF000641	408	187.124	4263	461.423
RCHGF000642	780	552.299	3542	129.894
RCHGF000643	354	139.122	5827	848.328
RCHGF000644	177	29.1318	38	26.4198
RCHGF000645	786	558.274	1321	47.9258
RCHGF000646	138	16.553	221	270.415
RCHGF000647	762	534.317	734	27.8234
RCHGF000648	909	681.227	490	14.5686
RCHGF000649	198	37.3265	16	8.68194
RCHGF000650	1101	873.227	720	16.7001
RCHGF000651	114	11.3688	16	28.5048
RCHGF000652	780	552.299	660	24.2038
