-e target_id	length	eff_length	Coculture_PT33_HGF2_Late_Replicate_1_HGF2_counts	tpm
RCHGF000066	687	446.231	4	104.089
RCHGF000067	1395	1153.87	2	20.127
RCHGF000068	894	652.873	2	35.5719
RCHGF000069	687	446.231	1	26.0224
RCHGF000070	873	631.873	3	55.1312
RCHGF000071	363	141.694	0	0
RCHGF000072	117	11.7169	0	0
RCHGF000073	861	619.873	1	18.7328
RCHGF000074	732	491.139	0	0
RCHGF000075	207	42.6914	0	0
RCHGF000076	276	80.0099	14	2031.85
RCHGF000077	288	87.1266	16	2132.44
RCHGF000078	1566	1324.87	1	8.7646
RCHGF000079	288	87.1266	0	0
RCHGF000080	459	224.231	0	0
RCHGF000081	450	216.298	0	0
RCHGF000082	411	180.802	0	0
RCHGF000083	369	146.363	0	0
RCHGF000084	1497	1255.87	1	9.24614
RCHGF000085	726	485.187	0	0
RCHGF000086	585	344.648	0	0
RCHGF000087	1785	1543.87	0	0
RCHGF000088	1746	1504.87	0	0
RCHGF000089	615	374.544	0	0
RCHGF000090	354	134.952	0	0
RCHGF000091	1878	1636.87	9	63.846
RCHGF000092	1446	1204.87	22	212.025
RCHGF000093	513	275.176	38	1603.54
RCHGF000094	672	431.273	0	0
RCHGF000095	1434	1192.87	0	0
RCHGF000096	987	745.873	0	0
RCHGF000097	1050	808.873	0	0
RCHGF000098	1203	961.873	0	0
RCHGF000099	1329	1087.87	1	10.674
RCHGF000100	207	42.6914	0	0
RCHGF000101	765	524.038	1	22.1587
RCHGF000102	1164	922.873	0	0
RCHGF000103	1707	1465.87	7	55.4508
RCHGF000104	1047	805.873	5	72.046
RCHGF000105	2346	2104.87	3	16.5501
RCHGF000106	753	512.139	12	272.082
RCHGF000107	195	36.9613	2	628.332
RCHGF000108	195	36.9613	0	0
RCHGF000109	666	425.357	0	0
RCHGF000110	1152	910.873	3	38.2446
RCHGF000111	1008	766.873	9	136.278
RCHGF000112	996	754.873	0	0
RCHGF000113	828	586.931	1	19.7843
RCHGF000114	798	556.931	0	0
RCHGF000115	474	238.37	0	0
RCHGF000116	417	186.064	2	124.817
RCHGF000117	819	577.931	0	0
RCHGF000118	2754	2512.87	2	9.242
RCHGF000119	981	739.873	2	31.3891
RCHGF000121	474	238.37	0	0
RCHGF000122	912	670.873	0	0
RCHGF000123	1251	1009.87	3	34.4954
RCHGF000124	492	255.588	6	272.595
RCHGF000125	672	431.273	5	134.625
RCHGF000126	375	151.111	0	0
RCHGF000127	1632	1390.87	2	16.6974
RCHGF000128	333	118.948	0	0
RCHGF000129	1206	964.873	0	0
RCHGF000130	1470	1228.87	0	0
RCHGF000131	987	745.873	0	0
RCHGF000132	900	658.873	0	0
RCHGF000133	657	416.357	0	0
RCHGF000134	2331	2089.87	10	55.5631
RCHGF000135	1776	1534.87	10	75.6544
RCHGF000136	120	12.1832	0	0
RCHGF000137	597	356.579	0	0
RCHGF000138	1125	883.873	7	91.9633
RCHGF000139	978	736.873	2	31.5169
RCHGF000140	489	252.863	2	91.8441
RCHGF000141	1188	946.873	3	36.7905
RCHGF000142	135	15.7644	0	0
RCHGF000143	174	28.5134	1	407.247
RCHGF000144	735	494.139	0	0
RCHGF000145	702	461.187	0	0
RCHGF000146	777	536.038	0	0
RCHGF000147	243	60.6252	0	0
RCHGF000148	399	170.316	33	2249.91
RCHGF000149	750	509.139	1	22.8071
RCHGF000151	2724	2482.87	6	28.061
RCHGF000152	729	488.187	0	0
RCHGF000153	444	210.743	0	0
RCHGF000154	765	524.038	0	0
RCHGF000155	1194	952.873	2	24.3726
RCHGF000156	909	667.873	1	17.3865
RCHGF000157	744	503.139	0	0
RCHGF000158	555	315.416	0	0
RCHGF000159	1041	799.873	0	0
RCHGF000160	927	685.873	0	0
RCHGF000161	1488	1246.87	0	0
RCHGF000162	1671	1429.87	0	0
RCHGF000163	1053	811.873	0	0
RCHGF000165	1038	796.873	3	43.7158
RCHGF000166	2400	2158.87	4	21.5149
RCHGF000167	120	12.1832	0	0
RCHGF000168	873	631.873	21	385.919
RCHGF000169	1836	1594.87	40	291.233
RCHGF000170	552	312.447	7	260.153
RCHGF000171	1230	988.873	0	0
RCHGF000172	558	318.416	0	0
RCHGF000173	468	232.74	1	49.8925
RCHGF000174	150	19.4273	4	2390.86
RCHGF000175	1656	1414.87	15	123.106
RCHGF000176	873	631.873	3	55.1312
RCHGF000177	390	162.676	20	1427.62
RCHGF000178	876	634.873	61	1115.7
RCHGF000179	996	754.873	17	261.506
RCHGF000180	120	12.1832	0	0
RCHGF000181	813	571.931	1	20.3031
RCHGF000182	786	545.038	0	0
RCHGF000183	1230	988.873	3	35.2279
RCHGF000184	447	213.384	0	0
RCHGF000185	1398	1156.87	2	20.0748
RCHGF000186	525	286.734	5	202.487
RCHGF000187	741	500.139	1	23.2175
RCHGF000188	456	221.474	3	157.291
RCHGF000189	1380	1138.87	16	163.136
RCHGF000190	1140	898.873	7	90.4287
RCHGF000191	1401	1159.87	14	140.16
RCHGF000192	624	383.508	2	60.5567
RCHGF000193	1539	1297.87	0	0
RCHGF000194	1209	967.873	1	11.9974
RCHGF000195	897	655.873	0	0
RCHGF000196	1458	1216.87	4	38.1699
RCHGF000197	969	727.873	0	0
RCHGF000198	1287	1045.87	1	11.1027
RCHGF000199	1242	1000.87	0	0
RCHGF000200	1446	1204.87	5	48.1876
RCHGF000201	1185	943.873	5	61.5124
RCHGF000202	162	24.0909	1	482.007
RCHGF000203	582	341.648	47	1597.44
RCHGF000204	1209	967.873	83	995.786
RCHGF000205	720	479.187	24	581.585
RCHGF000206	1503	1261.87	50	460.109
RCHGF000207	1101	859.873	12	162.052
RCHGF000208	1332	1090.87	4	42.5787
RCHGF000209	2175	1933.87	36	216.163
RCHGF000210	1710	1468.87	22	173.918
RCHGF000212	1578	1336.87	13	112.917
RCHGF000213	1425	1183.87	13	127.51
RCHGF000214	315	104.723	0	0
RCHGF000215	435	202.632	0	0
RCHGF000216	723	482.187	5	120.41
RCHGF000217	111	10.6861	0	0
RCHGF000218	651	410.357	0	0
RCHGF000219	1050	808.873	1	14.3558
RCHGF000220	132	15.0109	0	0
RCHGF000221	726	485.187	0	0
RCHGF000222	1038	796.873	7	102.004
RCHGF000223	1254	1012.87	2	22.9288
RCHGF000224	654	413.357	10	280.919
RCHGF000225	522	283.985	0	0
RCHGF000226	1080	838.873	0	0
RCHGF000227	282	83.4621	0	0
RCHGF000228	1026	784.873	2	29.5895
RCHGF000229	336	121.379	4	382.67
RCHGF000230	711	470.187	0	0
RCHGF000231	678	437.231	0	0
RCHGF000232	456	221.474	1	52.4305
RCHGF000233	534	294.803	2	78.7781
RCHGF000234	645	404.357	2	57.4344
RCHGF000235	3291	3049.87	60	228.442
RCHGF000236	552	312.447	0	0
RCHGF000237	2649	2407.87	53	255.593
RCHGF000238	321	109.531	6	636.094
RCHGF000240	942	700.873	16	265.086
RCHGF000241	588	347.648	1	33.4016
RCHGF000242	459	224.231	5	258.929
RCHGF000243	1050	808.873	24	344.538
RCHGF000244	1551	1309.87	10	88.6497
RCHGF000245	783	542.038	8	171.383
RCHGF000246	1434	1192.87	4	38.9379
RCHGF000247	1656	1414.87	1	8.20709
RCHGF000248	2358	2116.87	37	202.961
RCHGF000249	1101	859.873	18	243.077
RCHGF000250	1539	1297.87	7	62.6285
RCHGF000251	1095	853.873	17	231.186
RCHGF000252	951	709.873	18	294.441
RCHGF000253	1254	1012.87	8	91.7152
RCHGF000254	1281	1039.87	11	122.834
RCHGF000255	426	193.949	0	0
RCHGF000256	600	359.579	10	322.932
RCHGF000257	1752	1510.87	3	23.0568
RCHGF000258	1128	886.873	1	13.0932
RCHGF000259	1206	964.873	5	60.1736
RCHGF000260	168	26.4646	29	12724.4
RCHGF000261	540	300.803	12	463.24
RCHGF000262	816	574.931	1	20.1972
RCHGF000263	1410	1168.87	5	49.6717
RCHGF000264	978	736.873	2	31.5169
RCHGF000265	225	51.2925	0	0
RCHGF000266	207	42.6914	0	0
RCHGF000267	150	19.4273	0	0
RCHGF000268	213	45.7218	0	0
RCHGF000269	759	518.139	0	0
RCHGF000270	939	697.873	0	0
RCHGF000271	114	11.1771	0	0
RCHGF000272	2676	2434.87	1	4.76903
RCHGF000273	270	75.8497	3	459.276
RCHGF000274	204	41.3296	0	0
RCHGF000275	501	264.054	0	0
RCHGF000276	735	494.139	0	0
RCHGF000277	585	344.648	0	0
RCHGF000279	345	128.201	6	543.458
RCHGF000280	600	359.579	0	0
RCHGF000281	591	350.648	4	132.463
RCHGF000282	864	622.873	0	0
RCHGF000283	621	380.508	1	30.5171
RCHGF000284	375	151.111	1	76.8441
RCHGF000285	429	196.851	0	0
RCHGF000286	945	703.873	45	742.377
RCHGF000287	729	488.187	0	0
RCHGF000288	2244	2002.87	8	46.3813
RCHGF000289	1296	1054.87	14	154.111
RCHGF000290	906	664.873	1	17.465
RCHGF000291	207	42.6914	0	0
RCHGF000292	951	709.873	1	16.3578
RCHGF000293	885	643.873	1	18.0346
RCHGF000294	135	15.7644	0	0
RCHGF000295	711	470.187	5	123.483
RCHGF000296	540	300.803	5	193.017
RCHGF000297	702	461.187	1	25.1785
RCHGF000298	771	530.038	1	21.9078
RCHGF000299	1164	922.873	9	113.242
RCHGF000300	1056	814.873	4	57.0002
RCHGF000301	486	249.913	0	0
RCHGF000302	1125	883.873	8	105.101
RCHGF000303	264	72.1646	38	6114.57
RCHGF000304	873	631.873	1	18.3771
RCHGF000305	954	712.873	0	0
RCHGF000306	294	90.9632	0	0
RCHGF000307	939	697.873	7	116.474
RCHGF000308	1806	1564.87	0	0
RCHGF000309	840	598.873	0	0
RCHGF000310	1101	859.873	3	40.5129
RCHGF000311	1026	784.873	3	44.3842
RCHGF000312	264	72.1646	7	1126.37
RCHGF000313	2208	1966.87	15	88.5567
RCHGF000314	1389	1147.87	3	30.3483
RCHGF000315	669	428.357	2	54.2165
RCHGF000316	327	114.119	1	101.754
RCHGF000317	711	470.187	0	0
RCHGF000318	1302	1060.87	3	32.8371
RCHGF000319	375	151.111	4	307.376
RCHGF000320	549	309.447	4	150.1
RCHGF000321	993	751.873	27	416.99
RCHGF000323	1233	991.873	2	23.4143
RCHGF000324	771	530.038	0	0
RCHGF000325	576	335.714	0	0
RCHGF000326	864	622.873	0	0
RCHGF000327	177	29.584	1	392.51
RCHGF000328	162	24.0909	2	964.014
RCHGF000329	930	688.873	2	33.713
RCHGF000330	978	736.873	1	15.7585
RCHGF000331	1005	763.873	1	15.2015
RCHGF000332	798	556.931	2	41.6999
RCHGF000333	522	283.985	1	40.8895
RCHGF000334	1650	1408.87	6	49.4522
RCHGF000335	699	458.187	2	50.6867
RCHGF000336	459	224.231	4	207.143
RCHGF000337	1299	1057.87	2	21.9535
RCHGF000338	282	83.4621	3	417.387
RCHGF000339	558	318.416	0	0
RCHGF000340	171	27.5496	1	421.494
RCHGF000341	330	116.711	0	0
RCHGF000342	597	356.579	1	32.5649
RCHGF000343	1161	919.873	1	12.6235
RCHGF000344	519	281.067	1	41.3139
RCHGF000345	771	530.038	1	21.9078
RCHGF000346	564	324.323	1	35.8038
RCHGF000347	645	404.357	2	57.4344
RCHGF000348	1029	787.873	0	0
RCHGF000349	681	440.231	2	52.7541
RCHGF000350	831	589.931	4	78.7346
RCHGF000351	402	172.967	1	67.1341
RCHGF000352	1038	796.873	0	0
RCHGF000353	771	530.038	1	21.9078
RCHGF000354	717	476.187	1	24.3854
RCHGF000355	150	19.4273	0	0
RCHGF000356	993	751.873	1	15.4441
RCHGF000357	1014	772.873	8	120.195
RCHGF000358	1263	1021.87	9	102.271
RCHGF000359	135	15.7644	0	0
RCHGF000360	903	661.873	2	35.0882
RCHGF000361	1992	1750.87	1	6.63211
RCHGF000362	870	628.873	1	18.4647
RCHGF000363	1176	934.873	0	0
RCHGF000364	510	272.686	1	42.5837
RCHGF000365	1290	1048.87	0	0
RCHGF000366	1002	760.873	3	45.7842
RCHGF000367	759	518.139	9	201.698
RCHGF000368	840	598.873	4	77.5589
RCHGF000369	1383	1141.87	0	0
RCHGF000370	240	58.9242	1	197.066
RCHGF000372	2397	2155.87	7	37.7035
RCHGF000373	867	625.873	0	0
RCHGF000374	1239	997.873	13	151.278
RCHGF000375	138	16.4062	1	707.782
RCHGF000377	215	46.7162	0	0
RCHGF000379	750	509.139	1	22.8071
RCHGF000380	594	353.614	0	0
RCHGF000381	330	116.711	0	0
RCHGF000382	1098	856.873	6	81.3095
RCHGF000383	558	318.416	0	0
RCHGF000384	300	94.8053	0	0
RCHGF000385	1053	811.873	0	0
RCHGF000386	474	238.37	0	0
RCHGF000387	396	167.663	0	0
RCHGF000388	663	422.357	0	0
RCHGF000389	834	592.873	0	0
RCHGF000390	744	503.139	0	0
RCHGF000391	735	494.139	0	0
RCHGF000392	1053	811.873	1	14.3027
RCHGF000393	867	625.873	0	0
RCHGF000394	1026	784.873	0	0
RCHGF000395	1431	1189.87	0	0
RCHGF000396	1275	1033.87	0	0
RCHGF000397	561	321.385	0	0
RCHGF000398	3159	2917.87	2	7.95921
RCHGF000399	1293	1051.87	0	0
RCHGF000400	300	94.8053	0	0
RCHGF000401	309	100.415	0	0
RCHGF000402	645	404.357	2	57.4344
RCHGF000403	312	102.514	1	113.273
RCHGF000404	141	16.8398	0	0
RCHGF000405	591	350.648	2	66.2316
RCHGF000406	1173	931.873	0	0
RCHGF000407	1572	1330.87	0	0
RCHGF000408	831	589.931	0	0
RCHGF000409	468	232.74	0	0
RCHGF000410	207	42.6914	0	0
RCHGF000411	462	226.808	4	204.79
RCHGF000412	300	94.8053	0	0
RCHGF000413	288	87.1266	3	399.832
RCHGF000414	492	255.588	1	45.4325
RCHGF000415	240	58.9242	5	985.332
RCHGF000416	1173	931.873	18	224.296
RCHGF000417	792	551.038	0	0
RCHGF000418	3453	3211.87	7	25.3073
RCHGF000419	558	318.416	1	36.4679
RCHGF000420	162	24.0909	2	964.014
RCHGF000421	1353	1111.87	4	41.7745
RCHGF000422	804	562.931	0	0
RCHGF000423	1359	1117.87	0	0
RCHGF000424	852	610.873	0	0
RCHGF000425	1041	799.873	0	0
RCHGF000426	837	595.873	0	0
RCHGF000427	783	542.038	0	0
RCHGF000428	477	241.323	0	0
RCHGF000429	438	205.305	0	0
RCHGF000430	1455	1213.87	0	0
RCHGF000431	843	601.873	0	0
RCHGF000432	1041	799.873	0	0
RCHGF000433	1914	1672.87	0	0
RCHGF000434	666	425.357	1	27.2994
RCHGF000435	717	476.187	0	0
RCHGF000436	465	229.763	0	0
RCHGF000437	1188	946.873	1	12.2635
RCHGF000438	1416	1174.87	3	29.6508
RCHGF000439	1086	844.873	1	13.7441
RCHGF000440	261	70.3354	0	0
RCHGF000441	2100	1858.87	1	6.24679
RCHGF000442	612	371.544	10	312.533
RCHGF000443	993	751.873	5	77.2204
RCHGF000444	324	111.83	0	0
RCHGF000445	132	15.0109	0	0
RCHGF000446	381	156.436	0	0
RCHGF000447	135	15.7644	0	0
RCHGF000448	144	17.672	0	0
RCHGF000449	1356	1114.87	0	0
RCHGF000450	1116	874.873	6	79.6366
RCHGF000451	192	35.6168	0	0
RCHGF000452	201	39.8512	3	874.151
RCHGF000453	1098	856.873	0	0
RCHGF000454	1941	1699.87	4	27.3244
RCHGF000455	2511	2269.87	18	92.0826
RCHGF000457	1284	1042.87	8	89.0769
RCHGF000459	453	218.867	0	0
RCHGF000460	1806	1564.87	1	7.4204
RCHGF000461	306	98.475	2	235.836
RCHGF000462	594	353.614	5	164.19
RCHGF000463	933	691.873	0	0
RCHGF000464	555	315.416	2	73.6296
RCHGF000465	771	530.038	0	0
RCHGF000466	1218	976.873	7	83.2082
RCHGF000467	2529	2287.87	2	10.1509
RCHGF000468	2085	1843.87	2	12.5952
RCHGF000469	909	667.873	1	17.3865
RCHGF000470	738	497.139	0	0
RCHGF000471	777	536.038	2	43.3253
RCHGF000472	843	601.873	3	57.8792
RCHGF000473	336	121.379	0	0
RCHGF000474	558	318.416	0	0
RCHGF000475	648	407.357	12	342.068
RCHGF000476	147	18.4094	0	0
RCHGF000477	630	389.395	0	0
RCHGF000478	975	733.873	8	126.583
RCHGF000479	1068	826.873	0	0
RCHGF000480	855	613.873	1	18.9159
RCHGF000481	693	452.231	1	25.6771
RCHGF000482	678	437.231	1	26.558
RCHGF000483	1641	1399.87	2	16.5901
RCHGF000484	2343	2101.87	3	16.5738
RCHGF000485	546	306.477	0	0
RCHGF000486	111	10.6861	0	0
RCHGF000487	486	249.913	0	0
RCHGF000488	441	208.139	0	0
RCHGF000489	1035	793.873	0	0
RCHGF000490	312	102.514	0	0
RCHGF000491	2640	2398.87	1	4.8406
RCHGF000492	1941	1699.87	8	54.6487
RCHGF000493	366	143.963	0	0
RCHGF000494	1773	1531.87	8	60.642
RCHGF000495	477	241.323	3	144.354
RCHGF000496	765	524.038	1	22.1587
RCHGF000497	762	521.139	0	0
RCHGF000498	939	697.873	2	33.2782
RCHGF000499	846	604.873	1	19.1974
RCHGF000500	1260	1018.87	2	22.7938
RCHGF000501	1014	772.873	2	30.0489
RCHGF000502	1095	853.873	1	13.5992
RCHGF000503	1011	769.873	0	0
RCHGF000504	1083	841.873	5	68.9652
RCHGF000505	1233	991.873	5	58.5356
RCHGF000506	165	25.1715	0	0
RCHGF000507	921	679.873	0	0
RCHGF000508	348	130.77	0	0
RCHGF000509	138	16.4062	0	0
RCHGF000510	153	20.5216	0	0
RCHGF000512	498	261.105	0	0
RCHGF000513	3693	3451.87	1	3.36397
RCHGF000514	1572	1330.87	0	0
RCHGF000515	1029	787.873	0	0
RCHGF000516	585	344.648	0	0
RCHGF000517	1530	1288.87	0	0
RCHGF000518	438	205.305	0	0
RCHGF000519	690	449.231	1	25.8486
RCHGF000520	750	509.139	0	0
RCHGF000521	1224	982.873	0	0
RCHGF000522	714	473.187	1	24.54
RCHGF000523	369	146.363	0	0
RCHGF000524	327	114.119	0	0
RCHGF000526	186	33.2118	0	0
RCHGF000527	561	321.385	0	0
RCHGF000528	807	565.931	0	0
RCHGF000529	627	386.508	0	0
RCHGF000530	273	77.9196	4	596.101
RCHGF000531	678	437.231	0	0
RCHGF000532	1053	811.873	2	28.6054
RCHGF000533	978	736.873	2	31.5169
RCHGF000534	519	281.067	3	123.942
RCHGF000535	702	461.187	20	503.57
RCHGF000536	573	332.909	0	0
RCHGF000537	1323	1081.87	5	53.6661
RCHGF000538	639	398.357	0	0
RCHGF000539	1641	1399.87	1	8.29503
RCHGF000540	1764	1522.87	3	22.8752
RCHGF000541	756	515.139	3	67.6244
RCHGF000542	894	652.873	2	35.5719
RCHGF000543	2409	2167.87	3	16.0692
RCHGF000544	1371	1129.87	2	20.5545
RCHGF000545	960	718.873	12	193.836
RCHGF000546	165	25.1715	0	0
RCHGF000547	378	153.679	1	75.5601
RCHGF000548	426	193.949	0	0
RCHGF000549	471	235.417	1	49.3252
RCHGF000550	840	598.873	1	19.3897
RCHGF000551	702	461.187	0	0
RCHGF000552	1836	1594.87	0	0
RCHGF000553	312	102.514	0	0
RCHGF000554	1257	1015.87	2	22.8611
RCHGF000555	345	128.201	0	0
RCHGF000556	1443	1201.87	1	9.66157
RCHGF000557	873	631.873	0	0
RCHGF000558	795	553.931	0	0
RCHGF000559	747	506.139	1	22.9423
RCHGF000560	1356	1114.87	0	0
RCHGF000561	453	218.867	0	0
RCHGF000562	477	241.323	2	96.2361
RCHGF000563	1587	1345.87	1	8.62785
RCHGF000564	816	574.931	0	0
RCHGF000565	543	303.685	1	38.2369
RCHGF000566	600	359.579	3	96.8797
RCHGF000567	873	631.873	0	0
RCHGF000568	837	595.873	3	58.462
RCHGF000569	828	586.931	12	237.411
RCHGF000570	717	476.187	2	48.7707
RCHGF000571	1341	1099.87	32	337.842
RCHGF000572	774	533.038	1	21.7845
RCHGF000573	1353	1111.87	9	93.9926
RCHGF000574	951	709.873	16	261.725
RCHGF000575	354	134.952	1	86.0453
RCHGF000576	1647	1405.87	1	8.25963
RCHGF000577	669	428.357	0	0
RCHGF000578	1110	868.873	0	0
RCHGF000579	714	473.187	4	98.1598
RCHGF000580	504	266.924	0	0
RCHGF000581	762	521.139	10	222.819
RCHGF000582	762	521.139	1	22.2819
RCHGF000583	768	527.038	2	44.0651
RCHGF000584	357	137.302	0	0
RCHGF000585	252	65.0902	482	85988.1
RCHGF000586	1329	1087.87	1	10.674
RCHGF000587	765	524.038	4	88.6347
RCHGF000588	222	49.975	0	0
RCHGF000589	369	146.363	1	79.3371
RCHGF000590	357	137.302	0	0
RCHGF000592	3047	2805.87	10	41.3846
RCHGF000594	1983	1741.87	1	6.66638
RCHGF000595	1425	1183.87	24	235.403
RCHGF000596	237	57.4318	1	202.187
RCHGF000597	180	30.82	0	0
RCHGF000598	903	661.873	1	17.5441
RCHGF000599	882	640.873	2	36.238
RCHGF000600	1116	874.873	1	13.2728
RCHGF000601	1755	1513.87	2	15.3408
RCHGF000602	1134	892.873	0	0
RCHGF000603	1032	790.873	0	0
RCHGF000604	1392	1150.87	11	110.987
RCHGF000605	891	649.873	3	53.6042
RCHGF000606	1026	784.873	3	44.3842
RCHGF000607	1707	1465.87	0	0
RCHGF000608	1455	1213.87	0	0
RCHGF000609	1098	856.873	2	27.1032
RCHGF000610	951	709.873	1	16.3578
RCHGF000611	900	658.873	0	0
RCHGF000612	1146	904.873	6	76.9963
RCHGF000613	1119	877.873	5	66.137
RCHGF000614	825	583.931	2	39.7718
RCHGF000615	1149	907.873	2	25.5806
RCHGF000616	624	383.508	0	0
RCHGF000617	597	356.579	4	130.26
RCHGF000618	1224	982.873	3	35.443
RCHGF000619	510	272.686	15	638.756
RCHGF000620	1902	1660.87	5	34.9575
RCHGF000621	237	57.4318	0	0
RCHGF000622	153	20.5216	0	0
RCHGF000623	291	88.988	0	0
RCHGF000624	402	172.967	0	0
RCHGF000625	111	10.6861	0	0
RCHGF000626	963	721.873	1	16.0859
RCHGF000627	1191	949.873	7	85.5734
RCHGF000628	204	41.3296	3	842.882
RCHGF000629	1140	898.873	1	12.9184
RCHGF000631	567	327.259	5	177.413
RCHGF000632	720	479.187	0	0
RCHGF000633	195	36.9613	0	0
RCHGF000634	438	205.305	0	0
RCHGF000635	879	637.873	3	54.6127
RCHGF000636	1491	1249.87	17	157.939
RCHGF000637	1179	937.873	1	12.3812
RCHGF000638	1308	1066.87	0	0
RCHGF000639	1023	781.873	3	44.5545
RCHGF000640	120	12.1832	2	1906.24
RCHGF000641	408	178.092	2	130.404
RCHGF000642	780	539.038	3	64.6262
RCHGF000643	354	134.952	3	258.136
RCHGF000644	177	29.584	0	0
RCHGF000645	786	545.038	1	21.3049
RCHGF000646	138	16.4062	1	707.782
RCHGF000647	762	521.139	0	0
RCHGF000648	909	667.873	4	69.546
RCHGF000649	198	38.6206	0	0
RCHGF000650	1101	859.873	1	13.5043
RCHGF000651	114	11.1771	0	0
RCHGF000652	780	539.038	0	0
RCHGF000653	111	10.6861	0	0
RCHGF000654	1104	862.873	0	0
RCHGF000655	1167	925.873	0	0
RCHGF000656	120	12.1832	0	0
RCHGF000657	891	649.873	2	35.7362
RCHGF000658	117	11.7169	0	0
RCHGF000659	2055	1813.87	13	83.2229
RCHGF000660	309	100.415	0	0
RCHGF000661	1239	997.873	1	11.6367
RCHGF000662	324	111.83	0	0
RCHGF000663	1443	1201.87	1	9.66157
RCHGF000664	1188	946.873	31	380.169
RCHGF000665	174	28.5134	0	0
RCHGF000666	537	297.803	0	0
RCHGF000667	1215	973.873	1	11.9235
RCHGF000668	2190	1948.87	7	41.7082
RCHGF000669	123	13.0985	0	0
RCHGF000670	528	289.284	0	0
RCHGF000671	144	17.672	0	0
RCHGF000672	813	571.931	1	20.3031
RCHGF000673	423	191.608	0	0
RCHGF000674	141	16.8398	0	0
RCHGF000675	765	524.038	10	221.587
RCHGF000676	558	318.416	1	36.4679
RCHGF000677	849	607.873	1	19.1026
RCHGF000678	1119	877.873	0	0
RCHGF000679	144	17.672	0	0
RCHGF000680	1035	793.873	6	87.762
RCHGF000681	666	425.357	0	0
RCHGF000682	918	676.873	1	17.1553
RCHGF000683	747	506.139	5	114.711
RCHGF000684	204	41.3296	0	0
RCHGF000685	960	718.873	19	306.908
RCHGF000686	798	556.931	8	166.8
RCHGF000687	777	536.038	2	43.3253
RCHGF000688	777	536.038	2	43.3253
RCHGF000689	123	13.0985	0	0
RCHGF000690	921	679.873	1	17.0796
RCHGF000691	300	94.8053	0	0
RCHGF000692	822	580.931	0	0
RCHGF000693	780	539.038	0	0
RCHGF000694	468	232.74	0	0
RCHGF000695	738	497.139	0	0
RCHGF000696	408	178.092	0	0
RCHGF000697	2712	2470.87	0	0
RCHGF000698	1215	973.873	1	11.9235
RCHGF000699	1224	982.873	0	0
RCHGF000700	600	359.579	0	0
RCHGF000701	729	488.187	7	166.502
RCHGF000702	1737	1495.87	1	7.76268
RCHGF000703	552	312.447	1	37.1647
RCHGF000704	774	533.038	0	0
RCHGF000705	756	515.139	2	45.0829
RCHGF000706	699	458.187	0	0
RCHGF000707	858	616.873	4	75.2958
