-e target_id	length	eff_length	Coculture_PT33_HGF2_Early_Replicate_3_HGF2_counts	tpm
RCHGF000059	933	703.947	1	8.71534
RCHGF000060	675	446.184	2	27.5005
RCHGF000061	744	515.14	2	23.8193
RCHGF000062	1182	952.947	9	57.9426
RCHGF000063	1974	1744.95	6	21.0957
RCHGF000064	1479	1249.95	10	49.0832
RCHGF000065	900	671.14	14	127.979
RCHGF000066	687	458.184	11	147.292
RCHGF000067	1395	1165.95	4	21.0477
RCHGF000068	894	665.14	5	46.1192
RCHGF000069	687	458.184	3	40.1704
RCHGF000070	873	644.14	5	47.6227
RCHGF000071	363	154.669	0	0
RCHGF000072	117	13.9932	0	0
RCHGF000073	861	632.14	2	19.4107
RCHGF000074	732	503.14	2	24.3874
RCHGF000075	207	47.7749	0	0
RCHGF000076	276	89.1079	19	1308.16
RCHGF000077	288	97.4661	27	1699.55
RCHGF000078	1566	1336.95	3	13.7668
RCHGF000079	288	97.4661	2	125.893
RCHGF000080	459	237.769	0	0
RCHGF000081	450	229.924	0	0
RCHGF000082	411	194.384	2	63.1239
RCHGF000083	369	159.713	2	76.8269
RCHGF000084	1497	1267.95	1	4.83864
RCHGF000085	726	497.14	0	0
RCHGF000086	585	358.245	0	0
RCHGF000087	1785	1555.95	1	3.94303
RCHGF000088	1746	1516.95	2	8.0888
RCHGF000089	615	387.813	10	158.199
RCHGF000090	354	147.353	1	41.6356
RCHGF000091	1878	1648.95	14	52.089
RCHGF000092	1446	1216.95	28	141.16
RCHGF000093	513	288.626	47	999.05
RCHGF000094	672	443.393	2	27.6736
RCHGF000095	1434	1204.95	3	15.2749
RCHGF000096	987	757.947	1	8.09441
RCHGF000097	1050	820.947	4	29.893
RCHGF000098	1203	973.947	2	12.5985
RCHGF000099	1329	1099.95	0	0
RCHGF000100	207	47.7749	0	0
RCHGF000101	765	536.14	3	34.3295
RCHGF000102	1164	934.947	2	13.124
RCHGF000103	1707	1477.95	50	207.556
RCHGF000104	1047	817.947	1	7.50065
RCHGF000105	2346	2116.95	10	28.9811
RCHGF000106	753	524.14	1	11.7052
RCHGF000107	195	41.7147	6	882.442
RCHGF000108	195	41.7147	0	0
RCHGF000109	666	437.393	0	0
RCHGF000110	1152	922.947	0	0
RCHGF000111	1008	778.947	31	244.162
RCHGF000112	996	766.947	4	31.9977
RCHGF000113	828	599.14	0	0
RCHGF000114	798	569.14	0	0
RCHGF000115	474	251.458	0	0
RCHGF000116	417	199.979	2	61.358
RCHGF000117	819	590.14	0	0
RCHGF000118	2754	2524.95	5	12.149
RCHGF000119	981	751.947	2	16.318
RCHGF000121	474	251.458	1	24.3982
RCHGF000122	912	683.14	1	8.9808
RCHGF000123	1251	1021.95	5	30.0169
RCHGF000124	492	268.39	7	160.014
RCHGF000125	672	443.393	1	13.8368
RCHGF000126	375	164.917	0	0
RCHGF000127	1632	1402.95	0	0
RCHGF000128	333	130.827	0	0
RCHGF000129	1206	976.947	0	0
RCHGF000130	1470	1240.95	2	9.88783
RCHGF000131	987	757.947	0	0
RCHGF000132	900	671.14	4	36.5655
RCHGF000133	657	428.798	4	57.2311
RCHGF000134	2331	2101.95	12	35.0255
RCHGF000135	1776	1546.95	12	47.5916
RCHGF000136	120	14.5436	0	0
RCHGF000137	597	370.176	1	16.5736
RCHGF000138	1125	895.947	15	102.715
RCHGF000139	978	748.947	0	0
RCHGF000140	489	265.747	3	69.2593
RCHGF000141	1188	958.947	15	95.9668
RCHGF000142	135	17.9059	0	0
RCHGF000143	174	31.9369	0	0
RCHGF000144	735	506.14	1	12.1214
RCHGF000145	702	473.14	2	25.9337
RCHGF000146	777	548.14	0	0
RCHGF000147	243	67.9615	0	0
RCHGF000148	399	183.962	49	1634.15
RCHGF000149	750	521.14	2	23.5451
RCHGF000151	2724	2494.95	9	22.1312
RCHGF000152	729	500.14	0	0
RCHGF000153	444	224.385	3	82.0261
RCHGF000154	765	536.14	2	22.8863
RCHGF000155	1194	964.947	2	12.716
RCHGF000156	909	680.14	0	0
RCHGF000157	744	515.14	1	11.9097
RCHGF000158	555	328.726	0	0
RCHGF000159	1041	811.947	0	0
RCHGF000160	927	697.947	0	0
RCHGF000161	1488	1258.95	0	0
RCHGF000162	1671	1441.95	3	12.7643
RCHGF000163	1053	823.947	2	14.8921
RCHGF000165	1038	808.947	6	45.5046
RCHGF000166	2400	2170.95	23	64.9985
RCHGF000167	120	14.5436	0	0
RCHGF000168	873	644.14	57	542.899
RCHGF000169	1836	1606.95	82	313.067
RCHGF000170	552	325.726	10	188.353
RCHGF000171	1230	1000.95	6	36.776
RCHGF000172	558	331.602	1	18.5015
RCHGF000173	468	246.076	4	99.7276
RCHGF000174	150	22.1394	4	1108.46
RCHGF000175	1656	1426.95	33	141.883
RCHGF000176	873	644.14	12	114.295
RCHGF000177	390	176.768	51	1770.08
RCHGF000178	876	647.14	106	1004.92
RCHGF000179	996	766.947	33	263.981
RCHGF000180	120	14.5436	0	0
RCHGF000181	813	584.14	7	73.5201
RCHGF000182	786	557.14	0	0
RCHGF000183	1230	1000.95	8	49.0347
RCHGF000184	447	227.145	4	108.039
RCHGF000185	1398	1168.95	11	57.7327
RCHGF000186	525	300.066	13	265.797
RCHGF000187	741	512.14	9	107.815
RCHGF000188	456	235.521	0	0
RCHGF000189	1380	1150.95	11	58.6356
RCHGF000190	1140	910.947	20	134.698
RCHGF000191	1401	1171.95	38	198.93
RCHGF000192	624	396.775	2	30.925
RCHGF000193	1539	1309.95	1	4.6835
RCHGF000194	1209	979.947	7	43.8248
RCHGF000195	897	668.14	0	0
RCHGF000196	1458	1228.95	1	4.99219
RCHGF000197	969	739.947	6	49.7479
RCHGF000198	1287	1057.95	2	11.5982
RCHGF000199	1242	1012.95	7	42.397
RCHGF000200	1446	1216.95	9	45.3728
RCHGF000201	1185	955.947	4	25.6715
RCHGF000202	162	26.8635	0	0
RCHGF000203	582	355.245	154	2659.61
RCHGF000204	1209	979.947	160	1001.71
RCHGF000205	720	491.14	43	537.141
RCHGF000206	1503	1273.95	93	447.874
RCHGF000207	1101	871.947	22	154.795
RCHGF000208	1332	1102.95	20	111.25
RCHGF000209	2175	1945.95	46	145.028
RCHGF000210	1710	1480.95	36	149.138
RCHGF000212	1578	1348.95	16	72.7695
RCHGF000213	1425	1195.95	16	82.0791
RCHGF000214	315	117.166	6	314.176
RCHGF000215	435	216.286	1	28.3658
RCHGF000216	723	494.14	4	49.6632
RCHGF000217	111	13.6007	0	0
RCHGF000218	651	422.798	2	29.0216
RCHGF000219	1050	820.947	4	29.893
RCHGF000220	132	17.2427	0	0
RCHGF000221	726	497.14	0	0
RCHGF000222	1038	808.947	13	98.5933
RCHGF000223	1254	1024.95	6	35.9149
RCHGF000224	654	425.798	5	72.0429
RCHGF000225	522	297.151	4	82.5862
RCHGF000226	1080	850.947	2	14.4196
RCHGF000227	282	93.3741	1	65.705
RCHGF000228	1026	796.947	6	46.1898
RCHGF000229	336	133.137	0	0
RCHGF000230	711	482.14	3	38.1745
RCHGF000231	678	449.184	1	13.6584
RCHGF000232	456	235.521	0	0
RCHGF000233	534	308.35	3	59.69
RCHGF000234	645	416.798	11	161.917
RCHGF000235	3291	3061.95	120	240.441
RCHGF000236	552	325.726	5	94.1764
RCHGF000237	2649	2419.95	76	192.678
RCHGF000238	321	121.666	6	302.557
RCHGF000240	942	712.947	45	387.239
RCHGF000241	588	361.245	9	152.85
RCHGF000242	459	237.769	7	180.621
RCHGF000243	1050	820.947	36	269.037
RCHGF000244	1551	1321.95	14	64.9738
RCHGF000245	783	554.14	19	210.358
RCHGF000246	1434	1204.95	17	86.5576
RCHGF000247	1656	1426.95	5	21.4974
RCHGF000248	2358	2128.95	20	57.6354
RCHGF000249	1101	871.947	35	246.265
RCHGF000250	1539	1309.95	35	163.923
RCHGF000251	1095	865.947	17	120.443
RCHGF000252	951	721.947	31	263.439
RCHGF000253	1254	1024.95	9	53.8723
RCHGF000254	1281	1051.95	22	128.308
RCHGF000255	426	207.985	1	29.498
RCHGF000256	600	373.176	21	345.247
RCHGF000257	1752	1522.95	6	24.1708
RCHGF000258	1128	898.947	5	34.124
RCHGF000259	1206	976.947	16	100.479
RCHGF000260	168	29.0627	50	10555
RCHGF000261	540	314.115	30	585.945
RCHGF000262	816	587.14	6	62.6952
RCHGF000263	1410	1180.95	10	51.951
RCHGF000264	978	748.947	1	8.19168
RCHGF000265	225	57.3206	0	0
RCHGF000266	207	47.7749	2	256.835
RCHGF000267	150	22.1394	1	277.115
RCHGF000268	213	50.9635	1	120.383
RCHGF000269	759	530.14	0	0
RCHGF000270	939	709.947	2	17.2834
RCHGF000271	114	13.7056	0	0
RCHGF000272	2676	2446.95	1	2.50726
RCHGF000273	270	84.88	2	144.56
RCHGF000274	204	46.2704	0	0
RCHGF000275	501	277.03	0	0
RCHGF000276	735	506.14	4	48.4857
RCHGF000277	585	358.245	1	17.1256
RCHGF000279	345	140.114	13	569.229
RCHGF000280	600	373.176	8	131.523
RCHGF000281	591	364.211	3	50.5351
RCHGF000282	864	635.14	3	28.9785
RCHGF000283	621	393.813	4	62.3153
RCHGF000284	375	164.917	5	186.007
RCHGF000285	429	210.699	5	145.59
RCHGF000286	945	715.947	94	805.511
RCHGF000287	729	500.14	2	24.5337
RCHGF000288	2244	2014.95	13	39.5826
RCHGF000289	1296	1066.95	24	138.004
RCHGF000290	906	677.14	5	45.3019
RCHGF000291	207	47.7749	0	0
RCHGF000292	951	721.947	1	8.49804
RCHGF000293	885	656.14	13	121.555
RCHGF000294	135	17.9059	0	0
RCHGF000295	711	482.14	5	63.6241
RCHGF000296	540	314.115	14	273.441
RCHGF000297	702	473.14	1	12.9669
RCHGF000298	771	542.14	6	67.8992
RCHGF000299	1164	934.947	14	91.8682
RCHGF000300	1056	826.947	11	81.6092
RCHGF000301	486	262.772	4	93.3912
RCHGF000302	1125	895.947	12	82.1719
RCHGF000303	264	80.4044	21	1602.37
RCHGF000304	873	644.14	6	57.1473
RCHGF000305	954	724.947	1	8.46288
RCHGF000306	294	101.934	0	0
RCHGF000307	939	709.947	3	25.925
RCHGF000308	1806	1576.95	1	3.89052
RCHGF000309	840	611.14	1	10.0389
RCHGF000310	1101	871.947	1	7.03614
RCHGF000311	1026	796.947	5	38.4915
RCHGF000312	264	80.4044	6	457.821
RCHGF000313	2208	1978.95	35	108.507
RCHGF000314	1389	1159.95	5	26.4458
RCHGF000315	669	440.393	1	13.9311
RCHGF000316	327	126.424	3	145.585
RCHGF000317	711	482.14	2	25.4496
RCHGF000318	1302	1072.95	5	28.5901
RCHGF000319	375	164.917	1	37.2015
RCHGF000320	549	322.726	9	171.093
RCHGF000321	993	763.947	32	256.987
RCHGF000323	1233	1003.95	4	24.4441
RCHGF000324	771	542.14	4	45.2661
RCHGF000325	576	349.343	2	35.1238
RCHGF000326	864	635.14	3	28.9785
RCHGF000327	177	33.2529	0	0
RCHGF000328	162	26.8635	1	228.382
RCHGF000329	930	700.947	3	26.2579
RCHGF000330	978	748.947	9	73.7252
RCHGF000331	1005	775.947	5	39.5332
RCHGF000332	798	569.14	0	0
RCHGF000333	522	297.151	0	0
RCHGF000334	1650	1420.95	22	94.9881
RCHGF000335	699	470.14	4	52.1984
RCHGF000336	459	237.769	4	103.212
RCHGF000337	1299	1069.95	9	51.6065
RCHGF000338	282	93.3741	8	525.64
RCHGF000339	558	331.602	3	55.5046
RCHGF000340	171	30.4915	0	0
RCHGF000341	330	128.693	2	95.3453
RCHGF000342	597	370.176	0	0
RCHGF000343	1161	931.947	1	6.58314
RCHGF000344	519	294.488	0	0
RCHGF000345	771	542.14	3	33.9496
RCHGF000346	564	337.602	0	0
RCHGF000347	645	416.798	1	14.7197
RCHGF000348	1029	799.947	2	15.3389
RCHGF000349	681	452.184	1	13.5678
RCHGF000350	831	602.14	12	122.267
RCHGF000351	402	186.834	0	0
RCHGF000352	1038	808.947	1	7.5841
RCHGF000353	771	542.14	2	22.6331
RCHGF000354	717	488.14	1	12.5684
RCHGF000355	150	22.1394	0	0
RCHGF000356	993	763.947	7	56.2159
RCHGF000357	1014	784.947	32	250.112
RCHGF000358	1263	1033.95	31	183.945
RCHGF000359	135	17.9059	0	0
RCHGF000360	903	674.14	4	36.4028
RCHGF000361	1992	1762.95	0	0
RCHGF000362	870	641.14	0	0
RCHGF000363	1176	946.947	0	0
RCHGF000364	510	285.789	0	0
RCHGF000365	1290	1060.95	4	23.1308
RCHGF000366	1002	772.947	3	23.812
RCHGF000367	759	530.14	6	69.4361
RCHGF000368	840	611.14	1	10.0389
RCHGF000369	1383	1153.95	7	37.2166
RCHGF000370	240	66.4831	0	0
RCHGF000372	2397	2167.95	6	16.9796
RCHGF000373	867	638.14	2	19.2282
RCHGF000374	1239	1009.95	9	54.6724
RCHGF000375	138	18.7254	1	327.638
RCHGF000377	215	52.0821	4	471.19
RCHGF000379	750	521.14	1	11.7725
RCHGF000380	594	367.176	2	33.418
RCHGF000381	330	128.693	1	47.6727
RCHGF000382	1098	868.947	2	14.1209
RCHGF000383	558	331.602	1	18.5015
RCHGF000384	300	105.847	0	0
RCHGF000385	1053	823.947	0	0
RCHGF000386	474	251.458	0	0
RCHGF000387	396	181.649	0	0
RCHGF000388	663	434.434	1	14.1222
RCHGF000389	834	605.14	0	0
RCHGF000390	744	515.14	0	0
RCHGF000391	735	506.14	7	84.8501
RCHGF000392	1053	823.947	1	7.44603
RCHGF000393	867	638.14	2	19.2282
RCHGF000394	1026	796.947	0	0
RCHGF000395	1431	1201.95	6	30.626
RCHGF000396	1275	1045.95	7	41.0594
RCHGF000397	561	334.602	0	0
RCHGF000398	3159	2929.95	2	4.18788
RCHGF000399	1293	1063.95	1	5.76639
RCHGF000400	300	105.847	0	0
RCHGF000401	309	112.707	0	0
RCHGF000402	645	416.798	1	14.7197
RCHGF000403	312	114.916	4	213.552
RCHGF000404	141	19.4826	0	0
RCHGF000405	591	364.211	0	0
RCHGF000406	1173	943.947	1	6.49945
RCHGF000407	1572	1342.95	4	18.2737
RCHGF000408	831	602.14	2	20.3778
RCHGF000409	468	246.076	2	49.8638
RCHGF000410	207	47.7749	1	128.418
RCHGF000411	462	240.517	0	0
RCHGF000412	300	105.847	0	0
RCHGF000413	288	97.4661	5	314.732
RCHGF000414	492	268.39	2	45.7182
RCHGF000415	240	66.4831	22	2030.19
RCHGF000416	1173	943.947	44	285.976
RCHGF000417	792	563.14	3	32.6836
RCHGF000418	3453	3223.95	10	19.0299
RCHGF000419	558	331.602	1	18.5015
RCHGF000420	162	26.8635	3	685.146
RCHGF000421	1353	1123.95	13	70.9613
RCHGF000422	804	575.14	0	0
RCHGF000423	1359	1129.95	0	0
RCHGF000424	852	623.14	2	19.6911
RCHGF000425	1041	811.947	1	7.55608
RCHGF000426	837	608.14	0	0
RCHGF000427	783	554.14	1	11.0715
RCHGF000428	477	254.168	0	0
RCHGF000429	438	219.159	0	0
RCHGF000430	1455	1225.95	0	0
RCHGF000431	843	614.14	0	0
RCHGF000432	1041	811.947	1	7.55608
RCHGF000433	1914	1684.95	0	0
RCHGF000434	666	437.393	0	0
RCHGF000435	717	488.14	0	0
RCHGF000436	465	243.146	0	0
RCHGF000437	1188	958.947	2	12.7956
RCHGF000438	1416	1186.95	4	20.6754
RCHGF000439	1086	856.947	3	21.4779
RCHGF000440	261	78.4807	0	0
RCHGF000441	2100	1870.95	3	9.83749
RCHGF000442	612	385.104	5	79.6556
RCHGF000443	993	763.947	9	72.2776
RCHGF000444	324	123.942	3	148.501
RCHGF000445	132	17.2427	0	0
RCHGF000446	381	169.408	0	0
RCHGF000447	135	17.9059	0	0
RCHGF000448	144	20.4641	0	0
RCHGF000449	1356	1126.95	7	38.1082
RCHGF000450	1116	886.947	12	83.0057
RCHGF000451	192	40.2759	0	0
RCHGF000452	201	44.7994	1	136.947
RCHGF000453	1098	868.947	7	49.423
RCHGF000454	1941	1711.95	4	14.3349
RCHGF000455	2511	2281.95	19	51.0825
RCHGF000457	1284	1054.95	5	29.0779
RCHGF000459	453	232.656	3	79.1101
RCHGF000460	1806	1576.95	10	38.9052
RCHGF000461	306	110.45	5	277.733
RCHGF000462	594	367.176	7	116.963
RCHGF000463	933	703.947	1	8.71534
RCHGF000464	555	328.726	3	55.9901
RCHGF000465	771	542.14	9	101.849
RCHGF000466	1218	988.947	20	124.074
RCHGF000467	2529	2299.95	8	21.3401
RCHGF000468	2085	1855.95	1	3.30567
RCHGF000469	909	680.14	0	0
RCHGF000470	738	509.14	2	24.1
RCHGF000471	777	548.14	5	55.9633
RCHGF000472	843	614.14	1	9.98981
RCHGF000473	336	133.137	0	0
RCHGF000474	558	331.602	6	111.009
RCHGF000475	648	419.798	27	394.592
RCHGF000476	147	21.2598	0	0
RCHGF000477	630	401.987	0	0
RCHGF000478	975	745.947	8	65.797
RCHGF000479	1068	838.947	6	43.8774
RCHGF000480	855	626.14	11	107.782
RCHGF000481	693	464.184	0	0
RCHGF000482	678	449.184	0	0
RCHGF000483	1641	1411.95	3	13.0355
RCHGF000484	2343	2113.95	8	23.2178
RCHGF000485	546	319.726	2	38.3775
RCHGF000486	111	13.6007	0	0
RCHGF000487	486	262.772	1	23.3478
RCHGF000488	441	221.945	2	55.2853
RCHGF000489	1035	805.947	0	0
RCHGF000490	312	114.916	0	0
RCHGF000491	2640	2410.95	4	10.1788
RCHGF000492	1941	1711.95	10	35.8372
RCHGF000493	366	157.364	3	116.961
RCHGF000494	1773	1543.95	14	55.6314
RCHGF000495	477	254.168	10	241.381
RCHGF000496	765	536.14	1	11.4432
RCHGF000497	762	533.14	2	23.0151
RCHGF000498	939	709.947	5	43.2084
RCHGF000499	846	617.14	2	19.8825
RCHGF000500	1260	1030.95	9	53.5588
RCHGF000501	1014	784.947	9	70.3439
RCHGF000502	1095	865.947	1	7.08489
RCHGF000503	1011	781.947	5	39.2299
RCHGF000504	1083	853.947	11	79.0289
RCHGF000505	1233	1003.95	7	42.7771
RCHGF000506	165	27.7747	0	0
RCHGF000507	921	691.947	1	8.86648
RCHGF000508	348	142.534	0	0
RCHGF000509	138	18.7254	2	655.275
RCHGF000510	153	23.321	1	263.073
RCHGF000512	498	274.082	0	0
RCHGF000513	3693	3463.95	11	19.4826
RCHGF000514	1572	1342.95	1	4.56841
RCHGF000515	1029	799.947	2	15.3389
RCHGF000516	585	358.245	2	34.2511
RCHGF000517	1530	1300.95	1	4.7159
RCHGF000518	438	219.159	1	27.994
RCHGF000519	690	461.184	2	26.6061
RCHGF000520	750	521.14	5	58.8627
RCHGF000521	1224	994.947	1	6.1663
RCHGF000522	714	485.14	4	50.5845
RCHGF000523	369	159.713	3	115.24
RCHGF000524	327	126.424	2	97.0569
RCHGF000526	186	37.4792	0	0
RCHGF000527	561	334.602	0	0
RCHGF000528	807	578.14	0	0
RCHGF000529	627	399.438	0	0
RCHGF000530	273	87.0584	3	211.415
RCHGF000531	678	449.184	3	40.9753
RCHGF000532	1053	823.947	5	37.2302
RCHGF000533	978	748.947	3	24.5751
RCHGF000534	519	294.488	4	83.3329
RCHGF000535	702	473.14	23	298.238
RCHGF000536	573	346.343	1	17.714
RCHGF000537	1323	1093.95	11	61.6908
RCHGF000538	639	410.798	3	44.8041
RCHGF000539	1641	1411.95	8	34.7613
RCHGF000540	1764	1534.95	8	31.9758
RCHGF000541	756	527.14	2	23.2771
RCHGF000542	894	665.14	8	73.7907
RCHGF000543	2409	2179.95	9	25.3292
RCHGF000544	1371	1141.95	3	16.1176
RCHGF000545	960	730.947	17	142.688
RCHGF000546	165	27.7747	0	0
RCHGF000547	378	167.209	2	73.3829
RCHGF000548	426	207.985	0	0
RCHGF000549	471	248.649	0	0
RCHGF000550	840	611.14	0	0
RCHGF000551	702	473.14	0	0
RCHGF000552	1836	1606.95	2	7.63577
RCHGF000553	312	114.916	0	0
RCHGF000554	1257	1027.95	1	5.96834
RCHGF000555	345	140.114	1	43.7868
RCHGF000556	1443	1213.95	1	5.05388
RCHGF000557	873	644.14	3	28.5736
RCHGF000558	795	566.14	5	54.184
RCHGF000559	747	518.14	3	35.5221
RCHGF000560	1356	1126.95	2	10.8881
RCHGF000561	453	232.656	1	26.37
RCHGF000562	477	254.168	1	24.1381
RCHGF000563	1587	1357.95	2	9.0359
RCHGF000564	816	587.14	0	0
RCHGF000565	543	316.846	1	19.3631
RCHGF000566	600	373.176	2	32.8807
RCHGF000567	873	644.14	4	38.0982
RCHGF000568	837	608.14	9	90.7954
RCHGF000569	828	599.14	45	460.796
RCHGF000570	717	488.14	11	138.253
RCHGF000571	1341	1111.95	76	419.328
RCHGF000572	774	545.14	5	56.2713
RCHGF000573	1353	1123.95	40	218.343
RCHGF000574	951	721.947	18	152.965
RCHGF000575	354	147.353	8	333.085
RCHGF000576	1647	1417.95	0	0
RCHGF000577	669	440.393	0	0
RCHGF000578	1110	880.947	9	62.6783
RCHGF000579	714	485.14	8	101.169
RCHGF000580	504	279.977	2	43.8261
RCHGF000581	762	533.14	21	241.659
RCHGF000582	762	533.14	1	11.5076
RCHGF000583	768	539.14	2	22.759
RCHGF000584	357	149.755	0	0
RCHGF000585	252	73.0874	1250	104928
RCHGF000586	1329	1099.95	3	16.733
RCHGF000587	765	536.14	4	45.7727
RCHGF000588	222	55.6805	0	0
RCHGF000589	369	159.713	7	268.894
RCHGF000590	357	149.755	4	163.871
RCHGF000592	3047	2817.95	11	23.9488
RCHGF000594	1983	1753.95	3	10.4937
RCHGF000595	1425	1195.95	3	15.3898
RCHGF000596	237	64.5343	0	0
RCHGF000597	180	34.7247	0	0
RCHGF000598	903	674.14	0	0
RCHGF000599	882	653.14	1	9.39331
RCHGF000600	1116	886.947	0	0
RCHGF000601	1755	1525.95	3	12.0616
RCHGF000602	1134	904.947	6	40.6773
RCHGF000603	1032	802.947	1	7.64077
RCHGF000604	1392	1162.95	7	36.9286
RCHGF000605	891	662.14	10	92.6563
RCHGF000606	1026	796.947	6	46.1898
RCHGF000607	1707	1477.95	1	4.15112
RCHGF000608	1455	1225.95	2	10.0088
RCHGF000609	1098	868.947	0	0
RCHGF000610	951	721.947	0	0
RCHGF000611	900	671.14	0	0
RCHGF000612	1146	916.947	1	6.69083
RCHGF000613	1119	889.947	0	0
RCHGF000614	825	596.14	2	20.5829
RCHGF000615	1149	919.947	5	33.3451
RCHGF000616	624	396.775	0	0
RCHGF000617	597	370.176	5	82.8679
RCHGF000618	1224	994.947	20	123.326
RCHGF000619	510	285.789	34	729.891
RCHGF000620	1902	1672.95	11	40.3399
RCHGF000621	237	64.5343	1	95.0679
RCHGF000622	153	23.321	0	0
RCHGF000623	291	99.7655	0	0
RCHGF000624	402	186.834	0	0
RCHGF000625	111	13.6007	0	0
RCHGF000626	963	733.947	4	33.4364
RCHGF000627	1191	961.947	8	51.0227
RCHGF000628	204	46.2704	0	0
RCHGF000629	1140	910.947	0	0
RCHGF000631	567	340.602	5	90.0632
RCHGF000632	720	491.14	4	49.9666
RCHGF000633	195	41.7147	0	0
RCHGF000634	438	219.159	0	0
RCHGF000635	879	650.14	12	113.24
RCHGF000636	1491	1261.95	32	155.573
RCHGF000637	1179	949.947	2	12.9168
RCHGF000638	1308	1078.95	2	11.3725
RCHGF000639	1023	793.947	0	0
RCHGF000640	120	14.5436	0	0
RCHGF000641	408	192.126	8	255.464
RCHGF000642	780	551.14	21	233.766
RCHGF000643	354	147.353	8	333.085
RCHGF000644	177	33.2529	0	0
RCHGF000645	786	557.14	4	44.0474
RCHGF000646	138	18.7254	0	0
RCHGF000647	762	533.14	8	92.0605
RCHGF000648	909	680.14	3	27.0612
RCHGF000649	198	43.2057	0	0
RCHGF000650	1101	871.947	5	35.1807
RCHGF000651	114	13.7056	1	447.639
RCHGF000652	780	551.14	1	11.1317
RCHGF000653	111	13.6007	0	0
RCHGF000654	1104	874.947	2	14.024
RCHGF000655	1167	937.947	1	6.54103
RCHGF000656	120	14.5436	0	0
RCHGF000657	891	662.14	1	9.26563
RCHGF000658	117	13.9932	0	0
RCHGF000659	2055	1825.95	19	63.8396
RCHGF000660	309	112.707	1	54.4346
RCHGF000661	1239	1009.95	0	0
RCHGF000662	324	123.942	0	0
RCHGF000663	1443	1213.95	0	0
RCHGF000664	1188	958.947	57	364.674
RCHGF000665	174	31.9369	2	384.204
RCHGF000666	537	311.262	2	39.421
RCHGF000667	1215	985.947	6	37.3355
RCHGF000668	2190	1960.95	3	9.38598
RCHGF000669	123	15.373	0	0
RCHGF000670	528	302.637	1	20.2723
RCHGF000671	144	20.4641	0	0
RCHGF000672	813	584.14	3	31.5086
RCHGF000673	423	205.227	2	59.7887
RCHGF000674	141	19.4826	1	314.903
RCHGF000675	765	536.14	41	469.17
RCHGF000676	558	331.602	2	37.003
RCHGF000677	849	620.14	11	108.825
RCHGF000678	1119	889.947	8	55.1506
RCHGF000679	144	20.4641	0	0
RCHGF000680	1035	805.947	9	68.511
RCHGF000681	666	437.393	6	84.1597
RCHGF000682	918	688.947	2	17.8102
RCHGF000683	747	518.14	4	47.3628
RCHGF000684	204	46.2704	1	132.593
RCHGF000685	960	730.947	14	117.508
RCHGF000686	798	569.14	9	97.0171
RCHGF000687	777	548.14	3	33.578
RCHGF000688	777	548.14	6	67.156
RCHGF000689	123	15.373	0	0
RCHGF000690	921	691.947	3	26.5994
RCHGF000691	300	105.847	0	0
