-e target_id	length	eff_length	Monoculture_Clostridium_HGF2_Late_Replicate_3_HGF2_counts	tpm
RCHGF000185	1398	1122.46	4795	105.939
RCHGF000186	525	256.946	2441	235.593
RCHGF000187	741	465.663	563	29.9829
RCHGF000188	456	195.876	188	23.802
RCHGF000189	1380	1104.46	663	14.8867
RCHGF000190	1140	864.462	1078	30.925
RCHGF000191	1401	1125.46	3077	67.8006
RCHGF000192	624	350.476	231	16.3452
RCHGF000193	1539	1263.46	1639	32.1702
RCHGF000194	1209	933.462	556	14.7712
RCHGF000195	897	621.475	438	17.4778
RCHGF000196	1458	1182.46	1637	34.332
RCHGF000197	969	693.462	798	28.5376
RCHGF000198	1287	1011.46	940	23.0471
RCHGF000199	1242	966.462	900	23.0938
RCHGF000200	1446	1170.46	1638	34.7051
RCHGF000201	1185	909.462	21156	576.881
RCHGF000202	162	22.1849	1474	1647.7
RCHGF000203	582	309.927	1165	93.2187
RCHGF000204	1209	933.462	1315	34.9354
RCHGF000205	720	444.8	233	12.9906
RCHGF000206	1503	1227.46	350	7.07126
RCHGF000207	1101	825.462	97	2.91415
RCHGF000208	1332	1056.46	181	4.24876
RCHGF000209	2175	1899.46	319	4.16483
RCHGF000210	1710	1434.46	271	4.68508
RCHGF000212	1578	1302.46	263	5.00758
RCHGF000213	1425	1149.46	114	2.4595
RCHGF000214	315	92.2161	502	135
RCHGF000215	435	178.638	355	49.2825
RCHGF000216	723	447.795	1250	69.2257
RCHGF000217	111	11.6813	0	0
RCHGF000218	651	376.756	683	44.9571
RCHGF000219	1050	774.462	1846	59.1111
RCHGF000220	132	15.0955	4	6.57126
RCHGF000221	726	450.791	5912	325.234
RCHGF000222	1038	762.462	2184	71.0349
RCHGF000223	1254	978.462	376	9.52974
RCHGF000224	654	379.699	1208	78.8978
RCHGF000225	522	254.15	382	37.2743
RCHGF000226	1080	804.462	1687	52.0052
RCHGF000227	282	72.9894	98	33.2969
RCHGF000228	1026	750.462	1529	50.5261
RCHGF000229	336	105.619	310	72.7876
RCHGF000230	711	435.888	467	26.5692
RCHGF000231	678	403.272	270	16.6036
RCHGF000232	456	195.876	131	16.5854
RCHGF000233	534	265.14	267	24.9731
RCHGF000234	645	370.876	1307	87.3945
RCHGF000235	3291	3015.46	13414	110.317
RCHGF000236	552	281.841	1486	130.753
RCHGF000237	2649	2373.46	15715	164.198
RCHGF000238	321	95.9856	4331	1118.97
RCHGF000240	942	666.462	5695	211.912
RCHGF000241	588	315.676	1124	88.3003
RCHGF000242	459	198.287	1001	125.192
RCHGF000243	1050	774.462	6730	215.502
RCHGF000244	1551	1275.46	10745	208.918
RCHGF000245	783	507.545	3250	158.798
RCHGF000246	1434	1158.46	4047	86.634
RCHGF000247	1656	1380.46	4048	72.7199
RCHGF000248	2358	2082.46	6488	77.2629
RCHGF000249	1101	825.462	21205	637.057
RCHGF000250	1539	1263.46	5659	111.075
RCHGF000251	1095	819.462	3298	99.8065
RCHGF000252	951	675.462	5435	199.543
RCHGF000253	1254	978.462	3327	84.323
RCHGF000254	1281	1005.46	3013	74.314
RCHGF000255	426	171.163	74	10.7216
RCHGF000256	600	327.212	15762	1194.59
RCHGF000257	1752	1476.46	5159	86.6523
RCHGF000258	1128	852.462	1903	55.3606
RCHGF000259	1206	930.462	2108	56.1835
RCHGF000260	168	24.1463	108826	111768
RCHGF000261	540	270.65	859	78.7086
RCHGF000262	816	540.509	743	34.0897
RCHGF000263	1410	1134.46	1519	33.2051
RCHGF000264	978	702.462	697	24.6063
RCHGF000265	225	45.9962	4	2.15663
RCHGF000266	207	38.6764	0	0
RCHGF000267	150	19.3094	4	5.13721
RCHGF000268	213	41.1164	10	6.03145
RCHGF000269	759	483.63	53	2.71769
RCHGF000270	939	663.468	396	14.8017
RCHGF000271	114	11.8869	4	8.34507
RCHGF000272	2676	2400.46	691	7.13872
RCHGF000273	270	66.2752	3592	1344.07
RCHGF000274	204	37.5768	242	159.71
RCHGF000275	501	234.948	81	8.5497
RCHGF000276	735	459.69	217	11.7066
RCHGF000277	585	312.764	109	8.64264
RCHGF000279	345	111.581	3200	711.208
RCHGF000280	600	327.212	507	38.4251
RCHGF000281	591	318.57	209	16.2696
RCHGF000282	864	588.475	504	21.2393
RCHGF000283	621	347.518	752	53.6633
RCHGF000284	375	132.264	988	185.247
RCHGF000285	429	173.583	501	71.576
RCHGF000286	945	669.462	8809	326.316
RCHGF000287	729	453.791	59	3.22428
RCHGF000288	2244	1968.46	5460	68.7864
RCHGF000289	1296	1020.46	5483	133.247
RCHGF000290	906	630.475	588	23.1284
RCHGF000291	207	38.6764	114	73.0964
RCHGF000292	951	675.462	3913	143.663
RCHGF000293	885	609.475	11233	457.064
RCHGF000294	135	15.7376	20	31.5158
RCHGF000295	711	435.888	1813	103.148
RCHGF000296	540	270.65	2261	207.171
RCHGF000297	702	426.927	990	57.5068
RCHGF000298	771	495.59	1309	65.5019
RCHGF000299	1164	888.462	4632	129.291
RCHGF000300	1056	780.462	4444	141.208
RCHGF000301	486	221.561	630	70.5153
RCHGF000302	1125	849.462	3143	91.7567
RCHGF000303	264	63.142	43228	16977.9
RCHGF000304	873	597.475	1393	57.8187
RCHGF000305	954	678.462	1022	37.3562
RCHGF000306	294	79.7788	563	175.008
RCHGF000307	939	663.468	2920	109.144
RCHGF000308	1806	1530.46	1696	27.4815
RCHGF000309	840	564.481	226	9.92879
RCHGF000310	1101	825.462	646	19.4076
RCHGF000311	1026	750.462	1069	35.3253
RCHGF000312	264	63.142	4878	1915.85
RCHGF000313	2208	1932.46	20111	258.083
RCHGF000314	1389	1113.46	4309	95.9706
RCHGF000315	669	394.468	2542	159.809
RCHGF000316	327	99.8377	2360	586.211
RCHGF000317	711	435.888	553	31.4621
RCHGF000318	1302	1026.46	3772	91.131
RCHGF000319	375	132.264	2442	457.867
RCHGF000320	549	279.003	3886	345.407
RCHGF000321	993	717.462	10652	368.188
RCHGF000323	1233	957.462	751	19.4516
RCHGF000324	771	495.59	2668	133.506
RCHGF000325	576	304.293	4050	330.065
RCHGF000326	864	588.475	15851	667.983
RCHGF000327	177	27.0367	1401	1285.06
RCHGF000328	162	22.1849	4732	5289.62
RCHGF000329	930	654.475	497	18.8322
RCHGF000330	978	702.462	429	15.1451
RCHGF000331	1005	729.462	238	8.09117
RCHGF000332	798	522.519	145	6.88181
RCHGF000333	522	254.15	1323	129.094
RCHGF000334	1650	1374.46	5644	101.834
RCHGF000335	699	423.948	1374	80.3732
RCHGF000336	459	198.287	748	93.5502
RCHGF000337	1299	1023.46	1985	48.0979
RCHGF000338	282	72.9894	1279	434.558
RCHGF000339	558	287.518	227	19.5793
RCHGF000340	171	25.1477	66	65.0853
RCHGF000341	330	101.65	111	27.0803
RCHGF000342	597	324.406	1039	79.4263
RCHGF000343	1161	885.462	676	18.9328
RCHGF000344	519	251.391	452	44.5888
RCHGF000345	771	495.59	2148	107.485
RCHGF000346	564	293.201	8408	711.156
RCHGF000347	645	370.876	3539	236.641
RCHGF000348	1029	753.462	993	32.6832
RCHGF000349	681	406.159	1270	77.5434
RCHGF000350	831	555.509	2564	114.463
RCHGF000351	402	152.279	279	45.4361
RCHGF000352	1038	762.462	504	16.3927
RCHGF000353	771	495.59	518	25.9205
RCHGF000354	717	441.822	656	36.8208
RCHGF000355	150	19.3094	4	5.13721
RCHGF000356	993	717.462	538	18.596
RCHGF000357	1014	738.462	983	33.0113
RCHGF000358	1263	987.462	1805	45.3309
RCHGF000359	135	15.7376	1	1.57579
RCHGF000360	903	627.475	509	20.1168
RCHGF000361	1992	1716.46	719	10.388
RCHGF000362	870	594.475	444	18.5219
RCHGF000363	1176	900.462	613	16.8823
RCHGF000364	510	243.144	294	29.9861
RCHGF000365	1290	1014.46	1356	33.1483
RCHGF000366	1002	726.462	1749	59.7055
RCHGF000367	759	483.63	932	47.7903
RCHGF000368	840	564.481	1003	44.0645
RCHGF000369	1383	1107.46	2215	49.6
RCHGF000370	240	52.0677	1023	487.242
RCHGF000372	2397	2121.46	3803	44.4558
RCHGF000373	867	591.475	173	7.25349
RCHGF000374	1239	963.462	1374	35.3663
RCHGF000375	138	16.4182	322	486.371
RCHGF000377	215	41.9991	312	184.226
RCHGF000379	750	474.63	1012	52.8765
RCHGF000380	594	321.487	123	9.4881
RCHGF000381	330	101.65	61	14.882
RCHGF000382	1098	822.462	75	2.26143
RCHGF000383	558	287.518	26	2.24257
RCHGF000384	300	83.1851	32	9.53984
RCHGF000385	1053	777.462	150	4.78464
RCHGF000386	474	211.168	42	4.9324
RCHGF000387	396	147.701	22	3.69382
RCHGF000388	663	388.633	71	4.5306
RCHGF000389	834	558.481	43	1.9094
RCHGF000390	744	468.663	100	5.29148
RCHGF000391	735	459.69	414	22.3343
RCHGF000392	1053	777.462	165	5.2631
RCHGF000393	867	591.475	497	20.838
RCHGF000394	1026	750.462	392	12.9537
RCHGF000395	1431	1155.46	214	4.59299
RCHGF000396	1275	999.462	167	4.14369
RCHGF000397	561	290.322	47	4.01472
RCHGF000398	3159	2883.46	420	3.6122
RCHGF000399	1293	1017.46	233	5.67904
RCHGF000400	300	83.1851	12	3.57744
RCHGF000401	309	88.6722	30	8.39017
RCHGF000402	645	370.876	366	24.4731
RCHGF000403	312	90.3774	1031	282.902
RCHGF000404	141	17.1823	5	7.21649
RCHGF000405	591	318.57	32	2.49104
RCHGF000406	1173	897.462	30	0.828977
RCHGF000407	1572	1296.46	97	1.85545
RCHGF000408	831	555.509	161	7.1874
RCHGF000409	468	205.971	95	11.4381
RCHGF000410	207	38.6764	1436	920.758
RCHGF000411	462	200.868	7237	893.481
RCHGF000412	300	83.1851	2741	817.147
RCHGF000413	288	76.3391	1229	399.247
RCHGF000414	492	226.871	1712	187.138
RCHGF000415	240	52.0677	3272	1558.41
RCHGF000416	1173	897.462	6293	173.892
RCHGF000417	792	516.53	759	36.4404
RCHGF000418	3453	3177.46	3143	24.5302
RCHGF000419	558	287.518	373	32.1722
RCHGF000420	162	22.1849	323	361.062
RCHGF000421	1353	1077.46	1201	27.6426
RCHGF000422	804	528.519	94	4.41066
RCHGF000423	1359	1083.46	163	3.73088
RCHGF000424	852	576.481	62	2.66713
RCHGF000425	1041	765.462	145	4.69766
RCHGF000426	837	561.481	199	8.78932
RCHGF000427	783	507.545	171	8.35523
RCHGF000428	477	213.826	47	5.45097
RCHGF000429	438	181.036	15	2.05477
RCHGF000430	1455	1179.46	327	6.87545
RCHGF000431	843	567.481	275	12.0176
RCHGF000432	1041	765.462	366	11.8575
RCHGF000433	1914	1638.46	480	7.26511
RCHGF000434	666	391.57	172	10.8932
RCHGF000435	717	441.822	127	7.12842
RCHGF000436	465	203.457	64	7.80091
RCHGF000437	1188	912.462	906	24.6235
RCHGF000438	1416	1140.46	1035	22.5059
RCHGF000439	1086	810.462	451	13.8001
RCHGF000440	261	61.4944	119	47.9898
RCHGF000441	2100	1824.46	2049	27.8512
RCHGF000442	612	338.732	3961	289.992
RCHGF000443	993	717.462	12360	427.225
RCHGF000444	324	97.8974	920	233.052
RCHGF000445	132	15.0955	93	152.782
RCHGF000446	381	136.409	217	39.4507
RCHGF000447	135	15.7376	11	17.3337
RCHGF000448	144	17.8758	14	19.4223
RCHGF000449	1356	1080.46	3830	87.9076
RCHGF000450	1116	840.462	3436	101.385
RCHGF000451	192	32.755	0	0
RCHGF000452	201	36.3862	308	209.918
RCHGF000453	1098	822.462	2551	76.9187
RCHGF000454	1941	1665.46	3980	59.2632
RCHGF000455	2511	2235.46	8148	90.3901
RCHGF000457	1284	1008.46	2523	62.0433
RCHGF000459	453	193.491	241	30.8883
RCHGF000460	1806	1530.46	1098	17.7917
RCHGF000461	306	86.8087	318	90.845
RCHGF000462	594	321.487	1077	83.0787
RCHGF000463	933	657.475	180	6.78938
RCHGF000464	555	284.689	542	47.2135
RCHGF000465	771	495.59	865	43.2843
RCHGF000466	1218	942.462	3392	89.2543
RCHGF000467	2529	2253.46	3458	38.055
RCHGF000468	2085	1809.46	1729	23.6964
RCHGF000469	909	633.475	501	19.6131
RCHGF000470	738	462.663	623	33.3934
RCHGF000471	777	501.555	704	34.809
RCHGF000472	843	567.481	769	33.6056
RCHGF000473	336	105.619	52	12.2095
RCHGF000474	558	287.518	160	13.8004
RCHGF000475	648	373.872	2158	143.141
RCHGF000476	147	18.6506	4	5.31868
RCHGF000477	630	356.288	793	55.1962
RCHGF000478	975	699.462	2742	97.2166
RCHGF000479	1068	792.462	2234	69.9104
RCHGF000480	855	579.481	1832	78.4013
RCHGF000481	693	417.994	190	11.2725
RCHGF000482	678	403.272	406	24.9669
RCHGF000483	1641	1365.46	1094	19.8689
RCHGF000484	2343	2067.46	4921	59.0273
RCHGF000485	546	276.169	991	88.9888
RCHGF000486	111	11.6813	7	14.8609
RCHGF000487	486	221.561	164	18.3564
RCHGF000488	441	183.503	75	10.1357
RCHGF000489	1035	759.462	265	8.65321
RCHGF000490	312	90.3774	36	9.87825
RCHGF000491	2640	2364.46	648	6.79641
RCHGF000492	1941	1665.46	1905	28.3659
RCHGF000493	366	125.829	292	57.5494
RCHGF000494	1773	1497.46	2694	44.6148
RCHGF000495	477	213.826	442	51.2623
RCHGF000496	765	489.63	602	30.4906
RCHGF000497	762	486.63	445	22.6777
RCHGF000498	939	663.468	1974	73.7843
RCHGF000499	846	570.481	1918	83.3767
RCHGF000500	1260	984.462	2607	65.6718
RCHGF000501	1014	738.462	1095	36.7725
RCHGF000502	1095	819.462	1559	47.1796
RCHGF000503	1011	735.462	652	21.9849
RCHGF000504	1083	807.462	4098	125.86
RCHGF000505	1233	957.462	3364	87.1308
RCHGF000506	165	23.1808	17	18.1869
RCHGF000507	921	645.475	163	6.26246
RCHGF000508	348	113.518	362	79.0824
RCHGF000509	138	16.4182	9	13.5942
RCHGF000510	153	20.037	9	11.139
RCHGF000512	498	232.224	126	13.4555
RCHGF000513	3693	3417.46	2385	17.307
RCHGF000514	1572	1296.46	934	17.8659
RCHGF000515	1029	753.462	376	12.3755
RCHGF000516	585	312.764	161	12.7657
RCHGF000517	1530	1254.46	1018	20.1246
RCHGF000518	438	181.036	874	119.725
RCHGF000519	690	415.048	450	26.8875
RCHGF000520	750	474.63	465	24.296
RCHGF000521	1224	948.462	759	19.8454
RCHGF000522	714	438.866	380	21.4728
RCHGF000523	369	127.861	188	36.4633
RCHGF000524	327	99.8377	254	63.0922
RCHGF000526	186	30.3688	28	22.8648
RCHGF000527	561	290.322	14	1.19587
RCHGF000528	807	531.519	99	4.61905
RCHGF000529	627	353.381	136	9.54406
RCHGF000530	273	67.8707	3801	1388.84
RCHGF000531	678	403.272	73	4.48913
RCHGF000532	1053	777.462	93	2.96648
RCHGF000533	978	702.462	220	7.76671
RCHGF000534	519	251.391	237	23.3795
RCHGF000535	702	426.927	3152	183.092
RCHGF000536	573	301.501	76	6.25119
RCHGF000537	1323	1047.46	1714	40.5798
RCHGF000538	639	365.089	80	5.4341
RCHGF000539	1641	1365.46	2211	40.1556
RCHGF000540	1764	1488.46	4285	71.3921
RCHGF000541	756	480.63	569	29.3588
RCHGF000542	894	618.475	188	7.53829
RCHGF000543	2409	2133.46	447	5.19589
RCHGF000544	1371	1095.46	1109	25.1056
RCHGF000545	960	684.462	1590.43	57.6238
RCHGF000546	165	23.1808	0	0
RCHGF000547	378	134.401	1524	281.203
RCHGF000548	426	171.163	102	14.7784
RCHGF000549	471	208.679	66	7.84335
RCHGF000550	840	564.481	247	10.8514
RCHGF000551	702	426.927	101	5.86685
RCHGF000552	1836	1560.46	264	4.19554
RCHGF000553	312	90.3774	82	22.5004
RCHGF000554	1257	981.462	212	5.35673
RCHGF000555	345	111.581	26	5.77856
RCHGF000556	1443	1167.46	202	4.29087
RCHGF000557	873	597.475	838	34.7825
RCHGF000558	795	519.53	446	21.2893
RCHGF000559	747	471.63	604	31.7594
RCHGF000560	1356	1080.46	1013	23.2508
RCHGF000561	453	193.491	220	28.1968
RCHGF000562	477	213.826	149	17.2807
RCHGF000563	1587	1311.46	2113	39.9559
RCHGF000564	816	540.509	2333	107.041
RCHGF000565	543	273.393	969	87.8969
RCHGF000566	600	327.212	254	19.2505
RCHGF000567	873	597.475	757	31.4205
RCHGF000568	837	561.481	1492	65.8978
RCHGF000569	828	552.509	3174	142.464
RCHGF000570	717	441.822	779	43.7247
RCHGF000571	1341	1065.46	3934	91.5658
RCHGF000572	774	498.59	727	36.1599
RCHGF000573	1353	1077.46	11312	260.36
RCHGF000574	951	675.462	5475	201.011
RCHGF000575	354	117.555	741	156.319
RCHGF000576	1647	1371.46	2525	45.6578
RCHGF000577	669	394.468	1502	94.4268
RCHGF000578	1110	834.462	3780	112.337
RCHGF000579	714	438.866	965	54.5296
RCHGF000580	504	237.678	229	23.8938
RCHGF000581	762	486.63	1744	88.8761
RCHGF000582	762	486.63	651	33.1756
RCHGF000583	768	492.63	1987	100.026
RCHGF000584	357	119.633	797	165.213
RCHGF000585	252	57.3505	37695	16299.8
RCHGF000586	1329	1053.46	789	18.5736
RCHGF000587	765	489.63	667	33.7828
RCHGF000588	222	44.8705	46	25.4234
RCHGF000589	369	127.861	886	171.843
RCHGF000590	357	119.633	130	26.9482
RCHGF000592	3047	2771.46	2198	19.6678
RCHGF000594	1983	1707.46	2014	29.2513
RCHGF000595	1425	1149.46	2699	58.2298
RCHGF000596	237	50.9637	118	57.4193
RCHGF000597	180	28.0327	321	283.973
RCHGF000598	903	627.475	3572	141.173
RCHGF000599	882	606.475	2588	105.825
RCHGF000600	1116	840.462	2553	75.3303
RCHGF000601	1755	1479.46	2144	35.9383
RCHGF000602	1134	858.462	3546	102.437
RCHGF000603	1032	756.462	1071	35.1107
RCHGF000604	1392	1116.46	3296	73.2117
RCHGF000605	891	615.475	2087	84.0909
RCHGF000606	1026	750.462	2354	77.7884
RCHGF000607	1707	1431.46	2015	34.9086
RCHGF000608	1455	1179.46	895	18.8181
RCHGF000609	1098	822.462	1398	42.153
RCHGF000610	951	675.462	1006	36.9347
RCHGF000611	900	624.475	608	24.1449
RCHGF000612	1146	870.462	1373	39.1163
RCHGF000613	1119	843.462	1674	49.2184
RCHGF000614	825	549.509	1117	50.4099
RCHGF000615	1149	873.462	1307	37.1081
RCHGF000616	624	350.476	362	25.6146
RCHGF000617	597	324.406	493	37.6873
RCHGF000618	1224	948.462	1710	44.7109
RCHGF000619	510	243.144	9276	946.093
RCHGF000620	1902	1626.46	1527	23.2826
RCHGF000621	237	50.9637	60	29.1963
RCHGF000622	153	20.037	3	3.71301
RCHGF000623	291	77.9832	63	20.0344
RCHGF000624	402	152.279	29	4.72275
RCHGF000625	111	11.6813	7	14.8609
RCHGF000626	963	687.462	210	7.57544
RCHGF000627	1191	915.462	2788.43	75.5365
RCHGF000628	204	37.5768	2	1.31992
RCHGF000629	1140	864.462	38	1.09012
RCHGF000631	567	296.01	926	77.5785
RCHGF000632	720	444.8	882	49.1746
RCHGF000633	195	33.9427	8	5.84495
RCHGF000634	438	181.036	75	10.2738
RCHGF000635	879	603.475	1482	60.9012
RCHGF000636	1491	1215.46	4378	89.3247
RCHGF000637	1179	903.462	2454	67.36
RCHGF000638	1308	1032.46	2982	71.626
RCHGF000639	1023	747.462	5079	168.51
RCHGF000640	120	12.9742	326	623.124
RCHGF000641	408	156.946	3398	536.92
RCHGF000642	780	504.545	3017	148.29
RCHGF000643	354	117.555	2472	521.486
RCHGF000644	177	27.0367	8	7.33793
RCHGF000645	786	510.53	498	24.1905
RCHGF000646	138	16.4182	8383	12662.3
RCHGF000647	762	486.63	2344	119.453
RCHGF000648	909	633.475	1346	52.693
RCHGF000649	198	35.0841	17	12.0164
RCHGF000650	1101	825.462	540	16.2231
RCHGF000651	114	11.8869	19	39.6391
RCHGF000652	780	504.545	357	17.5471
RCHGF000653	111	11.6813	3	6.36895
RCHGF000654	1104	828.462	176	5.26838
