metabolite_produced	protein	protein_ko	HGF2	WAL14673	C7243FAA	M62/1	L250	PT33	M38	VPI-5482
Aspartate	Aspartate ammonia-lyase		RCHGF000200	0	pgaptmp_003222	0	0	RVCYZ001297	pgaptmp_002448	pgaptmp_002818
Aspartate	Aspartate 4-decarboxylase		0	0	pgaptmp_000882; pgaptmp_001636	0	0	0	0	pgaptmp_000748
Asparagine	Asparagine synthetase		RCHGF000212; RCHGF001914; RCHGF002792	pgaptmp_003791	pgaptmp_000727	pgaptmp_002172; pgaptmp_002676	pgaptmp_000867	RVCYZ000788	pgaptmp_002678	pgaptmp_000554
Asparagine	aspartate--ammonia ligase		RCHGF003718	pgaptmp_004006	pgaptmp_002173	pgaptmp_002461	0	RVCYZ000191	pgaptmp_002204	pgaptmp_002177
Threonine	Threonine synthase		RCHGF000636	0	pgaptmp_001332	pgaptmp_001327	pgaptmp_001226	RVCYZ000091	pgaptmp_002206	pgaptmp_002449
Threonine	Threonine aldolase		RCHGF003498	pgaptmp_002307	pgaptmp_002421	pgaptmp_003061	0	RVCYZ000216	0	pgaptmp_001854
Threonine	Threonine dehydratase		RCHGF001905; RCHGF002967	pgaptmp_001256	pgaptmp_001973	pgaptmp_002214	pgaptmp_000840	RVCYZ001133; RVCYZ001488	pgaptmp_002138	0
Methionine	EC 2.1.1.14		0	0	0	0	0	RVCYZ000714	pgaptmp_001504	0
Methionine	EC 2.1.1.13		RCHGF002351; RCHGF003356; RCHGF003357	pgaptmp_002586	pgaptmp_001637	pgaptmp_002656	pgaptmp_000854	0	0	pgaptmp_000184
Methionine	Methionine Synthase		0	0	0	0	pgaptmp_001616	0	0	0
Methionine	L-methionine (R)-S-oxide reductase		RCHGF004250	0	0	0	0	RVCYZ000852; RVCYZ000858	pgaptmp_001201	pgaptmp_001849
Methionine	O-acetylhomoserine (thiol)-lyase		RCHGF003513; RCHGF003599	pgaptmp_001244	pgaptmp_003201	pgaptmp_002021	pgaptmp_001000; pgaptmp_000255	RVCYZ000321; RVCYZ000530; RVCYZ001269	0	pgaptmp_001963; pgaptmp_002435
Lysine	Diaminopimelate decarboxylase		RCHGF002388	pgaptmp_002004	pgaptmp_000252	pgaptmp_001502	pgaptmp_001481	RVCYZ000905; RVCYZ001310	pgaptmp_001552	pgaptmp_001404
Isoleucine	EC 2.6.1.42		RCHGF003738	pgaptmp_003361	pgaptmp_001197; pgaptmp_001276	pgaptmp_001915	pgaptmp_001012	RVCYZ000701	pgaptmp_001587	pgaptmp_003957
Valine	EC 2.6.1.42		RCHGF003738	pgaptmp_003361	pgaptmp_001197; pgaptmp_001276	pgaptmp_001915	pgaptmp_001012	RVCYZ000701	pgaptmp_001587	pgaptmp_003957
Leucine	EC 2.6.1.42		RCHGF003738	pgaptmp_003361	pgaptmp_001197; pgaptmp_001276	pgaptmp_001915	pgaptmp_001012	RVCYZ000701	pgaptmp_001587	pgaptmp_003957
Serine	L-serine dehydratase		RCHGF003901	pgaptmp_001111; pgaptmp_001112	pgaptmp_002764; pgaptmp_002765	pgaptmp_000226; pgaptmp_000227; pgaptmp_001578; pgaptmp_001579	0	RVCYZ000592	pgaptmp_003032; pgaptmp_003033	pgaptmp_004745
Serine	Glycine hydroxymethyltransferase		RCHGF001998	0	pgaptmp_002169	0	0	0	pgaptmp_002994	pgaptmp_000751
Serine	Phosphoserine phosphatase		0	0	0	pgaptmp_000828	pgaptmp_000563	RVCYZ000197	0	pgaptmp_000848
Glycine	Glycine hydroxymethyltransferase		RCHGF001998	0	pgaptmp_002169	0	0	0	pgaptmp_002994	pgaptmp_000751
Glycine	Threonine aldolase		RCHGF003498	pgaptmp_002307	pgaptmp_002421	pgaptmp_003061	0	RVCYZ000216	0	pgaptmp_001854
Glycine	glycine C-acetyltransferase		RCHGF001634	0	0	0	0	0	0	pgaptmp_001401
Cysteine	Cysteine synthase		RCHGF003396; RCHGF003647	pgaptmp_001309; pgaptmp_003458	pgaptmp_002121; pgaptmp_002707	pgaptmp_000603	pgaptmp_002285; pgaptmp_000254	0	pgaptmp_003080; pgaptmp_001737	pgaptmp_001891; pgaptmp_003147
Glutamate	Glutamate synthase		RCHGF000369	pgaptmp_001820	pgaptmp_001173; pgaptmp_001817; pgaptmp_001818; pgaptmp_002652	pgaptmp_002702	pgaptmp_001144; pgaptmp_000137	RVCYZ000706; RVCYZ000707	pgaptmp_000196; pgaptmp_000197	pgaptmp_000555; pgaptmp_000556; pgaptmp_004381
Glutamate	Glutamate dehydrogenase		RCHGF000208; RCHGF003700	pgaptmp_000750; pgaptmp_003450; pgaptmp_003492	Pgaptmp_001262	pgaptmp_001270	pgaptmp_000135; pgaptmp_000315	RVCYZ001533	pgaptmp_001514	pgaptmp_002010; pgaptmp_002013
Glutamate	Glutaminase		0	pgaptmp_000788; pgaptmp_001762	pgaptmp_002330	pgaptmp_002718	0	0	pgaptmp_002050	pgaptmp_002624
Glutamate	histidinol-phosphate aminotransferase		RCHGF002676	pgaptmp_001914	pgaptmp_000201	0	pgaptmp_001405	RVCYZ001149	pgaptmp_001369; pgaptmp_001379	pgaptmp_000207
Glutamine	Glutamine synthetase		RCHGF000204; RCHGF000209; RCHGF002946; RCHGF004064	pgaptmp_000818; pgaptmp_000983; pgaptmp_001720; pgaptmp_002375	pgaptmp_001820; pgaptmp_003489	pgaptmp_001329; pgaptmp_001406; pgaptmp_002675	pgaptmp_002668; pgaptmp_001100	RVCYZ000131; RVCYZ001143	pgaptmp_000684; pgaptmp_001950	pgaptmp_000546; pgaptmp_000798; pgaptmp_004410
Arginine	Argininosuccinate lyase		RCHGF003485	pgaptmp_003842	pgaptmp_002771	pgaptmp_002806	pgaptmp_000666	RVCYZ000103	pgaptmp_002404	pgaptmp_003794
Proline	Pyrroline-5-carboxylate reductase		RCHGF002135; RCHGF003257	pgaptmp_002018; pgaptmp_002170	Pgaptmp_000120	pgaptmp_001486	pgaptmp_002541	RVCYZ001277	pgaptmp_001072	pgaptmp_001946; pgaptmp_003819
Proline	Proline iminopeptidase		0	0	0	0	0	RVCYZ001276	pgaptmp_000305; pgaptmp_002330; pgaptmp_001096	0
Proline	Ornithine cyclodeaminase		0	pgaptmp_000525	0	pgaptmp_000160	0	RVCYZ000012	0	0
Phenylalanine	Prephenate dehydratase		RCHGF000504	pgaptmp_000797	pgaptmp_002797	pgaptmp_003300	pgaptmp_001364	RVCYZ001074	0	pgaptmp_004001
Tryptophan	Tryptophan synthase		RCHGF000865; RCHGF000866	pgaptmp_000497; pgaptmp_000498; pgaptmp_002127	0	0	pgaptmp_001631; pgaptmp_001542; pgaptmp_001543	RVCYZ000045; RVCYZ000046	pgaptmp_001536; pgaptmp_001537	pgaptmp_000532; pgaptmp_000538; pgaptmp_004731
Histidine	Histidinol dehydrogenase		RCHGF002677	0	0	0	pgaptmp_000775	RVCYZ001150	pgaptmp_001376	pgaptmp_000206
Histidine	histidine ammonia-lyase		0	pgaptmp_000035; pgaptmp_000081; pgaptmp_000084; pgaptmp_000547; pgaptmp_001545	0	pgaptmp_001284	0	0	0	pgaptmp_002745
Alanine	Alanine transporter		RCHGF000887; RCHGF002662	pgaptmp_000576; pgaptmp_001753; pgaptmp_001761; pgaptmp_002041	pgaptmp_000883; pgaptmp_002245	pgaptmp_001095; pgaptmp_002070; pgaptmp_002717	pgaptmp_002095; pgaptmp_002051; pgaptmp_000974	0	0	pgaptmp_000504; pgaptmp_000749; pgaptmp_001255; pgaptmp_002139; pgaptmp_004545
Aa_unspecified	Amino acid transporter (unspecified)		RCHGF000948; RCHGF002015	pgaptmp_002576; pgaptmp_003045	pgaptmp_001386; pgaptmp_002181; pgaptmp_002341	pgaptmp_001442; pgaptmp_002521; pgaptmp_002705; pgaptmp_003428	0	RVCYZ000463; RVCYZ000538; RVCYZ000832	pgaptmp_000478; pgaptmp_002096; pgaptmp_000686; pgaptmp_001512; pgaptmp_002614; pgaptmp_000085; pgaptmp_001888; pgaptmp_002159; pgaptmp_002937; pgaptmp_001035; pgaptmp_002458	pgaptmp_000330; pgaptmp_000990; pgaptmp_001771
Arginine	Arginine transporter		0	0	pgaptmp_001410	0	0	RVCYZ000925	0	0
Aspartate	Aspartate transporter		RCHGF000852; RCHGF000853; RCHGF001819; RCHGF001820; RCHGF003576; RCHGF003578; RCHGF004185	pgaptmp_000313; pgaptmp_000324; pgaptmp_000907; pgaptmp_001805; pgaptmp_002072; pgaptmp_002073; pgaptmp_002186; pgaptmp_002187; pgaptmp_003238; pgaptmp_003239; pgaptmp_003488; pgaptmp_003957	pgaptmp_000215; pgaptmp_000216; pgaptmp_000643; pgaptmp_000917; pgaptmp_000918; pgaptmp_001337; pgaptmp_001383; pgaptmp_002379; pgaptmp_002662; pgaptmp_002664; pgaptmp_002665; pgaptmp_003107; pgaptmp_003108	pgaptmp_000918; pgaptmp_001070; pgaptmp_001071; pgaptmp_001091; pgaptmp_001092; pgaptmp_001580; pgaptmp_001634; pgaptmp_001635; pgaptmp_003218; pgaptmp_003219	pgaptmp_002339; pgaptmp_002340; pgaptmp_000147; pgaptmp_000148	RVCYZ000079; RVCYZ000159; RVCYZ000160; RVCYZ000161; RVCYZ000278; RVCYZ000280; RVCYZ001191; RVCYZ001193; RVCYZ001194	pgaptmp_000635; pgaptmp_000636; pgaptmp_000637; pgaptmp_001486; pgaptmp_001487; pgaptmp_001215; pgaptmp_001217; pgaptmp_001292; pgaptmp_001566; pgaptmp_001567; pgaptmp_001568; pgaptmp_002402; pgaptmp_002426; pgaptmp_002438; pgaptmp_002439	pgaptmp_000504; pgaptmp_000749; pgaptmp_001249; pgaptmp_001255; pgaptmp_002139
Glutamate	Glutamate transporter		RCHGF000852; RCHGF000853; RCHGF001819; RCHGF001820; RCHGF003576; RCHGF003578; RCHGF004185	pgaptmp_000119; pgaptmp_000144; pgaptmp_000153; pgaptmp_000220; pgaptmp_000313; pgaptmp_000324; pgaptmp_000749; pgaptmp_000907; pgaptmp_001262; pgaptmp_001335; pgaptmp_001401; pgaptmp_001590; pgaptmp_001805; pgaptmp_001943; pgaptmp_002072; pgaptmp_002073; pgaptmp_002186; pgaptmp_002187; pgaptmp_002256; pgaptmp_003020; pgaptmp_003075; pgaptmp_003238; pgaptmp_003239; pgaptmp_003316; pgaptmp_003411; pgaptmp_003415; pgaptmp_003424; pgaptmp_003488; pgaptmp_003870; pgaptmp_003957; pgaptmp_004326	pgaptmp_000215; pgaptmp_000216; pgaptmp_000643; pgaptmp_000917; pgaptmp_000918; pgaptmp_001337; pgaptmp_001383; pgaptmp_002379; pgaptmp_002662; pgaptmp_002664; pgaptmp_002665; pgaptmp_003107; pgaptmp_003108; pgaptmp_003122	pgaptmp_000134; pgaptmp_000918; pgaptmp_001070; pgaptmp_001071; pgaptmp_001091; pgaptmp_001092; pgaptmp_001269; pgaptmp_001512; pgaptmp_001565; pgaptmp_001580; pgaptmp_001634; pgaptmp_001635; pgaptmp_003218; pgaptmp_003219; pgaptmp_003273; pgaptmp_003281; pgaptmp_003471	pgaptmp_002339; pgaptmp_002340; pgaptmp_000642; pgaptmp_000147; pgaptmp_000148	RVCYZ000079; RVCYZ000159; RVCYZ000160; RVCYZ000161; RVCYZ000278; RVCYZ000280; RVCYZ000536; RVCYZ001191; RVCYZ001193; RVCYZ001194	pgaptmp_002095; pgaptmp_000635; pgaptmp_000636; pgaptmp_000637; pgaptmp_001728; pgaptmp_001486; pgaptmp_001487; pgaptmp_001215; pgaptmp_001217; pgaptmp_001292; pgaptmp_001566; pgaptmp_001567; pgaptmp_001568; pgaptmp_002402; pgaptmp_002426; pgaptmp_002438; pgaptmp_002439	pgaptmp_001249; pgaptmp_002626
Glutamine	Glutamine transporter		RCHGF000852; RCHGF000853; RCHGF001819; RCHGF001820; RCHGF003576; RCHGF003578	pgaptmp_002072; pgaptmp_002073; pgaptmp_002186; pgaptmp_002187; pgaptmp_003238; pgaptmp_003239	pgaptmp_000215; pgaptmp_000216; pgaptmp_000917; pgaptmp_000918; pgaptmp_001337; pgaptmp_002662; pgaptmp_002664; pgaptmp_002665; pgaptmp_003107; pgaptmp_003108	pgaptmp_001070; pgaptmp_001071; pgaptmp_001091; pgaptmp_001092; pgaptmp_001634; pgaptmp_001635; pgaptmp_003218; pgaptmp_003219	pgaptmp_002339; pgaptmp_002340; pgaptmp_000147; pgaptmp_000148	RVCYZ000079; RVCYZ000159; RVCYZ000160; RVCYZ000161; RVCYZ000278; RVCYZ000280; RVCYZ001191; RVCYZ001193; RVCYZ001194	pgaptmp_000635; pgaptmp_000636; pgaptmp_000637; pgaptmp_001486; pgaptmp_001487; pgaptmp_001215; pgaptmp_001217; pgaptmp_001292; pgaptmp_001566; pgaptmp_001567; pgaptmp_001568; pgaptmp_002402; pgaptmp_002426; pgaptmp_002438; pgaptmp_002439	0
Isoleucine	Isoleucine transporter		RCHGF001397; RCHGF001398; RCHGF002826; RCHGF003211; RCHGF003212; RCHGF004245	pgaptmp_000470; pgaptmp_000471; pgaptmp_001161; pgaptmp_001162; pgaptmp_002338; pgaptmp_002339; pgaptmp_003038; pgaptmp_003585	pgaptmp_000618; pgaptmp_001032; pgaptmp_002538; pgaptmp_002846	pgaptmp_002083; pgaptmp_002084; pgaptmp_003048; pgaptmp_003049; pgaptmp_003369; pgaptmp_003563	pgaptmp_002075; pgaptmp_002076; pgaptmp_001907	RVCYZ000864; RVCYZ000865; RVCYZ001288	pgaptmp_002848; pgaptmp_000425; pgaptmp_000426; pgaptmp_001489; pgaptmp_002525	0
Lactate	Lactate transporter		0	0	0	0	0	0	0	pgaptmp_001485
Leucine	Leucine transporter		RCHGF001397; RCHGF001398; RCHGF002826; RCHGF003211; RCHGF003212; RCHGF003213; RCHGF004245	pgaptmp_000469; pgaptmp_000470; pgaptmp_000471; pgaptmp_001161; pgaptmp_001162; pgaptmp_001163; pgaptmp_002338; pgaptmp_002339; pgaptmp_003038; pgaptmp_003585	pgaptmp_000618; pgaptmp_001032; pgaptmp_002538; pgaptmp_002846	pgaptmp_002082; pgaptmp_002083; pgaptmp_002084; pgaptmp_003048; pgaptmp_003049; pgaptmp_003369; pgaptmp_003563	pgaptmp_002075; pgaptmp_002076; pgaptmp_001907	RVCYZ000820; RVCYZ000857; RVCYZ000861; RVCYZ000864; RVCYZ000865; RVCYZ001288	pgaptmp_002848; pgaptmp_000424; pgaptmp_000425; pgaptmp_000426; pgaptmp_001489; pgaptmp_002525	0
Methionine	Methionine transporter		RCHGF003683; RCHGF003684; RCHGF003685	pgaptmp_000936; pgaptmp_000994; pgaptmp_000995; pgaptmp_000996; pgaptmp_001321; pgaptmp_001322; pgaptmp_001323; pgaptmp_001501; pgaptmp_003545; pgaptmp_003546	pgaptmp_000185; pgaptmp_000527; pgaptmp_000528; pgaptmp_000529; pgaptmp_002593	pgaptmp_002256; pgaptmp_002257; pgaptmp_002258	pgaptmp_001880; pgaptmp_001881; pgaptmp_001882	RVCYZ000266; RVCYZ000284; RVCYZ001196; RVCYZ001197; RVCYZ001198; RVCYZ001245; RVCYZ001246; RVCYZ001247	pgaptmp_000663; pgaptmp_003012; pgaptmp_003013; pgaptmp_003014; pgaptmp_003015; pgaptmp_001910	0
Proline	Proline transporter		RCHGF000755; RCHGF003794; RCHGF004003	pgaptmp_000133; pgaptmp_000399; pgaptmp_000520; pgaptmp_000767; pgaptmp_001227; pgaptmp_001808; pgaptmp_001865; pgaptmp_001996; pgaptmp_002052; pgaptmp_003794; pgaptmp_003887; pgaptmp_004130; pgaptmp_004137; pgaptmp_004138	pgaptmp_000240; pgaptmp_001469; pgaptmp_002548; pgaptmp_002696; pgaptmp_002738; pgaptmp_003134	pgaptmp_000826; pgaptmp_000880; pgaptmp_000966; pgaptmp_002027; pgaptmp_003395	pgaptmp_002069; pgaptmp_001859; pgaptmp_001431; pgaptmp_001181; pgaptmp_001352; pgaptmp_000936	RVCYZ000442	pgaptmp_000864; pgaptmp_000603; pgaptmp_002399	pgaptmp_000187; pgaptmp_000344; pgaptmp_000358; pgaptmp_000702; pgaptmp_000872; pgaptmp_001105; pgaptmp_001502; pgaptmp_001558; pgaptmp_002470; pgaptmp_002879; pgaptmp_003098; pgaptmp_003685
Serine	Serine transporter		0	0	0	0	0	0	pgaptmp_001511	0
Threonine	Threonine transporter		0	0	0	0	0	0	pgaptmp_001511	0
Tryptophan	Tryptophan transporter		0	pgaptmp_000911	0	0	0	0	0	0
Valine	Valine transporter		RCHGF001397; RCHGF001398; RCHGF002826; RCHGF003211; RCHGF003212; RCHGF003213; RCHGF004245	pgaptmp_000469; pgaptmp_000470; pgaptmp_000471; pgaptmp_001161; pgaptmp_001162; pgaptmp_001163; pgaptmp_002338; pgaptmp_002339; pgaptmp_003038; pgaptmp_003585	pgaptmp_000618; pgaptmp_001032; pgaptmp_002538; pgaptmp_002846	pgaptmp_002082; pgaptmp_002083; pgaptmp_002084; pgaptmp_003048; pgaptmp_003049; pgaptmp_003369; pgaptmp_003563	pgaptmp_002075; pgaptmp_002076; pgaptmp_001907	RVCYZ000820; RVCYZ000857; RVCYZ000861; RVCYZ000864; RVCYZ000865; RVCYZ001288	pgaptmp_002848; pgaptmp_000424; pgaptmp_000425; pgaptmp_000426; pgaptmp_001489; pgaptmp_002525	0
