locus_tag	source_pgap	type_pgap	start_pgap	end_pgap	score_pgap	strand_pgap	phase_pgap	attributes_pgap	product_pgap	seed_ortholog_eggnog	evalue_eggnog	score_eggnog	eggNOG_OGs_eggnog	max_annot_lvl_eggnog	COG_category_eggnog	Description_eggnog	Preferred_name_eggnog	GOs_eggnog	EC_eggnog	KEGG_ko_eggnog	KEGG_Pathway_eggnog	KEGG_Module_eggnog	KEGG_Reaction_eggnog	KEGG_rclass_eggnog	BRITE_eggnog	KEGG_TC_eggnog	CAZy_eggnog	BiGG_Reaction_eggnog	PFAMs_eggnog	GenomeID_transapp	FID_transapp	Subfamily_transapp	Substrate/Function_transapp	ID_tcdb_org_transapp	KO_blastkoala	KO_definition_blastkoala
pgaptmp_000011	Protein Homology	CDS	10918	12888		-	0	ID=cds-pgaptmp_000011;Parent=gene-pgaptmp_000011;Name=extdb:pgaptmp_000011;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_003503872.1;locus_tag=pgaptmp_000011;product=V-type ATP synthase subunit I;protein_id=extdb:pgaptmp_000011;transl_table=11	V-type ATP synthase subunit I	742741.HMPREF9475_00011	0	1271	COG1269@1|root,COG1269@2|Bacteria,1TPTE@1239|Firmicutes,249YV@186801|Clostridia,21Z37@1506553|Lachnoclostridium	186801|Clostridia	C	Belongs to the V-ATPase 116 kDa subunit family	ntpI			ko:K02123	ko00190,ko01100,map00190,map01100	M00159			ko00000,ko00001,ko00002	3.A.2.2,3.A.2.3			V_ATPase_I	cc11824	F-ATPase		protons	3.A.2	K02123	ATPVI, ntpI, atpI; V/A-type H+/Na+-transporting ATPase subunit I
pgaptmp_000012	Protein Homology	CDS	12885	13955		-	0	ID=cds-pgaptmp_000012;Parent=gene-pgaptmp_000012;Name=extdb:pgaptmp_000012;Ontology_term=GO:1902600,GO:0016887,GO:0000220;gbkey=CDS;go_component=vacuolar proton-transporting V-type ATPase%2C V0 domain|0000220||IEA;go_function=ATP hydrolysis activity|0016887||IEA;go_process=proton transmembrane transport|1902600||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_009298648.1;locus_tag=pgaptmp_000012;product=V0D/AC39 family V-type ATPase subunit;protein_id=extdb:pgaptmp_000012;transl_table=11	V0D/AC39 family V-type ATPase subunit	742741.HMPREF9475_00012	3.84E-258	707	COG1527@1|root,COG1527@2|Bacteria,1U1QE@1239|Firmicutes,24A4E@186801|Clostridia,21XTE@1506553|Lachnoclostridium	186801|Clostridia	C	Psort location Cytoplasmic, score 8.87	ntpC			ko:K02119	ko00190,ko01100,map00190,map01100	M00159			ko00000,ko00001,ko00002	3.A.2.2,3.A.2.3			vATP-synt_AC39						K02119	ATPVC, ntpC, atpC; V/A-type H+/Na+-transporting ATPase subunit C
pgaptmp_000013	Protein Homology	CDS	13961	14272		-	0	ID=cds-pgaptmp_000013;Parent=gene-pgaptmp_000013;Name=extdb:pgaptmp_000013;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_003503876.1;locus_tag=pgaptmp_000013;product=hypothetical protein;protein_id=extdb:pgaptmp_000013;transl_table=11	hypothetical protein	742741.HMPREF9475_00013	2.57E-61	189	2DNZW@1|root,32ZZ4@2|Bacteria,1VH0V@1239|Firmicutes,25PIT@186801|Clostridia,221DU@1506553|Lachnoclostridium	186801|Clostridia																						
pgaptmp_000014	Protein Homology	CDS	14570	15451		-	0	ID=cds-pgaptmp_000014;Parent=gene-pgaptmp_000014;Name=extdb:pgaptmp_000014;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_003503878.1;locus_tag=pgaptmp_000014;product=SH3 domain-containing protein;protein_id=extdb:pgaptmp_000014;transl_table=11	SH3 domain-containing protein	742741.HMPREF9475_00014	3.36E-177	497	2AP18@1|root,31E2G@2|Bacteria,1V8ZV@1239|Firmicutes,24M29@186801|Clostridia,21XW5@1506553|Lachnoclostridium	186801|Clostridia	S	Domain of unknown function (DUF4145)													DUF4145,SH3_3							
pgaptmp_000015	Protein Homology	CDS	15710	16366		+	0	ID=cds-pgaptmp_000015;Parent=gene-pgaptmp_000015;Name=extdb:pgaptmp_000015;Ontology_term=GO:0006400,GO:0008176;gbkey=CDS;gene=trmB;go_function=tRNA (guanine(46)-N7)-methyltransferase activity|0008176||IEA;go_process=tRNA modification|0006400||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_003503880.1;locus_tag=pgaptmp_000015;product=tRNA (guanosine(46)-N7)-methyltransferase TrmB;protein_id=extdb:pgaptmp_000015;transl_table=11	tRNA (guanosine(46)-N7)-methyltransferase TrmB	742741.HMPREF9475_00015	2.07E-161	451	COG0220@1|root,COG0220@2|Bacteria,1TQCA@1239|Firmicutes,248YR@186801|Clostridia,21Y2V@1506553|Lachnoclostridium	186801|Clostridia	J	Catalyzes the formation of N(7)-methylguanine at position 46 (m7G46) in tRNA	trmB		2.1.1.33	ko:K03439					ko00000,ko01000,ko03016				Methyltransf_4						K03439	trmB, METTL1, TRM8; tRNA (guanine-N7-)-methyltransferase [EC:2.1.1.33]
pgaptmp_000016	Protein Homology	CDS	16448	16591		+	0	ID=cds-pgaptmp_000016;Parent=gene-pgaptmp_000016;Name=extdb:pgaptmp_000016;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_009298649.1;locus_tag=pgaptmp_000016;product=hypothetical protein;protein_id=extdb:pgaptmp_000016;transl_table=11	hypothetical protein	1304866.K413DRAFT_0864	0.00000621	45.8	28Q7C@1|root,2ZCQ8@2|Bacteria,1W5GJ@1239|Firmicutes,24VWZ@186801|Clostridia,36TXT@31979|Clostridiaceae	186801|Clostridia																						
pgaptmp_000017	Protein Homology	CDS	16604	16921		+	0	ID=cds-pgaptmp_000017;Parent=gene-pgaptmp_000017;Name=extdb:pgaptmp_000017;Ontology_term=GO:0015035;gbkey=CDS;gene=trxA;go_function=protein-disulfide reductase activity|0015035||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_003503882.1;locus_tag=pgaptmp_000017;product=thioredoxin;protein_id=extdb:pgaptmp_000017;transl_table=11	thioredoxin	742741.HMPREF9475_00017	3.47E-69	209	COG3118@1|root,COG3118@2|Bacteria,1VA3Y@1239|Firmicutes,24MM5@186801|Clostridia,220TG@1506553|Lachnoclostridium	186801|Clostridia	O	Thioredoxin	trxA			ko:K03671	ko04621,ko05418,map04621,map05418				ko00000,ko00001,ko03110				Thioredoxin						K03671	TXN, trxA; thioredoxin
pgaptmp_000019	Protein Homology	CDS	17821	18465		+	0	ID=cds-pgaptmp_000019;Parent=gene-pgaptmp_000019;Name=extdb:pgaptmp_000019;Ontology_term=GO:0000160,GO:0006355,GO:0000156,GO:0003677;gbkey=CDS;go_function=phosphorelay response regulator activity|0000156||IEA,DNA binding|0003677||IEA;go_process=phosphorelay signal transduction system|0000160||IEA,regulation of DNA-templated transcription|0006355||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_003505705.1;locus_tag=pgaptmp_000019;product=response regulator transcription factor;protein_id=extdb:pgaptmp_000019;transl_table=11	response regulator transcription factor	742741.HMPREF9475_00018	1.7E-149	421	COG0745@1|root,COG0745@2|Bacteria,1TP9M@1239|Firmicutes,247TK@186801|Clostridia,21ZZ3@1506553|Lachnoclostridium	186801|Clostridia	KT	cheY-homologous receiver domain													Response_reg,Trans_reg_C						K02483	K02483; two-component system, OmpR family, response regulator
pgaptmp_000020	Protein Homology	CDS	18449	18529		+	0	ID=cds-pgaptmp_000020;Parent=gene-pgaptmp_000020;Name=extdb:pgaptmp_000020;Ontology_term=GO:0000160,GO:0006355,GO:0003677;gbkey=CDS;go_function=DNA binding|0003677||IEA;go_process=phosphorelay signal transduction system|0000160||IEA,regulation of DNA-templated transcription|0006355||IEA;inference=COORDINATES: protein motif:HMM:NF012698.6;locus_tag=pgaptmp_000020;product=winged helix-turn-helix domain-containing protein;protein_id=extdb:pgaptmp_000020;transl_table=11	winged helix-turn-helix domain-containing protein	1151292.QEW_3336	0.00000033	50.4	COG0745@1|root,COG0745@2|Bacteria,1TP9M@1239|Firmicutes,247TK@186801|Clostridia,25THA@186804|Peptostreptococcaceae	186801|Clostridia	KT	Transcriptional regulatory protein, C terminal													Response_reg,Trans_reg_C							
pgaptmp_000021	Protein Homology	CDS	18522	19475		+	0	ID=cds-pgaptmp_000021;Parent=gene-pgaptmp_000021;Name=extdb:pgaptmp_000021;Ontology_term=GO:0007165,GO:0016020;gbkey=CDS;go_component=membrane|0016020||IEA;go_process=signal transduction|0007165||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_003505708.1;locus_tag=pgaptmp_000021;product=HAMP domain-containing protein;protein_id=extdb:pgaptmp_000021;transl_table=11	HAMP domain-containing protein	742741.HMPREF9475_00019	3.01E-222	614	COG0642@1|root,COG0642@2|Bacteria,1VWE9@1239|Firmicutes,24Q5E@186801|Clostridia	186801|Clostridia	T	His Kinase A (phosphoacceptor) domain													HATPase_c_5,HisKA							
pgaptmp_000022	Protein Homology	CDS	19671	19994		+	0	ID=cds-pgaptmp_000022;Parent=gene-pgaptmp_000022;Name=extdb:pgaptmp_000022;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_003505709.1;locus_tag=pgaptmp_000022;product=hypothetical protein;protein_id=extdb:pgaptmp_000022;transl_table=11	hypothetical protein	742741.HMPREF9475_00020	1.84E-65	199	2F69B@1|root,33YT3@2|Bacteria,1VX9Q@1239|Firmicutes,24WKK@186801|Clostridia	186801|Clostridia																						
pgaptmp_000023	Protein Homology	CDS	20574	21350		-	0	ID=cds-pgaptmp_000023;Parent=gene-pgaptmp_000023;Name=extdb:pgaptmp_000023;Ontology_term=GO:0008168,GO:1904047;gbkey=CDS;go_function=methyltransferase activity|0008168||IEA,S-adenosyl-L-methionine binding|1904047||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_003503898.1;locus_tag=pgaptmp_000023;product=class I SAM-dependent methyltransferase;protein_id=extdb:pgaptmp_000023;transl_table=11	class I SAM-dependent methyltransferase	742741.HMPREF9475_00021	5.29E-193	534	COG0500@1|root,COG2226@2|Bacteria,1TR3E@1239|Firmicutes,249HI@186801|Clostridia	186801|Clostridia	Q	Methyltransferase domain													Methyltransf_11							
pgaptmp_000024	Protein Homology	CDS	21635	22099		+	0	ID=cds-pgaptmp_000024;Parent=gene-pgaptmp_000024;Name=extdb:pgaptmp_000024;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_009298654.1;locus_tag=pgaptmp_000024;product=hypothetical protein;protein_id=extdb:pgaptmp_000024;transl_table=11	hypothetical protein	742741.HMPREF9475_00022	1.02E-107	310	2E02K@1|root,32VRJ@2|Bacteria,1VF3J@1239|Firmicutes,24R4X@186801|Clostridia	186801|Clostridia																						
pgaptmp_000025	Protein Homology	CDS	22118	27343		+	0	ID=cds-pgaptmp_000025;Parent=gene-pgaptmp_000025;Name=extdb:pgaptmp_000025;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_003503900.1;locus_tag=pgaptmp_000025;product=DUF5724 domain-containing protein;protein_id=extdb:pgaptmp_000025;transl_table=11	DUF5724 domain-containing protein	742741.HMPREF9475_00023	0	3442	COG1413@1|root,COG1413@2|Bacteria,1TSRF@1239|Firmicutes,24D6P@186801|Clostridia	186801|Clostridia	C	Domain of unknown function (DUF4132)													DUF4132							
pgaptmp_000026	Protein Homology	CDS	27673	28710		+	0	ID=cds-pgaptmp_000026;Parent=gene-pgaptmp_000026;Name=extdb:pgaptmp_000026;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_009298656.1;locus_tag=pgaptmp_000026;product=alcohol dehydrogenase catalytic domain-containing protein;protein_id=extdb:pgaptmp_000026;transl_table=11	alcohol dehydrogenase catalytic domain-containing protein	742741.HMPREF9475_00024	5.22E-255	698	COG1063@1|root,COG1063@2|Bacteria,1TS6I@1239|Firmicutes,25B2J@186801|Clostridia,2247G@1506553|Lachnoclostridium	186801|Clostridia	C	Alcohol dehydrogenase GroES-like domain													ADH_N,ADH_zinc_N							
pgaptmp_000027	Protein Homology	CDS	28769	29611		+	0	ID=cds-pgaptmp_000027;Parent=gene-pgaptmp_000027;Name=extdb:pgaptmp_000027;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_002574189.1;locus_tag=pgaptmp_000027;product=class I fructose-bisphosphate aldolase;protein_id=extdb:pgaptmp_000027;transl_table=11	class I fructose-bisphosphate aldolase	742741.HMPREF9475_00025	2.25E-205	567	COG1830@1|root,COG1830@2|Bacteria,1TR4S@1239|Firmicutes,24CYU@186801|Clostridia,21YFB@1506553|Lachnoclostridium	186801|Clostridia	G	DeoC/LacD family aldolase			4.1.2.13	ko:K11645	ko00010,ko00030,ko00051,ko00680,ko00710,ko01100,ko01110,ko01120,ko01130,ko01200,ko01230,map00010,map00030,map00051,map00680,map00710,map01100,map01110,map01120,map01130,map01200,map01230	M00001,M00003	R01068,R01070,R01829,R02568	RC00438,RC00439,RC00603,RC00604	ko00000,ko00001,ko00002,ko01000				DeoC							
pgaptmp_000028	Protein Homology	CDS	29647	31185		+	0	ID=cds-pgaptmp_000028;Parent=gene-pgaptmp_000028;Name=extdb:pgaptmp_000028;Ontology_term=GO:0005998,GO:0042732,GO:0004856,GO:0005524;gbkey=CDS;go_function=D-xylulokinase activity|0004856||IEA,ATP binding|0005524||IEA;go_process=xylulose catabolic process|0005998||IEA,D-xylose metabolic process|0042732||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_003505719.1;locus_tag=pgaptmp_000028;product=xylulokinase;protein_id=extdb:pgaptmp_000028;transl_table=11	xylulokinase	742741.HMPREF9475_00026	0	1033	COG1070@1|root,COG1070@2|Bacteria,1TQ1I@1239|Firmicutes,247NR@186801|Clostridia,221VW@1506553|Lachnoclostridium	186801|Clostridia	H	FGGY family of carbohydrate kinases, C-terminal domain			2.7.1.17	ko:K00854	ko00040,ko01100,map00040,map01100	M00014	R01639	RC00002,RC00538	ko00000,ko00001,ko00002,ko01000				FGGY_C,FGGY_N						K00854	xylB, XYLB; xylulokinase [EC:2.7.1.17]
pgaptmp_000029	Protein Homology	CDS	31201	32259		+	0	ID=cds-pgaptmp_000029;Parent=gene-pgaptmp_000029;Name=extdb:pgaptmp_000029;Ontology_term=GO:0055085,GO:0005215,GO:0031317;gbkey=CDS;go_component=tripartite ATP-independent periplasmic transporter complex|0031317||IEA;go_function=transporter activity|0005215||IEA;go_process=transmembrane transport|0055085||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_003503905.1;locus_tag=pgaptmp_000029;product=DctP family TRAP transporter solute-binding subunit;protein_id=extdb:pgaptmp_000029;transl_table=11	DctP family TRAP transporter solute-binding subunit	742741.HMPREF9475_00027	3.37E-250	687	COG1638@1|root,COG1638@2|Bacteria,1TP3I@1239|Firmicutes,24C83@186801|Clostridia	186801|Clostridia	G	Bacterial extracellular solute-binding protein, family 7													DctP	cc11824	TRAP-T		C4-dicarboxylate	2.A.56	K11688	dctP, yiaO; TRAP-type transport system periplasmic protein
pgaptmp_000030	Protein Homology	CDS	32292	32822		+	0	ID=cds-pgaptmp_000030;Parent=gene-pgaptmp_000030;Name=extdb:pgaptmp_000030;Ontology_term=GO:0015740,GO:0022857,GO:0005886,GO:0016020,GO:0031317;gbkey=CDS;go_component=plasma membrane|0005886||IEA,membrane|0016020||IEA,tripartite ATP-independent periplasmic transporter complex|0031317||IEA;go_function=transmembrane transporter activity|0022857||IEA;go_process=C4-dicarboxylate transport|0015740||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_003503907.1;locus_tag=pgaptmp_000030;product=TRAP transporter small permease;protein_id=extdb:pgaptmp_000030;transl_table=11	TRAP transporter small permease	742741.HMPREF9475_00028	4.5E-124	353	COG3090@1|root,COG3090@2|Bacteria,1V6K0@1239|Firmicutes,24K3G@186801|Clostridia	186801|Clostridia	G	Tripartite ATP-independent periplasmic transporters, DctQ component													DctQ	cc11824	TRAP-T		C4-dicarboxylate	2.A.56	K11689	dctQ, yiaM; TRAP-type transport system small permease protein
pgaptmp_000031	Protein Homology	CDS	32819	34117		+	0	ID=cds-pgaptmp_000031;Parent=gene-pgaptmp_000031;Name=extdb:pgaptmp_000031;Ontology_term=GO:0008643,GO:0022857,GO:0005886,GO:0016020,GO:0031317;gbkey=CDS;go_component=plasma membrane|0005886||IEA,membrane|0016020||IEA,tripartite ATP-independent periplasmic transporter complex|0031317||IEA;go_function=transmembrane transporter activity|0022857||IEA;go_process=carbohydrate transport|0008643||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_009298658.1;locus_tag=pgaptmp_000031;product=TRAP transporter large permease;protein_id=extdb:pgaptmp_000031;transl_table=11	TRAP transporter large permease	742741.HMPREF9475_00029	2.01E-287	788	COG1593@1|root,COG1593@2|Bacteria,1TPNU@1239|Firmicutes,248BY@186801|Clostridia,21ZGS@1506553|Lachnoclostridium	186801|Clostridia	G	COG COG1593 TRAP-type C4-dicarboxylate transport system, large permease component													DctM	cc11824	TRAP-T		C4-dicarboxylate	2.A.56	K11690	dctM, yiaN; TRAP-type transport system large permease protein
