locus_tag	seqid_pgap	source_pgap	type_pgap	start_pgap	end_pgap	score_pgap	strand_pgap	phase_pgap	attributes_pgap	product_pgap	seed_ortholog_eggnog	evalue_eggnog	score_eggnog	eggNOG_OGs_eggnog	max_annot_lvl_eggnog	COG_category_eggnog	Description_eggnog	Preferred_name_eggnog	GOs_eggnog	EC_eggnog	KEGG_ko_eggnog	KEGG_Pathway_eggnog	KEGG_Module_eggnog	KEGG_Reaction_eggnog	KEGG_rclass_eggnog	BRITE_eggnog	KEGG_TC_eggnog	CAZy_eggnog	BiGG_Reaction_eggnog	PFAMs_eggnog	GenomeID_transapp	FID_transapp	Subfamily_transapp	Substrate/Function_transapp	ID_tcdb_org_transapp	KO_blastkoala	KO_definition_blastkoala
pgaptmp_001526	contig52	Protein Homology	CDS	11030	11659		-	0	ID=cds-pgaptmp_001526;Parent=gene-pgaptmp_001526;Name=extdb:pgaptmp_001526;Ontology_term=GO:0055085,GO:0042626,GO:0140359,GO:0016020;gbkey=CDS;go_component=membrane|0016020||IEA;go_function=ATPase-coupled transmembrane transporter activity|0042626||IEA,ABC-type transporter activity|0140359||IEA;go_process=transmembrane transport|0055085||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_020751362.1;locus_tag=pgaptmp_001526;product=ABC transporter permease;protein_id=extdb:pgaptmp_001526;transl_table=11	ABC transporter permease	543734.LCABL_00650	3.24E-136	387	COG1174@1|root,COG1174@2|Bacteria,1TSX8@1239|Firmicutes,4HC1D@91061|Bacilli,3F4EM@33958|Lactobacillaceae	91061|Bacilli	E	ABC transporter permease	opuCB			ko:K05846	ko02010,map02010	M00209			ko00000,ko00001,ko00002,ko02000	3.A.1.12			BPD_transp_1	ll11825	ABC	membrane	glycine betaine/L-proline/carnitine/choline	3.A.1	K05846	opuBD; osmoprotectant transport system permease protein
pgaptmp_001527	contig52	Protein Homology	CDS	11662	12915		-	0	ID=cds-pgaptmp_001527;Parent=gene-pgaptmp_001527;Name=extdb:pgaptmp_001527;Note=Members of the family are the ATP-binding subunit of ABC transporters for substrates such as betaine%2C L-proline or other amino acids%2C choline%2C carnitine%2C etc. The substrate specificity is best determined from the substrate-binding subunit%2C rather than this subunit%2C as it interacts with the permease subunit and not with substrate directly.;Ontology_term=GO:0015837,GO:0005524,GO:0016020,GO:0043190;gbkey=CDS;go_component=membrane|0016020||IEA,ATP-binding cassette (ABC) transporter complex|0043190||IEA;go_function=ATP binding|0005524||IEA;go_process=amine transport|0015837||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_003562598.1;locus_tag=pgaptmp_001527;product=betaine/proline/choline family ABC transporter ATP-binding protein;protein_id=extdb:pgaptmp_001527;transl_table=11	betaine/proline/choline family ABC transporter ATP-binding protein	543734.LCABL_00660	7.8E-282	772	COG1125@1|root,COG2905@1|root,COG1125@2|Bacteria,COG2905@2|Bacteria,1TPV8@1239|Firmicutes,4H9SI@91061|Bacilli,3F55H@33958|Lactobacillaceae	91061|Bacilli	E	ABC transporter, ATP-binding protein	opuCA			ko:K05847	ko02010,map02010	M00209			ko00000,ko00001,ko00002,ko02000	3.A.1.12		iSB619.SA_RS12845,iYO844.BSU33730	ABC_tran,CBS	ll11825	ABC	binding	glycine betaine	3.A.1	K05847	opuA; osmoprotectant transport system ATP-binding protein [EC:7.6.2.9]
pgaptmp_001528	contig52	Protein Homology	CDS	12967	13302		-	0	ID=cds-pgaptmp_001528;Parent=gene-pgaptmp_001528;Name=extdb:pgaptmp_001528;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_003659051.1;locus_tag=pgaptmp_001528;product=hypothetical protein;protein_id=extdb:pgaptmp_001528;transl_table=11	hypothetical protein																											
pgaptmp_001529	contig52	Protein Homology	CDS	13536	14189		-	0	ID=cds-pgaptmp_001529;Parent=gene-pgaptmp_001529;Name=extdb:pgaptmp_001529;Ontology_term=GO:0071586,GO:0004222,GO:0070007,GO:0016020;gbkey=CDS;go_component=membrane|0016020||IEA;go_function=metalloendopeptidase activity|0004222||IEA,glutamic-type endopeptidase activity|0070007||IEA;go_process=CAAX-box protein processing|0071586||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_003577283.1;locus_tag=pgaptmp_001529;product=CPBP family intramembrane glutamic endopeptidase;protein_id=extdb:pgaptmp_001529;transl_table=11	CPBP family intramembrane glutamic endopeptidase	1423734.JCM14202_1230	1.56E-28	113	COG1266@1|root,COG1266@2|Bacteria,1W74A@1239|Firmicutes,4IFVR@91061|Bacilli,3F750@33958|Lactobacillaceae	91061|Bacilli	S	CAAX protease self-immunity	plnU			ko:K07052					ko00000				Abi							
pgaptmp_001530	contig52	Protein Homology	CDS	14255	14476		-	0	ID=cds-pgaptmp_001530;Parent=gene-pgaptmp_001530;Name=extdb:pgaptmp_001530;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_003659053.1;locus_tag=pgaptmp_001530;product=hypothetical protein;protein_id=extdb:pgaptmp_001530;transl_table=11	hypothetical protein																											
pgaptmp_001531	contig52	Protein Homology	CDS	14600	14785		-	0	ID=cds-pgaptmp_001531;Parent=gene-pgaptmp_001531;Name=extdb:pgaptmp_001531;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_016388112.1;locus_tag=pgaptmp_001531;product=hypothetical protein;protein_id=extdb:pgaptmp_001531;transl_table=11	hypothetical protein																											
pgaptmp_001532	contig52	Protein Homology	CDS	14822	16678		+	0	ID=cds-pgaptmp_001532;Parent=gene-pgaptmp_001532;Name=extdb:pgaptmp_001532;Ontology_term=GO:0005524,GO:0015662,GO:0016887,GO:0019829,GO:0046872,GO:0016020;gbkey=CDS;go_component=membrane|0016020||IEA;go_function=ATP binding|0005524||IEA,P-type ion transporter activity|0015662||IEA,ATP hydrolysis activity|0016887||IEA,ATPase-coupled monoatomic cation transmembrane transporter activity|0019829||IEA,metal ion binding|0046872||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_013245329.1;locus_tag=pgaptmp_001532;product=heavy metal translocating P-type ATPase;protein_id=extdb:pgaptmp_001532;transl_table=11	heavy metal translocating P-type ATPase	543734.LCABL_00670	0	1116	COG2217@1|root,COG2217@2|Bacteria,1TQ07@1239|Firmicutes,4H9SP@91061|Bacilli,3F4T3@33958|Lactobacillaceae	91061|Bacilli	P	P-type ATPase	cadA		3.6.3.3,3.6.3.5	ko:K01534					ko00000,ko01000	3.A.3.6			E1-E2_ATPase,Hydrolase	ll11825	P-ATPase		zinc/cadmium/cobalt ion	3.A.3	K01534	zntA; Zn2+/Cd2+-exporting ATPase [EC:7.2.2.12 7.2.2.21]
pgaptmp_001533	contig52	Protein Homology	CDS	16698	16925		+	0	ID=cds-pgaptmp_001533;Parent=gene-pgaptmp_001533;Name=extdb:pgaptmp_001533;Ontology_term=GO:0046872;gbkey=CDS;go_function=metal ion binding|0046872||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_003562606.1;locus_tag=pgaptmp_001533;product=heavy-metal-associated domain-containing protein;protein_id=extdb:pgaptmp_001533;transl_table=11	heavy-metal-associated domain-containing protein	543734.LCABL_00680	5.13E-46	148	COG2608@1|root,COG2608@2|Bacteria,1VFJ8@1239|Firmicutes,4HNY2@91061|Bacilli,3F830@33958|Lactobacillaceae	91061|Bacilli	P	Heavy-metal-associated domain	copZ												HMA							
pgaptmp_001534	contig52	Protein Homology	CDS	17073	17657		+	0	ID=cds-pgaptmp_001534;Parent=gene-pgaptmp_001534;Name=extdb:pgaptmp_001534;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_016366853.1;locus_tag=pgaptmp_001534;product=DNA-binding protein;protein_id=extdb:pgaptmp_001534;transl_table=11	DNA-binding protein	543734.LCABL_00700	3.06E-124	355	COG0783@1|root,COG0783@2|Bacteria,1VB1X@1239|Firmicutes,4HMJG@91061|Bacilli,3F4SN@33958|Lactobacillaceae	91061|Bacilli	P	Belongs to the Dps family	dpsB												Ferritin							
pgaptmp_001535	contig52	Protein Homology	CDS	17806	18465		+	0	ID=cds-pgaptmp_001535;Parent=gene-pgaptmp_001535;Name=extdb:pgaptmp_001535;Ontology_term=GO:0003677,GO:0030552;gbkey=CDS;go_function=DNA binding|0003677||IEA,cAMP binding|0030552||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_016388114.1;locus_tag=pgaptmp_001535;product=Crp/Fnr family transcriptional regulator;protein_id=extdb:pgaptmp_001535;transl_table=11	Crp/Fnr family transcriptional regulator	543734.LCABL_00710	1.01E-148	419	COG0664@1|root,COG0664@2|Bacteria,1UZT0@1239|Firmicutes,4HFR2@91061|Bacilli,3FBKF@33958|Lactobacillaceae	91061|Bacilli	K	helix_turn_helix, cAMP Regulatory protein	flp			ko:K21562					ko00000,ko03000				HTH_Crp_2,cNMP_binding						K21562	flp; CRP/FNR family transcriptional regulator, anaerobic regulatory protein
pgaptmp_001536	contig52	Protein Homology	CDS	19079	19873		-	0	ID=cds-pgaptmp_001536;Parent=gene-pgaptmp_001536;Name=extdb:pgaptmp_001536;Ontology_term=GO:0000162,GO:0004834;gbkey=CDS;gene=trpA;go_function=tryptophan synthase activity|0004834||IEA;go_process=L-tryptophan biosynthetic process|0000162||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_003577286.1;locus_tag=pgaptmp_001536;product=tryptophan synthase subunit alpha;protein_id=extdb:pgaptmp_001536;transl_table=11	tryptophan synthase subunit alpha	543734.LCABL_00720	1.61E-181	506	COG0159@1|root,COG0159@2|Bacteria,1TPXA@1239|Firmicutes,4HFQ8@91061|Bacilli,3F50S@33958|Lactobacillaceae	91061|Bacilli	E	The alpha subunit is responsible for the aldol cleavage of indoleglycerol phosphate to indole and glyceraldehyde 3- phosphate	trpA		4.2.1.20	ko:K01695	ko00260,ko00400,ko01100,ko01110,ko01130,ko01230,map00260,map00400,map01100,map01110,map01130,map01230	M00023	R00674,R02340,R02722	RC00209,RC00210,RC00700,RC00701,RC02868	ko00000,ko00001,ko00002,ko01000				Trp_syntA						K01695	trpA; tryptophan synthase alpha chain [EC:4.2.1.20]
pgaptmp_001537	contig52	Protein Homology	CDS	19866	21086		-	0	ID=cds-pgaptmp_001537;Parent=gene-pgaptmp_001537;Name=extdb:pgaptmp_001537;Ontology_term=GO:0000162,GO:0004834;gbkey=CDS;gene=trpB;go_function=tryptophan synthase activity|0004834||IEA;go_process=L-tryptophan biosynthetic process|0000162||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_014568938.1;locus_tag=pgaptmp_001537;product=tryptophan synthase subunit beta;protein_id=extdb:pgaptmp_001537;transl_table=11	tryptophan synthase subunit beta	543734.LCABL_00730	9.66E-291	794	COG0133@1|root,COG0133@2|Bacteria,1TPI3@1239|Firmicutes,4H9WC@91061|Bacilli,3F4DT@33958|Lactobacillaceae	91061|Bacilli	E	The beta subunit is responsible for the synthesis of L- tryptophan from indole and L-serine	trpB	GO:0000162,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006082,GO:0006520,GO:0006568,GO:0006576,GO:0006586,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0008652,GO:0009058,GO:0009072,GO:0009073,GO:0009308,GO:0009309,GO:0009987,GO:0016053,GO:0018130,GO:0019438,GO:0019752,GO:0034641,GO:0042401,GO:0042430,GO:0042435,GO:0043436,GO:0044106,GO:0044237,GO:0044238,GO:0044249,GO:0044271,GO:0044281,GO:0044283,GO:0044424,GO:0044464,GO:0046219,GO:0046394,GO:0046483,GO:0071704,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576,GO:1901605,GO:1901607	4.2.1.20,5.3.1.24	ko:K01696,ko:K01817	ko00260,ko00400,ko01100,ko01110,ko01130,ko01230,map00260,map00400,map01100,map01110,map01130,map01230	M00023	R00674,R02340,R02722,R03509	RC00209,RC00210,RC00700,RC00701,RC00945,RC02868	ko00000,ko00001,ko00002,ko01000			iYO844.BSU22640	PALP						K01696	trpB; tryptophan synthase beta chain [EC:4.2.1.20]
pgaptmp_001538	contig52	Protein Homology	CDS	21070	21669		-	0	ID=cds-pgaptmp_001538;Parent=gene-pgaptmp_001538;Name=extdb:pgaptmp_001538;Ontology_term=GO:0000162,GO:0004640;gbkey=CDS;go_function=phosphoribosylanthranilate isomerase activity|0004640||IEA;go_process=L-tryptophan biosynthetic process|0000162||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_016371812.1;locus_tag=pgaptmp_001538;product=phosphoribosylanthranilate isomerase;protein_id=extdb:pgaptmp_001538;transl_table=11	phosphoribosylanthranilate isomerase	543734.LCABL_00740	7.5E-132	375	COG0135@1|root,COG0135@2|Bacteria,1V6Y0@1239|Firmicutes,4HN68@91061|Bacilli,3F4B6@33958|Lactobacillaceae	91061|Bacilli	E	Belongs to the TrpF family	trpF		5.3.1.24	ko:K01817	ko00400,ko01100,ko01110,ko01130,ko01230,map00400,map01100,map01110,map01130,map01230	M00023	R03509	RC00945	ko00000,ko00001,ko00002,ko01000				PRAI						K01817	trpF; phosphoribosylanthranilate isomerase [EC:5.3.1.24]
pgaptmp_001539	contig52	Protein Homology	CDS	21697	22479		-	0	ID=cds-pgaptmp_001539;Parent=gene-pgaptmp_001539;Name=extdb:pgaptmp_001539;Ontology_term=GO:0006568,GO:0004425;gbkey=CDS;gene=trpC;go_function=indole-3-glycerol-phosphate synthase activity|0004425||IEA;go_process=L-tryptophan metabolic process|0006568||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_003562639.1;locus_tag=pgaptmp_001539;product=indole-3-glycerol phosphate synthase TrpC;protein_id=extdb:pgaptmp_001539;transl_table=11	indole-3-glycerol phosphate synthase TrpC	543734.LCABL_00750	2.46E-174	487	COG0134@1|root,COG0134@2|Bacteria,1TR94@1239|Firmicutes,4HDZQ@91061|Bacilli,3F5AK@33958|Lactobacillaceae	91061|Bacilli	E	Belongs to the TrpC family	trpC	GO:0003674,GO:0003824,GO:0004425,GO:0016829,GO:0016830,GO:0016831	4.1.1.48,5.3.1.24	ko:K01609,ko:K13498	ko00400,ko01100,ko01110,ko01130,ko01230,map00400,map01100,map01110,map01130,map01230	M00023	R03508,R03509	RC00944,RC00945	ko00000,ko00001,ko00002,ko01000				IGPS						K01609	trpC; indole-3-glycerol phosphate synthase [EC:4.1.1.48]
pgaptmp_001540	contig52	Protein Homology	CDS	22476	23501		-	0	ID=cds-pgaptmp_001540;Parent=gene-pgaptmp_001540;Name=extdb:pgaptmp_001540;Ontology_term=GO:0000162,GO:0004048;gbkey=CDS;gene=trpD;go_function=anthranilate phosphoribosyltransferase activity|0004048||IEA;go_process=L-tryptophan biosynthetic process|0000162||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_014919543.1;locus_tag=pgaptmp_001540;product=anthranilate phosphoribosyltransferase;protein_id=extdb:pgaptmp_001540;transl_table=11	anthranilate phosphoribosyltransferase	543734.LCABL_00760	2.35E-224	620	COG0547@1|root,COG0547@2|Bacteria,1TP8U@1239|Firmicutes,4H9KQ@91061|Bacilli,3F50X@33958|Lactobacillaceae	91061|Bacilli	F	Catalyzes the transfer of the phosphoribosyl group of 5- phosphorylribose-1-pyrophosphate (PRPP) to anthranilate to yield N-(5'-phosphoribosyl)-anthranilate (PRA)	trpD	GO:0000162,GO:0003674,GO:0003824,GO:0004048,GO:0004425,GO:0006082,GO:0006520,GO:0006568,GO:0006576,GO:0006586,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0008652,GO:0009058,GO:0009072,GO:0009073,GO:0009308,GO:0009309,GO:0009987,GO:0016053,GO:0016740,GO:0016757,GO:0016763,GO:0016829,GO:0016830,GO:0016831,GO:0018130,GO:0019438,GO:0019752,GO:0034641,GO:0042401,GO:0042430,GO:0042435,GO:0043436,GO:0044106,GO:0044237,GO:0044238,GO:0044249,GO:0044271,GO:0044281,GO:0044283,GO:0046219,GO:0046394,GO:0046483,GO:0071704,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576,GO:1901605,GO:1901607	2.4.2.18,4.1.3.27	ko:K00766,ko:K13497	ko00400,ko01100,ko01110,ko01130,ko01230,map00400,map01100,map01110,map01130,map01230	M00023	R00985,R00986,R01073	RC00010,RC00440,RC02148,RC02414	ko00000,ko00001,ko00002,ko01000				Glycos_trans_3N,Glycos_transf_3						K00766	trpD; anthranilate phosphoribosyltransferase [EC:2.4.2.18]
pgaptmp_001541	contig52	Protein Homology	CDS	24166	24879		-	0	ID=cds-pgaptmp_001541;Parent=gene-pgaptmp_001541;Name=extdb:pgaptmp_001541;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_003662216.1;locus_tag=pgaptmp_001541;product=uracil-DNA glycosylase family protein;protein_id=extdb:pgaptmp_001541;transl_table=11	uracil-DNA glycosylase family protein	543734.LCABL_00820	4.34E-177	492	28K10@1|root,2Z9QW@2|Bacteria,1VU2U@1239|Firmicutes,4HVDF@91061|Bacilli,3F4AC@33958|Lactobacillaceae	91061|Bacilli	S	Domain of unknown function (DUF4918)													DUF4918							
pgaptmp_001542	contig52	Protein Homology	CDS	25216	26355		+	0	ID=cds-pgaptmp_001542;Parent=gene-pgaptmp_001542;Name=extdb:pgaptmp_001542;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_012490789.1;locus_tag=pgaptmp_001542;product=hypothetical protein;protein_id=extdb:pgaptmp_001542;transl_table=11	hypothetical protein	543734.LCABL_00830	7.2E-261	716	2C353@1|root,309Q7@2|Bacteria,1U5H7@1239|Firmicutes,4IF82@91061|Bacilli,3F5XZ@33958|Lactobacillaceae	91061|Bacilli																						
pgaptmp_001543	contig52	Protein Homology	CDS	26488	28314		-	0	ID=cds-pgaptmp_001543;Parent=gene-pgaptmp_001543;Name=extdb:pgaptmp_001543;Ontology_term=GO:0055085,GO:0022857,GO:0016020;gbkey=CDS;go_component=membrane|0016020||IEA;go_function=transmembrane transporter activity|0022857||IEA;go_process=transmembrane transport|0055085||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_003659076.1;locus_tag=pgaptmp_001543;product=MFS transporter;protein_id=extdb:pgaptmp_001543;transl_table=11	MFS transporter	543734.LCABL_00840	0	1069	COG0477@1|root,COG2211@1|root,COG0477@2|Bacteria,COG2211@2|Bacteria,1TPV3@1239|Firmicutes,4HCJN@91061|Bacilli,3F5DE@33958|Lactobacillaceae	91061|Bacilli	EGP	Major Facilitator													MFS_1	ll11825	MFS		multidrug efflux (EmrB/QacA subfamily)	2.A.1		
