"id","Category","Locus","Gene Name","Aliases","Assigned Function","deseq2_log2_FC","Avg. Expression","lfc SE","wald stat","p-value","deseq2_q_value","ERGO_Function","GenBank_Function","strand","length_nt","length_aa","GRAVY","Molecular_Weight","Iso_electric_Point","gene_name","Kegg_Orthology","COG_Category_description","KEGG_Pathway_names","COG_category_eggnog","seed_ortholog_eggnog","evalue_eggnog","score_eggnog","Description_eggnog","Preferred_name_eggnog","GOs_eggnog","EC_eggnog","KEGG_ko_eggnog","KEGG_Pathway_eggnog","KEGG_Module_eggnog","KEGG_Reaction_eggnog","KEGG_rclass_eggnog","BRITE_eggnog","KEGG_TC_eggnog","CAZy_eggnog","BiGG_Reaction_eggnog","PFAMs_eggnog","TransAAP_Transporter_Family","TransAAP_Subfamily","TransAAP_Substrate_Function"
"RVCYZ000299","metabolic process;cellular process;","NODE_1_length_388644_cov_35.133645","guaB","guaB, pgaptmp_000431, extdb:pgaptmp_000431","Inosine-5'-monophosphate dehydrogenase (EC 1.1.1.205)",-1.21,6490,0.0948,-12.8,2.51E-37,3.08E-36,"Inosine-5'-monophosphate dehydrogenase (EC 1.1.1.205)","IMP dehydrogenase (EC 1.1.1.205)","negative",1533,511,-0.068101761252446,54271.3786000001,5.42608642578125,"guaB","K00088 - IMPDH, guaB - IMP dehydrogenase [EC:1.1.1.205] [1.1.1.205]","(F) Nucleotide metabolism and transport","Purine metabolism; Drug metabolism - other enzymes; Metabolic pathways; Biosynthesis of secondary metabolites","F","552531.BIF_00769",0,997,"Catalyzes the conversion of inosine 5'-phosphate (IMP) to xanthosine 5'-phosphate (XMP), the first committed and rate- limiting step in the de novo synthesis of guanine nucleotides, and therefore plays an important role in the regulation of cell growth","guaB","GO:0003674,GO:0003824,GO:0003938,GO:0005575,GO:0005618,GO:0005622,GO:0005623,GO:0005737,GO:0005886,GO:0006139,GO:0006163,GO:0006164,GO:0006177,GO:0006183,GO:0006195,GO:0006204,GO:0006725,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0009056,GO:0009058,GO:0009116,GO:0009117,GO:0009119,GO:0009123,GO:0009124,GO:0009125,GO:0009126,GO:0009127,GO:0009128,GO:0009141,GO:0009142,GO:0009144,GO:0009145,GO:0009150,GO:0009152,GO:0009154,GO:0009156,GO:0009158,GO:0009161,GO:0009163,GO:0009165,GO:0009166,GO:0009167,GO:0009168,GO:0009169,GO:0009199,GO:0009201,GO:0009205,GO:0009206,GO:0009259,GO:0009260,GO:0009261,GO:0009987,GO:0016020,GO:0016491,GO:0016614,GO:0016616,GO:0018130,GO:0019438,GO:0019439,GO:0019637,GO:0019693,GO:0030312,GO:0034404,GO:0034641,GO:0034654,GO:0034655,GO:0040007,GO:0042278,GO:0042451,GO:0042455,GO:0044237,GO:0044238,GO:0044248,GO:0044249,GO:0044270,GO:0044271,GO:0044281,GO:0044283,GO:0044424,GO:0044464,GO:0046037,GO:0046039,GO:0046040,GO:0046128,GO:0046129,GO:0046390,GO:0046434,GO:0046483,GO:0046700,GO:0055086,GO:0055114,GO:0071704,GO:0071944,GO:0072521,GO:0072522,GO:0072523,GO:0090407,GO:0097292,GO:0097293,GO:1901068,GO:1901070,GO:1901135,GO:1901136,GO:1901137,GO:1901292,GO:1901293,GO:1901360,GO:1901361,GO:1901362,GO:1901564,GO:1901565,GO:1901566,GO:1901575,GO:1901576,GO:1901657,GO:1901659","1.1.1.205","ko:K00088","ko00230,ko00983,ko01100,ko01110,map00230,map00983,map01100,map01110","M00050","R01130,R08240","RC00143,RC02207","ko00000,ko00001,ko00002,ko01000,ko04147","-","-","-","CBS,IMPDH","ABC","binding","glycine betaine"
"RVCYZ001065","metabolic process;cellular process;localization;","NODE_6_length_165740_cov_33.678570","null","pgaptmp_001218, extdb:pgaptmp_001218","Oligopeptide transport ATP-binding protein oppD / Oligopeptide transport ATP-binding protein oppF",-1.43,7820,0.0985,-14.5,6.09E-48,1.49E-46,"Oligopeptide transport ATP-binding protein oppD / Oligopeptide transport ATP-binding protein oppF","ABC transporter ATP-binding protein","negative",2040,680,-0.314705882352941,75172.6951000003,5.44781494140625,"None","K02031 - ABC.PE.A - peptide/nickel transport system ATP-binding protein; K02032 - ABC.PE.A1 - peptide/nickel transport system ATP-binding protein","(P) Inorganic ion transport and metabolism","Quorum sensing","P","552531.BIF_02143",0,1319,"Belongs to the ABC transporter superfamily","dppD","-","-","ko:K02031,ko:K02032","ko02024,map02024","M00239","-","-","ko00000,ko00001,ko00002,ko02000","3.A.1.5","-","-","ABC_tran,oligo_HPY","ABC","binding","glycine betaine"
"RVCYZ001529","Uncategorized;","NODE_11_length_55415_cov_57.856551","mscL","mscL, pgaptmp_000075, extdb:pgaptmp_000075","Large-conductance mechanosensitive channel",1.17,953,0.121,9.7,3.12E-22,1.86E-21,"Large-conductance mechanosensitive channel","large conductance mechanosensitive channel protein MscL","negative",498,166,0.373493975903614,17525.0241,4.52691650390625,"mscL","K03282 - mscL - large conductance mechanosensitive channel","(M) Cell wall/membrane/envelop biogenesis","-","M","552531.BIF_01553",1.39E-95,280,"Channel that opens in response to stretch forces in the membrane lipid bilayer. May participate in the regulation of osmotic pressure changes within the cell","mscL","-","-","ko:K03282","-","-","-","-","ko00000,ko02000","1.A.22.1","-","-","MscL","MscL","NA","large-conductance mechanosensitive ion channel"
"RVCYZ001198","localization;","NODE_6_length_165740_cov_33.678570","null","pgaptmp_001351, extdb:pgaptmp_001351","ABC transporter substrate-binding protein",1.07,763,0.153,7,2.58E-12,8.42E-12,"ABC transporter substrate-binding protein","MetQ/NlpA family ABC transporter substrate-binding protein","negative",894,298,-0.123154362416107,31519.2264,5.47393798828125,"None","K02073 - metQ - D-methionine transport system substrate-binding protein","(M) Cell wall/membrane/envelop biogenesis","ABC transporters","M","552531.BIF_01222",8.77E-208,576,"NLPA lipoprotein","metQ","-","-","ko:K02073","ko02010,map02010","M00238","-","-","ko00000,ko00001,ko00002,ko02000","3.A.1.24","-","-","Lipoprotein_9","ABC","binding","methionine"
"RVCYZ001420","cellular process;localization;","NODE_9_length_90734_cov_43.987352","null","pgaptmp_001577, extdb:pgaptmp_001577","Multidrug/protein/lipid ABC transporter family, ATP-binding and permease protein",1.11,3130,0.151,7.33,2.22E-13,7.80E-13,"Multidrug/protein/lipid ABC transporter family, ATP-binding and permease protein","ABC transporter ATP-binding protein","negative",1794,598,-0.078929765886288,67239.2151000003,5.70855712890625,"None","K06147 - ABCB-BAC - ATP-binding cassette, subfamily B, bacterial","NA","-","V","552531.BIF_02195",0,1185,"ABC transporter","-","-","-","ko:K06147","-","-","-","-","ko00000,ko02000","3.A.1.106,3.A.1.109,3.A.1.21","-","-","ABC_membrane,ABC_tran","ABC","membrane","multidrug"
"RVCYZ000888","cellular process;localization;","NODE_4_length_201150_cov_39.214667","null","pgaptmp_001039, extdb:pgaptmp_001039","Putative efflux protein",1.06,2590,0.113,9.42,4.52E-21,2.53E-20,"Putative efflux protein","MFS transporter","negative",1242,414,0.709661835748793,43092.5324,10.5521850585938,"None","K08156 - araJ - MFS transporter, DHA1 family, arabinose polymer utilization protein","(E) Amino Acid metabolis and transport; (G) Carbohydrate metabolism and transport; (P) Inorganic ion transport and metabolism","-","EGP","552531.BIF_01587",4.63E-293,800,"Major Facilitator Superfamily","-","-","-","ko:K08156,ko:K19577","-","-","-","-","ko00000,ko02000","2.A.1.2.14,2.A.1.2.65","-","-","MFS_1","MFS","NA","multidrug efflux"
"RVCYZ001330","Uncategorized;","NODE_8_length_105766_cov_39.018601","null","pgaptmp_001485, extdb:pgaptmp_001485","Multidrug resistance protein B",-1.03,11000,0.12,-8.62,6.75E-18,3.18E-17,"Multidrug resistance protein B","MFS transporter","negative",1428,476,0.833193277310926,49930.5713,6.64935302734375,"None","NA","(E) Amino Acid metabolis and transport; (G) Carbohydrate metabolism and transport; (P) Inorganic ion transport and metabolism","-","EGP","552531.BIF_00289",0,897,"Major Facilitator Superfamily","-","-","-","-","-","-","-","-","-","-","-","-","MFS_1,Sugar_tr","MFS","NA","multidrug efflux"
"RVCYZ001492","cellular process;localization;","NODE_10_length_57845_cov_42.835580","null","pgaptmp_000037, extdb:pgaptmp_000037","Isoprimeverose-proton symporter",1.03,1560,0.122,8.47,2.54E-17,1.14E-16,"Isoprimeverose-proton symporter","MFS transporter","positive",1443,481,0.522661122661123,52164.3932,8.79998779296875,"None","K03292 - TC.GPH - glycoside/pentoside/hexuronide:cation symporter, GPH family","(G) Carbohydrate metabolism and transport","-","G","552531.BIF_01549",0,939,"Psort location CytoplasmicMembrane, score 10.00","-","-","-","ko:K03292","-","-","-","-","ko00000","2.A.2","-","-","MFS_2","GPH","NA","multidrug efflux"
"RVCYZ000929","cellular process;localization;","NODE_5_length_182317_cov_42.075646","null","pgaptmp_001083, extdb:pgaptmp_001083","Lincomycin resistance protein lmrB",-1.77,5930,0.119,-14.9,3.86E-50,1.07E-48,"Lincomycin resistance protein lmrB","MFS transporter","positive",1455,485,0.928041237113403,51890.3730000001,8.88519287109375,"None","K18926 - lmrB - MFS transporter, DHA2 family, lincomycin resistance protein","(E) Amino Acid metabolis and transport; (G) Carbohydrate metabolism and transport; (P) Inorganic ion transport and metabolism","-","EGP","552531.BIF_01104",0,903,"Major Facilitator Superfamily","-","-","-","ko:K18926","-","M00715","-","-","ko00000,ko00002,ko02000","2.A.1.3.30","-","-","MFS_1","MFS","NA","multidrug efflux (EmrB/QacA subfamily)"
"RVCYZ001455","Uncategorized;","NODE_9_length_90734_cov_43.987352","null","pgaptmp_001613, extdb:pgaptmp_001613","Multidrug resistance protein B",1.65,1650,0.153,10.8,2.35E-27,1.78E-26,"Multidrug resistance protein B","drug:proton antiporter","negative",588,196,0.760714285714286,21166.8259,9.41058349609375,"None","NA","(E) Amino Acid metabolis and transport; (G) Carbohydrate metabolism and transport; (P) Inorganic ion transport and metabolism","-","EGP","552531.BIF_01686",9.50E-129,367,"Major facilitator Superfamily","iolT","-","-","-","-","-","-","-","-","-","-","-","MFS_1,Sugar_tr","MFS","NA","multidrug efflux (EmrB/QacA subfamily)"
"RVCYZ000005","Uncategorized;","NODE_1_length_388644_cov_35.133645","null","pgaptmp_000132, extdb:pgaptmp_000132","Hypothetical protein",1.13,54.7,0.262,4.33,1.52E-05,2.70E-05,"Hypothetical protein","hypothetical protein","positive",177,59,-0.342372881355932,7014.9587,6.55438232421875,"None","NA","NA","-","-","552531.BIF_02016",2.65E-32,112,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","NA","NA","NA"
"RVCYZ000008","Uncategorized;","NODE_1_length_388644_cov_35.133645","thrS","thrS, pgaptmp_000136, extdb:pgaptmp_000136","Threonyl-tRNA synthetase (EC 6.1.1.3)",-1.17,7430,0.104,-11.2,5.37E-29,4.32E-28,"Threonyl-tRNA synthetase (EC 6.1.1.3)","threonine--tRNA ligase (EC 6.1.1.3)","positive",2076,692,-0.517341040462426,78613.5157000003,5.11639404296875,"thrS","K01868 - TARS, thrS - threonyl-tRNA synthetase [EC:6.1.1.3] [6.1.1.3]","(J) Translation","Aminoacyl-tRNA biosynthesis","J","552531.BIF_00522",0,1392,"Catalyzes the attachment of threonine to tRNA(Thr) in a two-step reaction L-threonine is first activated by ATP to form Thr-AMP and then transferred to the acceptor end of tRNA(Thr)","thrS","GO:0003674,GO:0003824,GO:0004812,GO:0004829,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005886,GO:0006082,GO:0006139,GO:0006399,GO:0006412,GO:0006418,GO:0006435,GO:0006518,GO:0006520,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0016020,GO:0016070,GO:0016874,GO:0016875,GO:0019538,GO:0019752,GO:0034641,GO:0034645,GO:0034660,GO:0040007,GO:0043038,GO:0043039,GO:0043043,GO:0043170,GO:0043436,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044281,GO:0044424,GO:0044464,GO:0046483,GO:0071704,GO:0071944,GO:0090304,GO:0140098,GO:0140101,GO:1901360,GO:1901564,GO:1901566,GO:1901576","6.1.1.3","ko:K01868","ko00970,map00970","M00359,M00360","R03663","RC00055,RC00523","ko00000,ko00001,ko00002,ko01000,ko01007,ko03016","-","-","-","HGTP_anticodon,tRNA-synt_2b,tRNA_SAD","NA","NA","NA"
"RVCYZ000012","metabolic process;cellular process;response to stimulus;biological regulation;","NODE_1_length_388644_cov_35.133645","null","pgaptmp_000140, extdb:pgaptmp_000140","Hypothetical cytosolic protein",-1.87,4890,0.136,-13.8,3.92E-43,7.01E-42,"Hypothetical cytosolic protein","YebC/PmpR family DNA-binding transcriptional regulator","positive",753,251,-0.402788844621514,26768.3681,4.57696533203125,"None","K01750 - E4.3.1.12, ocd - ornithine cyclodeaminase [EC:4.3.1.12] [4.3.1.12]","(K) Transcription","-","K","552531.BIF_00561",6.09E-175,488,"transcriptional regulatory protein","yebC","GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0044424,GO:0044444,GO:0044464","-","-","-","-","-","-","-","-","-","-","Transcrip_reg","NA","NA","NA"
"RVCYZ000016","Uncategorized;","NODE_1_length_388644_cov_35.133645","yajC","yajC, pgaptmp_000144, extdb:pgaptmp_000144","Protein translocase subunit YajC",-1.19,1680,0.127,-9.39,6.15E-21,3.40E-20,"Protein translocase subunit YajC","preprotein translocase subunit YajC","positive",438,146,-0.382876712328767,16200.8884,4.19012451171875,"yajC","K03210 - yajC - preprotein translocase subunit YajC","(U) Intracellular trafficing and secretion","Quorum sensing; Protein export; Bacterial secretion system","U","552531.BIF_01832",1.90E-72,221,"Preprotein translocase subunit","yajC","-","-","ko:K03210","ko02024,ko03060,ko03070,map02024,map03060,map03070","M00335","-","-","ko00000,ko00001,ko00002,ko02044","3.A.5.1,3.A.5.2","-","-","YajC","NA","NA","NA"
"RVCYZ000019","metabolic process;cellular process;","NODE_1_length_388644_cov_35.133645","sucD","sucD, pgaptmp_000147, extdb:pgaptmp_000147","Succinyl-CoA synthetase alpha chain (EC 6.2.1.5)",-1.33,2750,0.0945,-14.1,5.34E-45,1.05E-43,"Succinyl-CoA synthetase alpha chain (EC 6.2.1.5)","succinate--CoA ligase subunit alpha (EC 6.2.1.5)","positive",915,305,0.201639344262295,31330.4937,4.86798095703125,"sucD","K01902 - sucD - succinyl-CoA synthetase alpha subunit [EC:6.2.1.5] [6.2.1.5]","(C) Energy production and conversion","Citrate cycle (TCA cycle); Propanoate metabolism; C5-Branched dibasic acid metabolism; Carbon fixation pathways in prokaryotes; Metabolic pathways; Biosynthesis of secondary metabolites; Microbial metabolism in diverse environments; NA; Carbon metabolism","C","552531.BIF_01073",1.85E-212,587,"Succinyl-CoA synthetase functions in the citric acid cycle (TCA), coupling the hydrolysis of succinyl-CoA to the synthesis of either ATP or GTP and thus represents the only step of substrate-level phosphorylation in the TCA. The alpha subunit of the enzyme binds the substrates coenzyme A and phosphate, while succinate binding and nucleotide specificity is provided by the beta subunit","sucD","GO:0005575,GO:0005618,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005886,GO:0008150,GO:0016020,GO:0030312,GO:0040007,GO:0044424,GO:0044444,GO:0044464,GO:0071944","6.2.1.5","ko:K01902","ko00020,ko00640,ko00660,ko00720,ko01100,ko01110,ko01120,ko01130,ko01200,map00020,map00640,map00660,map00720,map01100,map01110,map01120,map01130,map01200","M00009,M00011,M00173,M00374,M00620","R00405,R02404","RC00004,RC00014","ko00000,ko00001,ko00002,ko01000","-","-","-","CoA_binding,Ligase_CoA","NA","NA","NA"
"RVCYZ000028","Uncategorized;","NODE_1_length_388644_cov_35.133645","null","pgaptmp_000157, extdb:pgaptmp_000157","Hypothetical protein",-1.11,1050,0.142,-7.81,5.81E-15,2.28E-14,"Hypothetical protein","hypothetical protein","positive",315,105,-0.194285714285714,12251.1168,10.3251342773438,"None","NA","NA","-","-","552531.BIF_01921",2.35E-67,204,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","NA","NA","NA"
"RVCYZ000036","Uncategorized;","NODE_1_length_388644_cov_35.133645","null","pgaptmp_000165, extdb:pgaptmp_000165","Hypothetical signal transduction protein",-1.53,1220,0.134,-11.4,4.91E-30,4.12E-29,"Hypothetical signal transduction protein","FHA domain-containing protein","negative",438,146,-0.256164383561644,15980.8047,4.96295166015625,"None","K01601 - rbcL - ribulose-bisphosphate carboxylase large chain [EC:4.1.1.39] [4.1.1.39]","(T) Signal Transduction","-","T","552531.BIF_00986",2.66E-97,283,"Inner membrane component of T3SS, cytoplasmic domain","garA","GO:0003674,GO:0005488,GO:0005515,GO:0005575,GO:0005576,GO:0005618,GO:0005623,GO:0005886,GO:0006109,GO:0006110,GO:0006140,GO:0006464,GO:0006468,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0009889,GO:0009890,GO:0009892,GO:0009894,GO:0009895,GO:0009987,GO:0010563,GO:0010675,GO:0010677,GO:0016020,GO:0016310,GO:0019219,GO:0019220,GO:0019222,GO:0019538,GO:0030312,GO:0030808,GO:0030809,GO:0030811,GO:0030812,GO:0031323,GO:0031324,GO:0031326,GO:0031327,GO:0031329,GO:0031330,GO:0036211,GO:0042325,GO:0042326,GO:0042802,GO:0043170,GO:0043412,GO:0043457,GO:0043467,GO:0043470,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044464,GO:0045820,GO:0045912,GO:0045934,GO:0045936,GO:0045980,GO:0046777,GO:0048519,GO:0048523,GO:0050789,GO:0050794,GO:0051171,GO:0051172,GO:0051174,GO:0051193,GO:0051195,GO:0051196,GO:0051198,GO:0062012,GO:0062014,GO:0065007,GO:0071704,GO:0071944,GO:0080090,GO:1900371,GO:1900372,GO:1900542,GO:1900543,GO:1901564,GO:1903578,GO:1903579,GO:2001169,GO:2001170","-","-","-","-","-","-","-","-","-","-","FHA,Yop-YscD_cpl,zinc_ribbon_2","NA","NA","NA"
"RVCYZ000042","Uncategorized;","NODE_1_length_388644_cov_35.133645","null","pgaptmp_000171, extdb:pgaptmp_000171","Phosphoribosyl-ATP pyrophosphatase (EC 3.6.1.31)",-1.08,677,0.0982,-11,6.43E-28,5.00E-27,"Phosphoribosyl-ATP pyrophosphatase (EC 3.6.1.31)","phosphoribosyl-ATP diphosphatase (EC 3.6.1.31)","negative",261,87,-0.280459770114942,9767.96199999999,4.58282470703125,"None","K01523 - hisE - phosphoribosyl-ATP pyrophosphohydrolase [EC:3.6.1.31] [3.6.1.31]","(E) Amino Acid metabolis and transport","Histidine metabolism; Metabolic pathways; Biosynthesis of secondary metabolites; Biosynthesis of amino acids","E","552531.BIF_02246",3.18E-55,172,"Phosphoribosyl-ATP pyrophosphohydrolase","hisE","GO:0000287,GO:0003674,GO:0005488,GO:0005575,GO:0005618,GO:0005623,GO:0008150,GO:0009605,GO:0009607,GO:0030312,GO:0040007,GO:0043167,GO:0043169,GO:0043207,GO:0044403,GO:0044419,GO:0044464,GO:0046872,GO:0050896,GO:0051701,GO:0051704,GO:0051707,GO:0071944,GO:0075136,GO:0075139","3.6.1.31","ko:K01523","ko00340,ko01100,ko01110,ko01230,map00340,map01100,map01110,map01230","M00026","R04035","RC00002","ko00000,ko00001,ko00002,ko01000","-","-","-","PRA-PH","NA","NA","NA"
